분류,지역,지역영문명, 재해방지보호구역(ha) , 생활환경보호구역(ha) , 경관보호구역(ha) , 1종수원함양보호구역(ha) , 2종수원함양보호구역(ha) , 3종수원함양보호구역(ha) , 산림유전자원 보호구역(ha) 
산림청소관국유림,북부지방청,Northern R.S.,7,0,183,2029,188,64519,85764
산림청소관국유림,동부지방청   ,Eastern R.S.,4,0,44,59,0,37979,37944
산림청소관국유림,남부지방청   ,Southern R.S.,507,3,822,2174,65,1769,33390
산림청소관국유림,중부지방청  ,Central R.S.,143,0,118,2163,0,12497,3201
산림청소관국유림,서부지방청   ,Western R.S.,227,0,1162,7559,961,6608,6011
"공사유림,타부처국유림",서울특별시,Seoul,0,0,0,0,0,0,0
"공사유림,타부처국유림",부산광역시,Busan,0,0,0,0,0,0,0
"공사유림,타부처국유림",대구광역시,Daegu,0,0,0,0,0,0,7
"공사유림,타부처국유림",인천광역시,Incheon,0,0,0,0,0,0,8
"공사유림,타부처국유림",광주광역시,Gwangju,0,0,0,0,0,0,0
"공사유림,타부처국유림",대전광역시,Daejeon,0,0,0,0,0,0,8
"공사유림,타부처국유림",울산광역시,Ulsan,0,0,81,4322,0,0,0
"공사유림,타부처국유림",세종특별자치시,Sejong Special Self-Governing City,0,0,16,55,0,0,0
"공사유림,타부처국유림",경 기도,Gyeonggi-do,0,0,1022,4519,469,6668,200
"공사유림,타부처국유림",강원도,Gangwon-do,0,0,440,2190,219,12214,781
"공사유림,타부처국유림",충청북도,Chungcheongbuk-do,0,0,0,3816,0,8498,1
"공사유림,타부처국유림",충청남도,Chungcheongnam-do,51,0,2381,8811,0,504,141
"공사유림,타부처국유림",전라북도,Jeollabuk-do,637,0,2627,19402,0,4132,0
"공사유림,타부처국유림",전라남도,Jeollanam-do,609,0,2020,755,6062,592,54
"공사유림,타부처국유림",경상북도,Gyeongsangbuk-do,367,10,5291,13609,2317,0,4998
"공사유림,타부처국유림",경상남도,Gyeongsangnam-do,812,0,1162,18091,128,0,78
"공사유림,타부처국유림",제주특별자치도,Jeju Special Self-Governing Province,64,0,0,,0,0,0
