예보일시,지역구분명,지역명,타입구분명,최소값,최대값,평균값,등급
2023-03-01 00:00,강원,고성산간,MOUNTAIN,6.8,53.1,17.3,낮음(관심)
2023-03-01 00:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.1,낮음(관심)
2023-03-01 00:00,강원,양양산간,MOUNTAIN,5.4,40.5,17.7,낮음(관심)
2023-03-01 00:00,강원,강릉산간,MOUNTAIN,5.4,72,20.5,낮음(관심)
2023-03-01 00:00,강원,동해산간,MOUNTAIN,5.4,58.5,20.2,낮음(관심)
2023-03-01 00:00,강원,삼척산간,MOUNTAIN,5.4,84.6,29.6,낮음(관심)
2023-03-01 00:00,강원,고성평지,COAST,6.8,64.8,29.6,낮음(관심)
2023-03-01 00:00,강원,속초평지,COAST,13.1,58.5,31.5,낮음(관심)
2023-03-01 00:00,강원,양양평지,COAST,6.8,64.8,32.6,낮음(관심)
2023-03-01 00:00,강원,강릉평지,COAST,8.1,77.4,42.6,낮음(관심)
2023-03-01 00:00,강원,동해평지,COAST,5.4,77.4,43.8,낮음(관심)
2023-03-01 00:00,강원,삼척평지,COAST,6.8,83.7,55,다소높음(주의)
2023-03-01 00:00,경북,울진산간,MOUNTAIN,5.4,64.8,33.6,낮음(관심)
2023-03-01 00:00,경북,영덕산간,MOUNTAIN,5.4,77.4,30.5,낮음(관심)
2023-03-01 00:00,경북,포항산간,MOUNTAIN,5.4,59.4,20.7,낮음(관심)
2023-03-01 00:00,경북,경주산간,MOUNTAIN,5.4,52.2,27,낮음(관심)
2023-03-01 00:00,경북,울진평지,COAST,9.5,71.1,49.9,낮음(관심)
2023-03-01 00:00,경북,영덕평지,COAST,6.8,77.4,48.3,낮음(관심)
2023-03-01 00:00,경북,포항평지,COAST,6.8,64.8,40.6,낮음(관심)
2023-03-01 00:00,경북,경주평지,COAST,6.8,52.2,32.4,낮음(관심)
2023-03-01 01:00,강원,고성산간,MOUNTAIN,6.8,46.8,17.3,낮음(관심)
2023-03-01 01:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.2,낮음(관심)
2023-03-01 01:00,강원,양양산간,MOUNTAIN,10.8,40.5,17.4,낮음(관심)
2023-03-01 01:00,강원,강릉산간,MOUNTAIN,5.4,72,20.3,낮음(관심)
