damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
1260.15,5,4,21:30:00,2019,기타,산171,남양,강릉,옥계,강원,4,목요일,4,23:46:00,2019
1,5,4,20:00:00,2019,주택화재비화,512-1(임),관산,고양,덕양,경기,5,금요일,4,14:12:00,2019
0.15,6,4,16:00:00,2019,입산자실화,산56,명례,기장,장안,부산,6,토요일,4,11:38:00,2019
2,6,4,22:00:00,2019,기타,산79,신방,영천,자양,경북,6,토요일,4,13:27:00,2019
1.02,7,4,8:40:00,2019,입산자실화,산163,녹동,경주,외동,경북,7,일요일,4,6:21:00,2019
0.1,8,4,16:44:00,2019,쓰레기소각,산38-1,문암,음성,원남,충북,8,월요일,4,15:16:00,2019
0.06,8,4,15:10:00,2019,기타,산55-1,장동,이천,신둔,경기,8,월요일,4,13:14:00,2019
0.01,7,4,14:35:00,2019,입산자실화,산52-1,대백,창원,진해,경남,7,일요일,4,13:53:00,2019
0.1,4,4,23:00:00,2019,기타,산42,송전,용인,이동,경기,4,목요일,4,20:14:00,2019
0.1,6,4,13:20:00,2019,기타,산247,옥적,여수,화양,전남,6,토요일,4,11:30:00,2019
0.01,19,4,18:37:00,2019,담뱃불실화,산57,이매,성남,분당,경기,19,금요일,4,18:20:00,2019
0.04,16,4,15:30:00,2019,쓰레기소각,산107-1,,김포,풍무,경기,16,화요일,4,12:11:00,2019
0.06,13,4,17:30:00,2019,기타,산201-1,,남양주,별내,경기,13,토요일,4,15:12:00,2019
0.16,9,4,14:17:00,2019,담뱃불실화,산86-1,고모,포천,소흘,경기,9,화요일,4,13:08:00,2019
0.8,8,4,15:22:00,2019,기타,산25,장속,보은,보은,충북,8,월요일,4,12:04:00,2019
0.01,6,4,18:20:00,2019,기타,산11,정,문경,마성,경북,6,토요일,4,17:14:00,2019
2,17,4,22:00:00,2019,기타,산6-2,장죽,안성,금광,경기,17,수요일,4,14:29:00,2019
0.05,4,4,22:20:00,2019,기타,산145,성대,진천,백곡,충북,4,목요일,4,20:51:00,2019
0.02,18,4,17:00:00,2019,기타,산13,,남,이장,광주,18,목요일,4,16:29:00,2019
0.02,17,4,17:00:00,2019,기타,산96-1,백석,연천,미산,경기,17,수요일,4,13:41:00,2019
0.1,17,4,16:20:00,2019,쓰레기소각,산137,관하,청도,매전,경북,17,수요일,4,13:17:00,2019
0.03,16,4,13:00:00,2019,기타,산138,오,기장,장안,부산,16,화요일,4,12:08:00,2019
1.2,16,4,6:10:00,2019,주택화재비화,산76-1,제내,경주,외동,경북,15,월요일,4,22:15:00,2019
0.03,13,4,16:50:00,2019,기타,01월 24일,사기소,당진,면천,충남,13,토요일,4,14:29:00,2019
0.03,13,4,14:00:00,2019,기타,산41-15,학현,평택,안중,경기,13,토요일,4,12:53:00,2019
0.01,9,4,12:30:00,2019,쓰레기소각,산51-4,정곡,진안,진안,전북,9,화요일,4,11:30:00,2019
0.09,8,4,19:10:00,2019,기타,산2-1,,하남,초일,경기,8,월요일,4,18:30:00,2019
1,7,4,19:30:00,2019,기타,산25,광전,예천,유천,경북,7,일요일,4,16:30:00,2019
0.1,7,4,17:30:00,2019,기타,산153-1,,노원,상계,서울,7,일요일,4,15:07:00,2019
0.1,6,4,15:55:00,2019,기타,산49-10,삼덕,상주,사벌,경북,6,토요일,4,14:57:00,2019
0.01,6,4,14:32:00,2019,입산자실화,산197-2,남송,포항,흥해,경북,6,토요일,4,13:29:00,2019
0.01,6,4,10:37:00,2019,입산자실화,산125-1,,수성,이천,대구,6,토요일,4,9:59:00,2019
0.1,5,4,16:20:00,2019,기타,산52,용계,영천,북안,경북,5,금요일,4,15:15:00,2019
1266.62,5,4,18:00:00,2019,기타,산89-2,원암,고성,토성,강원,4,목요일,4,19:17:00,2019
0.05,19,4,19:30:00,2019,입산자실화,산31-38,관성,천안,병천,충남,19,금요일,4,18:09:00,2019
0.03,20,4,15:30:00,2019,입산자실화,산102,고성,춘천,사북,강원,20,토요일,4,12:27:00,2019
0.03,8,4,14:45:00,2019,기타,산60-21,구수,안성,미양,경기,8,월요일,4,13:37:00,2019
0.03,6,4,13:00:00,2019,기타,163-2,도산,당진,정미,충남,6,토요일,4,11:30:00,2019
0.1,6,4,13:00:00,2019,기타,산136,화산,영천,화산,경북,6,토요일,4,12:09:00,2019
2,7,4,2:30:00,2019,입산자실화,산45,상원,달성,가창,대구,6,토요일,4,20:28:00,2019
0.3,7,4,12:21:00,2019,기타,산62,와석,영월,김삿갓,강원,7,일요일,4,10:39:00,2019
0.01,8,4,14:30:00,2019,주택화재비화,산24-1,창기,태안,안면,충남,8,월요일,4,12:32:00,2019
0.7,9,4,17:00:00,2019,기타,산178외 3필지,엄소,가평,설악,경기,9,화요일,4,13:18:00,2019
0.3,12,4,14:42:00,2019,쓰레기소각,산14-1외3필,월오,청주,상당,충북,12,금요일,4,13:39:00,2019
0.01,13,4,16:45:00,2019,쓰레기소각,06월 05일,,보령,남곡,충남,13,토요일,4,15:57:00,2019
0.1,15,4,16:21:00,2019,입산자실화,산1-3,미원,청주,미원,충북,15,월요일,4,15:38:00,2019
1.5,16,4,15:33:00,2019,기타,산2-1외25필,,유성,대정,대전,16,화요일,4,13:40:00,2019
0.05,16,4,19:00:00,2019,입산자실화,산129-1,삼전,논산,가야곡,충남,16,화요일,4,17:14:00,2019
0.12,17,4,17:40:00,2019,기타,산151-265외3필,문호,양평,서종,경기,17,수요일,4,14:57:00,2019
0.1,18,4,13:43:00,2019,기타,산140,홍계,포항,대송,경북,18,목요일,4,10:53:00,2019
0.03,20,4,12:00:00,2019,기타,산3,구왕,공주,계룡,충남,20,토요일,4,10:12:00,2019
3.6,5,4,12:00:00,2019,기타,산43-2,대각,포항,대송,경북,5,금요일,4,2:50:00,2019
0.6,8,4,17:00:00,2019,기타,산34-2,정자,성남,분당,경기,8,월요일,4,13:34:00,2019
1.5,9,4,13:59:00,2019,담뱃불실화,산113-1,동천,평택,진위,경기,9,화요일,4,11:15:00,2019
0.01,7,4,16:40:00,2019,쓰레기소각,214-1,동천,평택,진위,경기,7,일요일,4,16:25:00,2019
0.04,7,4,14:10:00,2019,기타,산1-11,대자,고양,덕양,경기,7,일요일,4,13:22:00,2019
0.5,6,4,17:40:00,2019,입산자실화,산41,치산,영천,신녕,경북,6,토요일,4,13:45:00,2019
0.01,5,4,16:50:00,2019,담뱃불실화,산107,중촌,산청,신안,경남,5,금요일,4,15:57:00,2019
0.01,20,4,12:55:00,2019,기타,9임,존도,문경,산양,경북,20,토요일,4,12:07:00,2019
0.05,17,4,23:30:00,2019,입산자실화,산68,,동,도,대구,17,수요일,4,20:49:00,2019
0.01,16,4,18:20:00,2019,입산자실화,산278,초곡,창녕,장마,경남,16,화요일,4,17:01:00,2019
0.02,22,4,12:40:00,2018,기타,산57,마,안동,임동,경북,22,일요일,4,11:03:00,2018
0.01,22,4,16:23:00,2018,입산자실화,산46-1,성내,제천,금성,충북,22,일요일,4,15:16:00,2018
3,21,4,23:00:00,2018,입산자실화,산18-1,합강,인제,인제,강원,21,토요일,4,11:35:00,2018
0.01,27,4,15:00:00,2018,입산자실화,산1-4,,남동,만수,인천,27,금요일,4,12:56:00,2018
0.02,30,4,7:50:00,2018,입산자실화,산91,감곡,사천,정동,경남,30,월요일,4,6:34:00,2018
0.03,29,4,17:48:00,2018,기타,산10-2,,대덕,와,대전,29,일요일,4,16:11:00,2018
0.02,30,4,15:50:00,2018,입산자실화,산48-1,장선,완주,운주,전북,30,월요일,4,14:09:00,2018
0.01,29,4,16:20:00,2018,입산자실화,산21,가당,무주,부남,전북,29,일요일,4,15:02:00,2018
0.15,29,4,18:00:00,2018,입산자실화,산11-2,석수,안양,만안,경기,29,일요일,4,14:56:00,2018
0.1,29,4,16:42:00,2018,입산자실화,산78-1,선교,상주,화동,경북,29,일요일,4,15:29:00,2018
0.1,28,4,15:50:00,2018,기타,산6-1외1개소,용각,안동,일직,경북,28,토요일,4,13:52:00,2018
0.4,1,5,20:30:00,2018,입산자실화,산141외4필지,팔산,고령,운수,경북,1,화요일,5,15:42:00,2018
40.05,28,3,22:00:00,2018,기타,산19,탑동,고성,간성,강원,28,수요일,3,6:19:00,2018
0.02,11,5,15:30:00,2018,기타,산332-2,청도,김제,금산,전북,11,금요일,5,14:05:00,2018
0.2,22,5,14:00:00,2018,입산자실화,산15-3,송생,청송,청송,경북,22,화요일,5,10:41:00,2018
0.07,1,6,12:30:00,2018,주택화재비화,산55,조평,공주,신풍,충남,1,금요일,6,10:40:00,2018
0.01,1,6,18:00:00,2018,입산자실화,산32-1,발산,춘천,신북,강원,1,금요일,6,14:30:00,2018
0.1,3,6,15:45:00,2018,입산자실화,산4,노동,경주,감포,경북,3,일요일,6,14:05:00,2018
0.03,3,6,22:30:00,2018,기타,산56,,중랑,면목,서울,3,일요일,6,17:14:00,2018
0.01,3,6,14:30:00,2018,입산자실화,산98외,오봉,보성,득량,전남,3,일요일,6,12:40:00,2018
0.05,2,6,14:50:00,2018,기타,산17-1,,금정,노포,부산,2,토요일,6,13:14:00,2018
0.03,1,6,22:00:00,2018,주택화재비화,산180-2,신원,양평,양서,경기,1,금요일,6,19:55:00,2018
0.01,4,6,14:00:00,2018,기타,산11-96,,서대문,홍은,서울,4,월요일,6,11:04:00,2018
0.01,2,6,12:23:00,2018,기타,산125-10,,노원,월계,서울,2,토요일,6,9:13:00,2018
0.02,5,6,11:20:00,2018,입산자실화,산8,금지,부여,내산,충남,5,화요일,6,9:40:00,2018
0.08,9,6,11:40:00,2018,입산자실화,260-1(임),원평,화성,매송,경기,9,토요일,6,10:10:00,2018
0.02,7,6,15:25:00,2018,기타,산21-1,,은평,수색,서울,7,목요일,6,14:46:00,2018
0.02,10,6,14:30:00,2018,입산자실화,산49,화양,장수,계남,전북,10,일요일,6,12:16:00,2018
0.01,15,6,19:30:00,2018,입산자실화,산104,하산,장흥,장동,전남,15,금요일,6,16:45:00,2018
0.16,17,6,0:17:00,2018,기타,산23-5,금암,장군,장군,세종,16,토요일,6,20:34:00,2018
0.01,17,6,17:00:00,2018,입산자실화,산4-1,녹천,공주,유구,충남,17,일요일,6,14:45:00,2018
0.03,18,6,14:45:00,2018,기타,산72,조탑,안동,일직,경북,18,월요일,6,13:20:00,2018
0.01,21,6,14:00:00,2018,쓰레기소각,산13-2,남계,칠곡,약목,경북,21,목요일,6,11:59:00,2018
0.02,21,6,17:00:00,2018,기타,산130,광암,담양,월산,전남,21,목요일,6,15:20:00,2018
0.01,21,6,18:00:00,2018,입산자실화,산79,오룡,청양,대치,충남,21,목요일,6,17:00:00,2018
0.15,22,6,7:14:00,2018,입산자실화,산6-7,노현,청주,문의,충북,22,금요일,6,3:44:00,2018
0.02,21,6,15:45:00,2018,입산자실화,산161,용곡,장성,장성,전남,21,목요일,6,13:20:00,2018
0.02,21,6,16:05:00,2018,입산자실화,산13-28,죽천,포항,흥해,경북,21,목요일,6,14:49:00,2018
0.3,23,6,15:08:00,2018,기타,산50,신왕,김천,조마,경북,23,토요일,6,13:14:00,2018
0.02,23,6,15:50:00,2018,입산자실화,산88,금산,칠곡,왜관,경북,23,토요일,6,11:50:00,2018
0.02,23,6,20:00:00,2018,입산자실화,산80,덕남,함안,칠북,경남,23,토요일,6,17:00:00,2018
0.01,23,6,18:50:00,2018,입산자실화,산83,돈대,영동,상촌,충북,23,토요일,6,17:19:00,2018
0.05,24,6,14:30:00,2018,입산자실화,산54-1,덕산,장수,장수,전북,24,일요일,6,12:20:00,2018
0.03,24,6,17:00:00,2018,입산자실화,산111,수원,거창,신원,경남,24,일요일,6,12:53:00,2018
3,24,6,22:00:00,2018,입산자실화,"산7,8",천촌,경주,서,경북,24,일요일,6,14:30:00,2018
0.02,24,6,17:00:00,2018,입산자실화,산16-1,퇴로,밀양,부북,경남,24,일요일,6,15:25:00,2018
0.01,24,6,16:30:00,2018,기타,산13-28,죽천,포항,흥해,경북,24,일요일,6,15:51:00,2018
1,24,6,20:00:00,2018,입산자실화,산47,화동,홍천,북방,강원,24,일요일,6,16:42:00,2018
0.01,23,6,23:30:00,2018,입산자실화,산37-1,관대,인제,남,강원,22,금요일,6,18:02:00,2018
