stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
105,°­¸ª,2013-01-01,-1.9,-6.7,0627,3.8,1331,,,,,,,10.6,230,1243,6.3,270,0020,2.9,2497,250,-11.0,39,1219,50.6,2.7,1014.2,1020.4,0236,1013.9,1256,1017.5,9.6,6.5,1200,1.71,8.97,,,,,,,,-1.2,-10.0,-0.5,0.0,0.8,2.2,2.7,6.1,9.2,14.4,15.8,,,,,
105,°­¸ª,2013-01-02,-6.0,-9.9,2346,-1.3,0035,,,,,,0.5,14.4,250,1300,7.6,270,2123,4.4,3833,270,-22.3,15,0920,29.9,1.3,1022.2,1030.6,2355,1016.6,0056,1025.6,9.6,8.9,1200,2.01,11.62,,,,,,,,-2.2,-11.1,-0.5,-0.1,0.9,2.1,2.6,5.9,9.1,14.2,15.7,,,,,
105,°­¸ª,2013-01-03,-7.5,-11.1,0640,-0.7,1428,,,,,,,11.8,230,0002,7.0,250,0007,4.0,3490,250,-24.2,14,1448,25.8,0.9,1028.1,1032.8,2238,1029.6,1425,1031.5,9.6,9.0,1200,2.02,11.66,,,,,,,,-4.4,-12.7,-1.9,-0.9,0.5,1.9,2.5,5.8,9.0,14.2,15.7,,,,,
105,°­¸ª,2013-01-04,-4.9,-10.6,0753,1.8,1432,,,,,,,8.9,250,0003,5.9,270,0849,3.2,2786,250,-19.7,15,1224,31.1,1.4,1025.0,1032.4,0320,1024.7,2303,1028.4,9.7,9.0,1200,1.98,11.57,,,,,,,,-4.3,-12.4,-2.2,-1.2,0.1,1.6,2.3,5.7,8.9,14.1,15.7,,,,,
105,°­¸ª,2013-01-05,-1.7,-5.4,0333,2.8,1300,,,,,,,11.7,250,1915,7.2,250,1556,4.3,3721,250,-17.0,20,0523,30.4,1.7,1018.4,1024.7,0001,1018.9,1428,1021.7,9.7,8.9,1200,1.95,11.31,,,,,,,,-3.0,-11.8,-1.7,-0.9,0.0,1.4,2.0,5.6,8.7,14.0,15.6,,,,,
105,°­¸ª,2013-01-06,-1.0,-4.6,0543,4.2,1325,,,,,,,7.8,250,0639,5.1,250,0659,2.7,2374,250,-16.9,15,1236,29.6,1.7,1019.5,1024.5,0942,1021.3,1409,1022.9,9.7,7.9,1200,1.9,10.44,,,,,,,,-2.8,-10.4,-1.3,-0.7,0.0,1.3,1.9,5.4,8.6,13.9,15.6,,,,,
105,°­¸ª,2013-01-07,0.1,-4.1,0423,5.5,1422,,,,,,,8.4,270,0950,5.5,250,0357,3.2,2795,250,-17.9,11,1337,25.4,1.5,1018.5,1023.5,0103,1019.5,1422,1021.8,9.7,5.1,1100,1.79,9.1,,,,,,,,-1.2,-9.5,-1.0,-0.6,0.0,1.3,1.8,5.3,8.5,13.8,15.6,,,,,
105,°­¸ª,2013-01-08,-0.1,-3.5,0752,5.4,1415,,,,,,,10.6,270,1817,6.7,270,1818,3.1,2693,250,-16.2,16,1224,29.8,1.8,1018.9,1024.7,0950,1020.2,1453,1022.2,9.7,8.1,1200,1.94,10.58,,,,,,,,-1.8,-10.0,-0.7,-0.3,0.1,1.2,1.7,5.1,8.4,13.7,15.5,,,,,
105,°­¸ª,2013-01-09,-4.0,-6.7,2400,0.0,1400,,,,,,,11.0,230,0251,6.4,250,0405,4.4,3782,250,-20.8,17,1400,26.4,1.2,1019.4,1024.1,2359,1020.5,1350,1022.8,9.7,9.0,1200,2.0,11.7,,,,,,,,-3.8,-12.7,-1.3,-0.7,0.0,1.2,1.7,5.0,8.3,13.6,15.5,,,,,
105,°­¸ª,2013-01-10,-3.7,-7.8,0414,1.0,1225,,,,,,,9.3,180,0454,5.8,250,0325,3.2,2786,250,-21.6,14,1151,23.9,1.1,1023.4,1029.1,2107,1024.0,0009,1026.8,9.7,9.1,1200,2.04,11.91,,,,,,,,-4.6,-11.2,-1.8,-1.0,-0.1,1.1,1.7,5.0,8.2,13.5,15.5,,,,,
