stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
284,거창,2013-01-01,-5.3,-10.7,0557,0.8,1436,,,,,10.02,1.7,8.6,270,1806,4.5,230,1604,1.0,824,290,-7.1,55,1810,87.5,3.7,991.5,1021.6,0321,1017.0,1329,1019.7,9.8,0.1,,,,4.3,1627,9.5,1627,4.3,6.0,5.3,-0.7,-15.5,,,,,,,,,,,,,{박무}0610-{시정(미만)}{1km}{안개}0640-{시정(미만)}{0.5km}{안개}0645-{시정(이상)}{0.5km}{안개}0655-{시정(미만)}{0.5km}{안개}0705-{시정(이상)}{0.5km}{안개}0715-{시정(이상)}{1km}{박무}0720-{박무}{강도0}0900-{박무}{강도2}1200-{박무}{강도1}1500-1725. {박무}2130-{박무}{강도0}2400- {눈}0735-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-1720. {눈}2325-2341.,0.67
284,거창,2013-01-02,-4.7,-10.7,2346,1.4,0313,,,,,2.52,0.0,10.9,290,0430,6.3,340,2210,3.1,2642,340,-12.2,40,1947,55.9,2.5,999.3,1033.7,2311,1019.1,0205,1027.6,9.8,9.0,,,,,,9.3,0001,,2.1,2.1,-0.4,-16.7,,,,,,,,,,,,,-{박무}-0245. {눈}0131-0145. {눈}0350-0540. {눈}0608-0635.,
284,거창,2013-01-03,-9.7,-13.8,2359,-5.7,1332,,,,,,,9.5,340,0324,5.8,340,0328,2.8,2380,20,-19.4,26,1339,46.5,1.3,1005.3,1037.0,0943,1032.8,1526,1034.4,9.8,9.1,,,,,,7.1,0001,,0.8,0.0,-0.7,-18.5,,,,,,,,,,,,,,
284,거창,2013-01-04,-9.2,-18.4,0732,2.3,1340,,,,,,,6.2,20,1602,4.4,20,1526,1.2,1046,360,-18.8,15,1412,52.5,1.4,1000.8,1034.2,0236,1026.0,1446,1029.7,9.8,9.1,,,,,,7.0,0001,,0.0,0.0,-1.4,-24.1,,,,,,,,,,,,,,
284,거창,2013-01-05,-7.3,-16.1,0525,1.4,1440,,,,,,,7.1,340,1514,4.2,290,1913,1.5,1257,360,-13.9,26,1238,62.9,2.2,996.2,1027.5,0001,1020.7,1448,1024.7,9.8,8.9,,,,,,6.0,0001,,1.6,0.0,-1.8,-21.4,,,,,,,,,,,,,,
284,거창,2013-01-06,-4.7,-10.6,0801,5.3,1456,,,,,,,4.1,230,0030,3.0,290,0002,1.1,980,50,-11.8,20,1522,63.1,2.5,995.6,1026.0,0903,1020.8,1456,1023.9,9.9,8.1,,,,,,4.6,0001,,3.8,0.0,-1.5,-14.1,,,,,,,,,,,,,,
284,거창,2013-01-07,-4.4,-12.3,0735,4.8,1436,,,,,,,7.6,20,1701,5.3,20,1701,1.4,1189,20,-13.1,17,1437,56.5,2.3,994.7,1025.9,0852,1019.5,1456,1022.8,9.9,9.2,,,,,,4.5,0001,,1.9,0.0,-1.6,-17.3,,,,,,,,,,,,,,
284,거창,2013-01-08,-3.8,-10.9,0758,4.7,1345,,,,,,,8.4,20,1628,6.2,20,1630,1.6,1414,360,-13.9,18,1326,50.6,2.1,995.2,1025.6,0906,1020.6,1411,1023.3,9.9,9.0,,,,,,4.0,0001,,0.9,0.0,-1.4,-15.6,,,,,,,,,,,,,,
284,거창,2013-01-09,-6.0,-10.5,2331,-0.7,1413,,,,,,,8.9,320,1703,5.3,340,1633,2.1,1774,270,-15.7,22,1515,48.0,1.8,996.3,1027.2,2329,1021.7,1410,1024.7,9.9,8.9,,,,,,3.7,0001,,1.0,0.0,-1.9,-15.3,,,,,,,,,,,,,,
284,거창,2013-01-10,-7.9,-14.5,0550,-0.9,1319,,,,,,,8.9,50,1356,5.8,20,1429,1.8,1564,20,-17.0,21,1320,52.6,1.6,1000.3,1031.4,2355,1026.9,0002,1029.0,9.9,9.2,,,,,,3.6,0001,,0.0,0.0,-3.5,-19.0,,,,,,,,,,,,,,
