stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
172,고창,2013-01-01,1.2,-6.8,0204,5.2,1329,,,,,5.87,0.9,11.2,270,1328,7.5,290,1333,3.3,2851,160,-0.9,60,1353,86.6,5.8,1014.0,1022.5,2349,1018.0,0658,1020.5,9.8,2.7,1300,1.46,6.94,1.5,0915,16.5,0915,2.1,7.9,6.4,0.9,-8.2,,,,,,,,,,,,,{눈}0554-{눈}{강도0}0600-{눈}{강도0}0900-0946. {눈}1024-1048. {눈}2101-2135. {눈}2258-{눈}{강도0}2400- {박무}0935-{박무}{강도0}1200-1225.,
172,고창,2013-01-02,-4.3,-9.4,2322,3.1,0148,,,,,7.3,0.2,12.2,360,0324,8.4,360,0402,4.7,4100,50,-7.6,65,1319,78.3,3.6,1024.3,1036.2,2358,1022.2,0040,1031.0,9.8,7.8,1200,1.94,10.89,0.4,0450,11.0,0450,0.4,5.0,5.0,0.6,-11.8,,,,,,,,,,,,,-{눈}-0112. {소낙눈}0312-{소낙눈}{강도0}0600-0848. {소낙눈}0915-0945.,
172,고창,2013-01-03,-7.6,-10.2,0730,-5.4,1418,,,,,10.35,0.5,11.2,50,0836,8.4,50,1004,4.3,3709,50,-10.9,61,1142,77.1,2.7,1030.5,1039.7,1007,1035.7,2356,1037.4,9.8,8.3,1200,2.03,11.35,1.6,0655,10.6,0655,1.6,5.0,4.0,-0.1,-10.9,,,,,,,,,,,,,{소낙눈}0012-{소낙눈}{강도0}0300-{소낙눈}{강도0}0600-0735. {소낙눈}1940-{소낙눈}{강도0}2100-2238.,
172,고창,2013-01-04,-8.2,-12.4,0811,-3.5,1425,,,,,,,8.4,70,1535,6.9,70,1603,3.4,2924,70,-11.3,58,1114,79.0,2.6,1025.6,1036.2,0220,1029.1,2356,1032.5,9.9,9.0,1200,1.97,12.02,,,9.2,0001,,0.0,0.0,-1.2,-13.2,,,,,,,,,,,,,,
172,고창,2013-01-05,-4.1,-11.8,0001,1.4,1437,,,,,,,6.4,340,1402,4.9,70,0426,2.1,1785,90,-7.8,57,0741,75.8,3.6,1020.2,1029.1,0001,1024.8,1411,1027.0,9.9,6.6,1200,1.87,10.28,,,8.8,0001,,3.9,3.4,-1.2,-12.4,,,,,,,,,,,,,,
172,고창,2013-01-06,-2.2,-7.8,2231,1.2,1511,,,,,,,7.8,70,1625,6.0,70,1629,2.3,1975,50,-5.0,60,1437,81.6,4.2,1019.4,1027.3,1035,1025.1,1627,1026.1,9.9,6.3,1200,1.8,10.12,,,8.6,0001,,4.1,1.0,-0.2,-10.0,,,,,,,,,,,,,,
172,고창,2013-01-07,-3.7,-10.1,0658,0.2,1314,,,,,,,9.2,50,1344,7.3,50,1513,2.7,2299,50,-8.5,40,1318,70.5,3.2,1018.6,1026.9,0633,1023.7,1447,1025.3,9.9,9.0,1200,2.02,11.56,,,7.5,0001,,1.3,0.0,-0.8,-12.0,,,,,,,,,,,,,,
172,고창,2013-01-08,-2.7,-8.1,0123,2.1,1444,,,,,,,9.3,50,1258,6.5,50,1320,2.1,1777,50,-6.8,54,1228,74.6,3.7,1019.1,1027.6,1015,1024.6,1350,1025.8,9.9,8.8,1200,1.8,10.7,,,7.3,0001,,1.4,0.0,-1.1,-11.1,,,,,,,,,,,,,,
172,고창,2013-01-09,-4.2,-7.1,2358,-2.0,1521,,,,,11.35,0.2,9.8,360,1511,6.8,360,1522,4.2,3600,50,-7.3,66,2259,78.6,3.6,1021.1,1029.0,2032,1026.5,1415,1027.9,9.9,3.4,1200,1.58,8.58,0.5,1450,7.5,1450,0.5,5.4,4.6,-0.6,-10.0,,,,,,,,,,,,,{소낙눈}0628-{소낙눈}{강도0}0900-0918. {소낙눈}1040-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1648. {소낙눈}2127-2350.,
172,고창,2013-01-10,-6.0,-10.0,2400,-2.6,1407,,,,,2.95,0.0,12.1,50,1102,8.8,50,1104,3.6,3130,50,-11.9,41,1408,63.6,2.5,1024.4,1032.9,2140,1028.8,0423,1031.2,9.9,9.1,1200,2.08,12.44,,,7.5,0001,,1.6,1.6,-1.3,-13.6,,,,,,,,,,,,,{소낙눈}0115-0135. {소낙눈}0410-0440. {소낙눈}0511-{소낙눈}{강도0}0600-0718.,
