stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
156,광주,2013-01-01,-0.3,-5.1,0506,5.2,1529,,,,,5.78,0.6,6.1,270,1450,3.1,250,1400,1.2,1024,200,-2.9,56,1549,83.5,5.0,1011.7,1022.4,2310,1019.5,0717,1020.9,9.8,3.8,1200,1.34,5.09,1.4,1145,5.5,1145,1.4,7.0,6.1,0.3,-9.8,,,,,,,,,,,,,{박무}0021-{박무}{강도0}0300-{박무}{강도0}0600-0735. {박무}1230-1447. {연무}1442-{연무}{강도0}1500-1540. {박무}2120-{박무}{강도0}2400- {소낙눈}0332-0350. {눈}0547-{눈}{강도0}0600-0729. {눈}0809-{눈}{강도0}0900-0937. {눈}1043-1145. {눈}2053-{눈}{강도0}2100-2131. {눈}2311-2350.,
156,광주,2013-01-02,-3.2,-7.9,2322,1.4,0322,,,,,3.45,0.5,10.9,20,1800,8.1,20,1805,2.8,2420,50,-9.0,50,1547,64.9,3.2,1021.0,1035.8,2350,1021.9,0015,1030.4,9.9,9.0,1100,1.7,9.95,1.0,0447,4.0,0447,1.0,5.0,5.0,0.1,-9.7,,,,,,,,,,,,,-{박무}-{박무}{강도1}0300-0443. {눈}0046-0212. {소낙눈}0355-0451. {소낙눈}0536-{소낙눈}{강도0}0600-0641.,
156,광주,2013-01-03,-6.8,-9.5,0732,-2.7,1341,,,,,0.32,0.0,8.6,50,0936,5.8,20,1024,2.8,2450,50,-13.4,40,1350,60.3,2.2,1027.4,1039.1,1019,1035.2,2358,1036.9,9.9,8.4,1200,2.0,10.99,,,1.8,0001,,2.4,0.8,-1.6,-11.6,,,,,,,,,,,,,{소낙눈}0356-0415.,
156,광주,2013-01-04,-6.0,-10.3,0719,-0.7,1455,,,,,,,6.3,20,1458,4.2,20,1521,2.0,1768,50,-14.6,30,1532,52.4,2.0,1022.3,1035.9,0230,1028.5,2354,1031.8,9.9,9.2,1200,1.99,12.0,,,,,,1.0,0.0,-1.9,-12.9,,,,,,,,,,,,,,
156,광주,2013-01-05,-3.3,-9.3,0247,2.9,1431,,,,,,,6.6,320,1536,4.7,50,1136,2.2,1911,50,-11.0,34,0927,56.8,2.8,1017.3,1028.6,0001,1024.0,1422,1026.6,9.9,8.7,1100,1.87,11.55,,,,,,3.0,1.9,-1.2,-12.3,,,,,,,,,,,,,{햇무리}1337-1422.,
156,광주,2013-01-06,-1.4,-4.4,2335,3.0,1355,,,,,,,7.5,50,0819,5.9,50,0806,2.0,1695,50,-9.0,32,1410,57.9,3.2,1016.4,1026.6,0144,1024.2,1612,1025.6,9.9,8.0,1200,1.86,10.74,,,,,,3.8,1.0,1.0,-8.9,,,,,,,,,,,,,,
156,광주,2013-01-07,-2.3,-6.4,0713,3.6,1438,,,,,,,10.1,20,1626,7.2,20,1631,2.5,2177,50,-12.0,20,1457,50.6,2.5,1015.3,1026.4,0630,1022.6,1435,1024.6,9.9,9.2,1200,1.96,11.74,,,,,,0.5,0.0,-0.2,-10.1,,,,,,,,,,,,,,
156,광주,2013-01-08,-0.7,-4.8,0720,5.3,1348,,,,,,,8.8,360,1220,6.0,20,1341,3.2,2784,20,-10.4,25,1603,49.6,2.8,1015.8,1026.7,1021,1023.5,1337,1025.0,9.9,8.9,1200,1.84,10.69,,,,,,0.0,0.0,0.1,-9.2,,,,,,,,,,,,,,
156,광주,2013-01-09,-3.4,-6.7,2400,0.2,1144,,,,,,,11.3,20,1658,6.6,360,1704,3.3,2823,50,-11.1,41,0102,55.1,2.6,1018.1,1028.9,2238,1025.5,1414,1027.4,10.0,8.2,1300,1.99,11.61,,,,,,2.9,2.0,-0.1,-9.5,,,,,,,,,,,,,,
156,광주,2013-01-10,-4.0,-7.6,0241,0.7,1502,,,,,,,9.1,20,1551,6.4,20,1415,3.4,2907,50,-14.9,21,1506,45.3,2.0,1021.2,1032.3,2145,1028.6,0412,1030.6,10.0,9.3,1200,2.05,12.45,,,,,,0.5,0.5,-1.0,-11.2,,,,,,,,,,,,,,
156,광주,2013-01-11,-1.5,-6.9,0151,5.1,1510,,,,,,,6.5,50,0444,5.0,50,0429,1.7,1508,50,-12.2,22,1552,45.8,2.4,1020.3,1032.8,0943,1026.5,2115,1029.6,10.0,8.2,1200,1.92,11.37,,,,,,2.8,0.0,-0.8,-11.6,,,,,,,,,,,,,,
156,광주,2013-01-12,1.7,-2.6,0653,8.3,1435,,,,,,,5.4,50,1450,3.1,20,1456,1.0,844,20,-3.7,48,1210,68.5,4.8,1017.0,1028.4,0103,1024.6,1707,1026.2,10.0,7.9,1200,1.6,8.89,,,,,,3.9,3.9,1.4,-6.8,,,,,,,,,,,,,{연무}1428-{연무}{강도0}1500-{연무}{강도0}1800-1845. {박무}1838-{박무}{강도0}2100-{박무}{강도0}2400-,
156,광주,2013-01-13,0.7,-2.7,0703,4.8,1524,,,,,,,6.4,50,0614,4.1,50,0619,1.0,897,20,-3.8,38,1653,73.1,4.6,1013.6,1026.3,0213,1019.7,1529,1022.8,10.0,0.0,1100,0.79,3.72,,,,,,6.8,0.9,-0.1,-8.6,,,,,,,,,,,,,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도1}0900-1150. {연무}1145-{연무}{강도0}1200-{연무}{강도0}1500-1627. {연무}1743-{연무}{강도0}1800-{연무}{강도0}2100-2145. {박무}2140-{박무}{강도0}2400-,
156,광주,2013-01-14,0.5,-4.4,0622,6.4,1307,,,,,,,9.5,340,1435,5.3,20,1401,1.7,1432,20,-5.3,27,1312,67.0,4.2,1012.2,1025.5,2400,1019.0,0516,1021.4,10.0,7.9,1200,1.78,10.52,,,,,,0.6,0.6,0.4,-10.3,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0930. {연무}0935-{연무}{강도0}1200-1247. {연무}1423-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
156,광주,2013-01-15,0.2,-4.6,0712,6.4,1500,,,,,,,4.7,70,0024,3.7,50,0028,1.2,1023,20,-7.3,33,1622,58.6,3.5,1016.0,1027.6,0945,1023.4,1909,1025.2,10.1,7.9,1200,1.82,10.29,,,,,,2.3,0.0,0.8,-9.6,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-0635. {박무}0631-0844. {연무}0838-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
156,광주,2013-01-16,-0.1,-3.3,0657,3.4,1220,,,,,1.17,0.0,6.8,50,1900,4.3,20,1900,1.4,1225,360,-4.1,58,1151,74.4,4.6,1015.8,1026.4,2041,1023.0,1351,1025.0,10.1,0.0,1100,0.93,3.83,,,,,,8.4,6.1,-0.2,-8.4,,,,,,,,,,,,,-{연무}-0217. {박무}0213-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0935. {연무}0930-{연무}{강도0}1200-1356. {박무}1354-{박무}{강도0}1500-1735. {동우}1313-1330. {안개비}1356-{진눈깨비}1405-{안개비}1425-1449.,
156,광주,2013-01-17,-1.9,-4.9,2331,0.3,0014,,,,,2.65,0.0,9.2,20,0902,5.0,20,1546,2.5,2165,360,-7.8,53,1301,63.8,3.4,1020.2,1032.4,2348,1026.2,0001,1029.5,10.1,3.7,1100,1.29,5.89,,,,,,6.1,5.8,0.3,-9.5,,,,,,,,,,,,,{소낙눈}0733-{소낙눈}{강도0}0900-1012.,
156,광주,2013-01-18,-1.6,-7.0,0725,4.7,1513,,,,,,,6.5,270,1510,3.3,50,1035,1.3,1136,50,-7.2,41,1349,66.5,3.6,1022.0,1033.8,0833,1029.3,1611,1031.4,10.1,9.4,1200,2.08,12.82,,,,,,1.1,1.1,0.2,-11.5,,,,,,,,,,,,,,
156,광주,2013-01-19,1.7,-1.3,0230,6.8,1305,,,,,,,5.0,70,1553,2.9,230,1305,0.9,762,50,-3.6,48,1306,68.6,4.7,1021.2,1032.5,2237,1028.6,1415,1030.3,10.1,1.1,1200,1.41,5.67,,,,,,6.3,6.3,1.5,-6.2,,,,,,,,,,,,,{박무}2052-{박무}{강도0}2100-{박무}{강도0}2400-,
156,광주,2013-01-20,4.2,-2.6,0632,10.8,1412,,,,,2.47,0.5,10.1,200,1503,7.2,200,1511,2.2,1917,20,-1.4,40,1414,69.8,5.6,1021.0,1033.8,1039,1027.5,2356,1030.1,10.2,5.8,1200,1.88,9.79,,,,,,6.8,1.9,3.5,-7.6,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1013. {연무}1010-{연무}{강도0}1200-1432. {햇무리}0827-0934. {비}2132-{비}{강도0}2400-,
156,광주,2013-01-21,6.8,5.5,0001,7.9,0212,,,,,20.25,13.5,5.9,180,0147,3.5,250,2340,1.4,1182,320,5.7,72,0144,93.0,9.1,1011.1,1027.5,0001,1016.7,1730,1020.0,10.2,0.0,1400,0.16,0.82,,,,,,10.0,6.8,5.4,4.4,,,,,,,,,,,,,-{비}-{비}{강도0}0300-{비}{강도0}0600-0638. {비}0741-0827. {비}0941-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-2127. {비}2235-2340. {박무}2012-{박무}{강도1}2100-2345.,
156,광주,2013-01-22,4.1,3.2,2348,6.4,0001,,,,,1.13,0.2,7.5,270,0428,3.6,50,1556,1.8,1530,50,1.5,73,1334,83.9,6.8,1012.3,1023.3,1003,1017.1,0010,1021.3,10.2,0.0,1300,0.37,2.03,,,,,,10.0,6.4,4.5,2.8,,,,,,,,,,,,,{비}2252-{비}{강도0}2400-,
