stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
238,금산,2013-01-01,-5.0,-12.8,0400,2.2,1435,,,,,,4.0,8.3,270,1421,3.8,270,1422,1.1,919,270,-8.2,54,1547,78.8,3.4,998.1,1022.6,0036,1017.7,1239,1019.8,9.8,0.3,,,,,,,,,,,-0.3,-13.5,,,,,,,,,,,,,,
238,금산,2013-01-02,-8.8,-17.6,2324,0.0,0046,,,,,,1.0,7.5,290,0200,4.7,290,0206,1.6,1352,290,-14.3,45,1406,65.4,2.1,1008.8,1037.0,2400,1020.1,0041,1031.2,9.8,2.5,,,,,,,,,,,-0.1,-17.7,,,,,,,,,,,,,,
238,금산,2013-01-03,-14.2,-21.1,0749,-5.8,1455,,,,,,,6.4,270,1438,3.7,290,1535,0.9,746,290,-19.9,33,1327,65.5,1.3,1014.9,1040.6,0921,1035.8,1518,1037.9,9.8,8.5,,,,,,,,,,,-0.2,-21.7,,,,,,,,,,,,,,
238,금산,2013-01-04,-13.8,-22.0,0732,-2.4,1525,,,,,,,5.3,270,1901,1.8,250,1730,0.5,469,270,-19.9,21,1532,64.8,1.3,1010.3,1037.6,0241,1029.8,1548,1033.1,9.8,8.8,,,,,,,,,,,-0.3,-22.7,,,,,,,,,,,,,,
238,금산,2013-01-05,-9.6,-20.2,0753,1.2,1509,,,,,,,6.1,250,1543,3.3,270,1543,0.7,635,270,-14.7,39,1316,68.1,2.1,1005.1,1030.4,0429,1023.6,1459,1027.4,9.8,8.4,,,,,,,,,,,-0.2,-20.4,,,,,,,,,,,,,,
238,금산,2013-01-06,-7.2,-13.3,2359,1.2,1404,,,,,,,5.0,340,1513,2.9,340,1449,0.7,635,250,-13.2,30,1550,66.3,2.2,1004.4,1027.8,0526,1024.4,1458,1026.5,9.8,7.8,,,,,,,,,,,-0.2,-14.1,,,,,,,,,,,,,,
238,금산,2013-01-07,-7.9,-14.8,0416,1.5,1427,,,,,,,7.6,230,0931,2.5,360,1600,0.8,707,270,-14.1,21,1318,65.1,2.1,1003.8,1028.9,0838,1023.7,1441,1025.9,9.8,8.3,,,,,,,,,,,-0.2,-15.7,,,,,,,,,,,,,,
238,금산,2013-01-08,-7.2,-14.4,0746,2.3,1336,,,,,,,5.6,340,1636,2.9,340,1643,0.6,551,270,-13.1,29,1338,65.9,2.3,1004.1,1028.4,0854,1023.8,1404,1026.3,9.9,8.3,,,,,,,,,,,-0.2,-15.1,,,,,,,,,,,,,,
238,금산,2013-01-09,-8.6,-13.8,0700,-2.0,1401,,,,,,,7.7,270,1928,3.7,270,1142,1.3,1110,270,-16.1,32,1342,58.3,1.8,1005.4,1029.7,2355,1025.0,1358,1027.7,9.9,8.4,,,,,,,,,,,-0.2,-14.7,,,,,,,,,,,,,,
238,금산,2013-01-10,-11.3,-18.6,0751,-1.7,1455,,,,,,,6.1,290,1552,2.8,340,1637,0.8,650,270,-18.8,22,1449,59.6,1.4,1009.4,1033.8,2345,1029.6,0007,1032.0,9.9,8.9,,,,,,,,,,,-0.3,-20.2,,,,,,,,,,,,,,
238,금산,2013-01-11,-8.1,-18.1,0751,3.1,1426,,,,,,,2.1,290,0252,1.2,250,1834,0.5,426,270,-13.4,38,1429,67.8,2.3,1008.2,1034.5,0258,1026.6,2120,1030.5,9.9,8.1,,,,,,,,,,,-0.3,-18.8,,,,,,,,,,,,,,
238,금산,2013-01-12,-2.3,-10.1,0313,6.6,1223,,,,,,,7.0,230,1300,3.8,230,1352,1.0,854,250,-6.3,53,1435,75.1,3.9,1004.2,1028.7,0210,1023.9,1357,1025.9,9.9,3.6,,,,,,,,,,,-0.2,-13.0,,,,,,,,,,,,,,
238,금산,2013-01-13,-2.4,-6.6,0022,2.8,1549,,,,,,,2.0,160,1254,1.1,250,2239,0.3,291,140,-5.4,56,1543,80.3,4.1,1002.3,1027.4,0148,1020.6,1540,1024.0,9.9,0.0,,,,,,,,,,,-0.1,-8.0,,,,,,,,,,,,,,
238,금산,2013-01-14,-4.0,-10.3,0459,4.4,1312,,,,,,,9.5,290,1935,3.7,270,1516,1.0,840,270,-8.2,37,1310,73.5,3.4,999.9,1025.3,2352,1019.1,1504,1021.7,10.0,4.3,,,,,,,,,,,-0.2,-11.2,,,,,,,,,,,,,,
238,금산,2013-01-15,-5.3,-12.4,0717,4.5,1548,,,,,,,2.7,250,1742,1.8,270,1726,0.5,423,270,-9.8,36,1546,72.8,2.9,1003.7,1028.3,0759,1023.6,1453,1025.7,10.0,7.5,,,,,,,,,,,-0.3,-13.5,,,,,,,,,,,,,,
238,금산,2013-01-16,-3.2,-10.0,0503,1.6,1457,,,,,,,6.1,270,1834,3.6,290,1945,1.1,970,290,-6.9,60,1206,75.8,3.7,1002.8,1026.2,0304,1021.7,1422,1024.6,10.0,0.0,,,,,,,,,,,-0.1,-11.1,,,,,,,,,,,,,,
238,금산,2013-01-17,-5.1,-11.2,2358,-2.1,1124,,,,,,,5.7,340,1409,3.3,290,0145,1.7,1451,290,-10.8,50,1127,64.8,2.7,1007.4,1032.5,2209,1025.8,0001,1029.4,10.0,3.0,,,,,,,,,,,-0.2,-12.3,,,,,,,,,,,,,,
238,금산,2013-01-18,-6.1,-15.1,0743,2.6,1444,,,,,,,4.8,20,1601,2.2,270,1428,0.6,530,290,-12.1,24,1445,66.5,2.5,1009.2,1034.6,0913,1028.8,1513,1031.3,10.1,8.6,,,,,,,,,,,-0.5,-15.6,,,,,,,,,,,,,,
238,금산,2013-01-19,-1.7,-7.3,0130,5.8,1159,,,,,,,6.2,200,1256,3.2,250,1305,0.8,707,270,-6.3,46,1200,72.6,3.9,1008.2,1032.8,2247,1027.6,1308,1029.9,10.1,1.9,,,,,,,,,,,-0.1,-7.4,,,,,,,,,,,,,,
238,금산,2013-01-20,-1.0,-7.6,0719,7.1,1521,,,,,,,6.4,90,1313,3.5,140,1309,0.7,575,270,-5.4,37,1510,73.9,4.1,1009.3,1034.2,1038,1028.9,1531,1031.0,10.1,4.0,,,,,,,,,,,-0.4,-7.7,,,,,,,,,,,,,,
238,금산,2013-01-21,2.4,0.6,0246,3.8,1336,,,,,,28.5,3.1,140,1014,1.5,140,1611,0.6,522,160,0.9,75,0025,90.1,6.6,999.3,1029.2,0001,1016.6,1717,1020.4,10.1,0.0,,,,,,,,,,,-0.1,-0.1,,,,,,,,,,,,,,
238,금산,2013-01-22,2.4,1.2,2136,4.4,1358,,,,,,1.5,5.0,340,0607,1.8,360,1328,0.5,455,320,0.9,80,1402,90.1,6.5,999.6,1022.8,1024,1016.3,0027,1020.8,10.1,0.0,,,,,,,,,,,-0.1,-0.3,,,,,,,,,,,,,,
238,금산,2013-01-23,1.3,0.0,2329,3.0,1518,,,,,,1.0,3.5,270,2037,1.7,270,2039,0.4,378,270,-0.2,76,2230,89.6,6.0,998.2,1022.0,0001,1017.8,1529,1019.5,10.2,0.0,,,,,,,,,,,-0.1,-1.8,,,,,,,,,,,,,,
238,금산,2013-01-24,-0.1,-4.0,2356,2.9,1453,,,,,,1.0,7.7,290,1759,4.8,290,1822,1.9,1610,270,-4.8,51,2304,70.9,4.4,996.2,1021.1,2352,1014.6,1452,1017.5,10.2,0.0,,,,,,,,,,,0.0,-6.1,,,,,,,,,,,,,,
238,금산,2013-01-25,-5.4,-7.8,2335,-1.3,1359,,,,,,,9.0,250,1248,4.8,270,0933,2.5,2174,270,-15.2,30,1417,46.6,1.9,1000.2,1023.3,1001,1020.6,1428,1022.1,10.2,9.1,,,,,,,,,,,-1.4,-8.6,,,,,,,,,,,,,,
238,금산,2013-01-26,-6.4,-10.1,0715,-1.1,1550,,,,,,0.0,7.5,320,1219,3.7,270,1101,1.8,1534,290,-16.1,24,1543,48.3,1.8,1001.6,1026.3,2357,1021.9,1446,1023.6,10.3,9.3,,,,,,,,,,,-1.5,-10.3,,,,,,,,,,,,,,
238,금산,2013-01-27,-6.8,-11.6,0458,-1.4,1620,,,,,,0.0,9.5,270,1300,4.5,270,1304,1.3,1158,270,-12.1,40,1613,66.9,2.4,1004.0,1027.8,2350,1024.0,1414,1026.1,10.3,4.5,,,,,,,,,,,-2.1,-11.9,,,,,,,,,,,,,,
238,금산,2013-01-28,-3.3,-12.5,0700,4.3,1444,,,,,,,5.4,230,1335,3.2,230,1343,0.7,614,230,-8.6,34,1308,68.9,3.3,1006.0,1029.7,0853,1026.4,1630,1027.8,10.3,7.4,,,,,,,,,,,-1.1,-12.9,,,,,,,,,,,,,,
238,금산,2013-01-29,-0.4,-6.2,0725,7.8,1558,,,,,,,2.7,320,1602,1.4,270,1809,0.4,351,320,-3.6,55,1558,79.8,4.7,1006.2,1029.2,2347,1025.9,1616,1027.7,10.3,0.3,,,,,,,,,,,-0.1,-7.1,,,,,,,,,,,,,,
238,금산,2013-01-30,1.5,-3.5,0329,12.3,1538,,,,,,,2.5,340,1523,1.6,250,1809,0.5,401,50,-2.6,29,1558,78.3,5.1,1008.9,1032.2,1016,1027.8,1532,1030.4,10.4,4.9,,,,,,,,,,,0.8,-5.6,,,,,,,,,,,,,,
238,금산,2013-01-31,4.2,-3.3,0715,13.5,1350,,,,,,0.0,4.3,250,0749,2.1,70,1631,0.6,505,110,-1.8,31,1358,68.6,5.4,1008.7,1033.5,0842,1026.7,2301,1029.9,10.4,5.7,,,,,,,,,,,1.2,-5.3,,,,,,,,,,,,,,
238,금산,2013-02-01,7.5,3.8,0104,13.2,1510,,,,,,23.0,8.7,270,1802,4.2,230,1515,1.5,1277,270,5.8,75,0001,89.0,9.3,997.9,1026.8,0001,1012.0,1424,1018.6,10.4,0.0,,,,,,,,,,,3.7,1.6,,,,,,,,,,,,,,
238,금산,2013-02-02,1.5,-4.7,2356,7.0,0001,,,,,,,9.7,270,0132,3.7,290,1614,1.8,1558,290,-7.5,27,1544,54.8,3.7,1005.8,1030.8,2357,1021.0,0001,1027.3,10.5,9.1,,,,,,,,,,,2.8,-7.5,,,,,,,,,,,,,,
