stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
235,보령,2013-01-01,0.4,-6.1,0001,4.3,1156,,,,,7.5,6.1,10.0,180,0625,5.5,180,0633,2.2,1942,20,-3.7,48,1300,75.9,4.7,1016.8,1021.3,2400,1016.0,0705,1018.8,9.7,4.4,,,,7.0,0840,7.8,0840,7.2,8.0,6.9,-0.6,-7.2,,,,,,,,,,,,,{소낙눈}0305-0330. {소낙눈}0440-{눈}0450-{눈}{강도0}0600-0850. {눈}1340-{눈}{강도0}1500-1555. {눈}2320-{눈}{강도0}2400- {박무}1740-{박무}{강도0}1800-2030.,
235,보령,2013-01-02,-7.3,-10.1,2118,0.6,0001,,,,,3.42,0.1,10.3,340,0218,7.0,360,0203,3.5,3012,360,-12.3,54,1240,67.3,2.4,1029.3,1036.4,2355,1021.3,0001,1031.3,9.8,8.6,,,,0.1,0020,4.3,0020,0.1,4.9,4.9,-3.1,-11.3,,,,,,,,,,,,,-{눈}-0030. {눈}0315-{소낙눈}0430-{소낙눈}{강도0}0600-0610.,
235,보령,2013-01-03,-9.6,-13.6,0621,-5.4,1514,,,,,1.25,0.1,6.9,360,1203,4.4,360,1201,2.1,1828,360,-14.5,50,1430,68.0,2.0,1035.4,1039.5,0929,1036.2,2355,1037.5,9.8,8.4,,,,0.1,0050,4.1,0050,0.1,1.8,1.8,-5.0,-15.3,,,,,,,,,,,,,{소낙눈}0025-0140.,
235,보령,2013-01-04,-9.0,-13.5,0312,-2.8,1440,,,,,,,5.8,70,0508,3.3,50,1019,1.4,1214,20,-14.4,48,1318,65.5,2.0,1030.2,1036.6,0255,1028.9,2354,1032.3,9.8,8.7,,,,,,3.9,0001,,0.0,0.0,-5.3,-17.5,,,,,,,,,,,,,,
235,보령,2013-01-05,-4.4,-11.2,0030,0.8,1302,,,,,1.92,0.0,5.2,50,0534,3.7,180,1349,1.4,1199,50,-9.2,41,1128,71.4,3.2,1024.2,1029.0,0044,1024.5,1420,1026.3,9.8,6.4,,,,,,3.8,0001,,3.9,3.5,-3.0,-12.5,,,,,,,,,,,,,{소낙눈}1530-1725. {박무}1540-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
235,보령,2013-01-06,-4.1,-8.8,2232,0.0,1341,,,,,,,5.6,340,1227,3.8,50,1054,1.3,1150,20,-8.4,39,1258,73.4,3.3,1024.0,1026.8,0508,1025.3,1628,1026.0,9.8,8.1,,,,,,3.5,0001,,4.0,1.3,-2.4,-12.8,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-1040. {연무}1030-{연무}{강도0}1200-{연무}{강도0}1500-1540. {연무}1920-{연무}{강도0}2100-2220. {박무}2215-{박무}{강도0}2400-,
235,보령,2013-01-07,-3.8,-8.2,0359,1.1,1430,,,,,,,5.7,20,1514,3.8,360,1359,1.6,1410,20,-10.4,37,1211,61.6,2.8,1023.1,1027.2,0759,1024.0,1507,1025.1,9.8,7.3,,,,,,3.2,0001,,3.0,0.4,-2.4,-10.3,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0930.,
235,보령,2013-01-08,-3.0,-7.2,0554,2.1,1437,,,,,,,7.6,360,1145,4.7,360,1147,1.8,1555,20,-9.0,39,1312,64.9,3.1,1023.8,1027.5,1002,1024.4,1332,1025.8,9.8,7.9,,,,,,3.0,0001,,2.5,0.0,-2.0,-10.1,,,,,,,,,,,,,{박무}0120-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1010. {연무}1005-{연무}{강도0}1200-1230.,
235,보령,2013-01-09,-5.7,-9.4,2328,-2.9,1229,,,,,,,9.2,340,1137,5.0,340,1504,2.3,1991,20,-12.2,37,1316,60.3,2.4,1025.9,1029.0,1039,1026.8,0428,1027.9,9.8,8.4,,,,,,2.8,0001,,4.0,3.3,-4.7,-13.6,,,,,,,,,,,,,,
235,보령,2013-01-10,-7.0,-10.4,0346,-2.1,1446,,,,,,,6.8,340,1506,3.8,340,1529,1.8,1528,20,-15.5,29,1239,52.9,1.8,1029.1,1032.6,1049,1028.8,0006,1031.2,9.9,8.8,,,,,,2.7,0001,,0.0,0.0,-4.5,-13.8,,,,,,,,,,,,,,
235,보령,2013-01-11,-3.5,-9.6,0226,2.2,1309,,,,,,,4.7,50,0931,2.8,20,0439,1.1,928,20,-8.7,50,1324,67.9,3.2,1027.3,1032.6,0239,1025.7,2046,1029.3,9.9,6.7,,,,,,2.6,0001,,3.8,0.1,-3.3,-12.7,,,,,,,,,,,,,{햇무리}1345-1610.,
235,보령,2013-01-12,1.7,-4.0,0010,5.7,1211,,,,,0.25,0.0,7.9,180,0519,5.4,180,0520,1.5,1293,180,-2.4,55,0118,74.8,5.2,1023.3,1027.1,0030,1024.0,0602,1025.3,9.9,2.8,,,,,,2.2,0001,,5.5,5.5,-0.3,-7.0,,,,,,,,,,,,,{비}0610-0625. {연무}1020-{연무}{강도0}1200-{연무}{강도1}1500-{연무}{강도1}1800-1850. {박무}1840-{박무}{강도1}2100-{박무}{강도2}2400-,
235,보령,2013-01-13,0.5,-3.1,0416,3.5,1238,,,,,,,7.3,20,0812,4.2,20,0720,2.1,1842,20,-4.4,50,1216,70.3,4.4,1021.5,1026.5,0133,1020.4,1555,1023.5,9.9,0.0,,,,,,0.8,0001,,5.1,0.0,-1.0,-5.1,,,,,,,,,,,,,-{박무}-{박무}{강도2}0300-{박무}{강도1}0600-0710. {연무}0705-{연무}{강도1}0900-{연무}{강도1}1200-{연무}{강도1}1500-{연무}{강도1}1800-{연무}{강도1}2100-{연무}{강도1}2400-,
235,보령,2013-01-14,-0.9,-5.2,0504,4.4,1533,,,,,,,8.7,360,1223,4.1,340,1928,1.6,1353,360,-5.4,52,1927,72.1,4.1,1019.8,1025.2,2400,1019.3,0517,1021.7,9.9,3.0,,,,,,0.4,0001,,1.1,1.1,-2.0,-9.1,,,,,,,,,,,,,-{연무}-0110. {박무}0105-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도2}0900-0950. {연무}0945-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
235,보령,2013-01-15,-2.3,-6.2,0645,2.7,1409,,,,,,,4.9,200,1449,3.7,200,1452,1.2,1038,20,-6.6,45,1405,73.0,3.8,1023.4,1027.4,0953,1023.9,1827,1025.4,10.0,7.0,,,,,,,,,4.5,0.3,-1.7,-9.5,,,,,,,,,,,,,-{연무}-0055. {박무}0050-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1010. {연무}1005-{연무}{강도0}1200-1340. {박무}1745-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400- {햇무리}0830-1530.,
