stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
226,보은,2013-01-01,-7.8,-15.1,0540,-0.2,1324,,,,,,3.0,5.5,320,1608,3.4,340,1609,0.6,560,340,-10.1,64,1324,83.1,3.0,997.8,1023.5,0042,1018.1,1318,1020.5,9.7,1.1,,,,,,,,,,,-0.2,-5.3,,,,,,,,,,,,,,
226,보은,2013-01-02,-10.3,-18.7,2356,-2.7,0204,,,,,,1.5,11.4,320,0328,6.6,320,0329,2.7,2365,340,-17.3,38,0940,57.5,1.6,1008.2,1036.9,2358,1020.4,0035,1031.3,9.7,7.7,,,,,,,,,,,-0.1,-3.1,,,,,,,,,,,,,,
226,보은,2013-01-03,-14.5,-21.1,0753,-7.6,1532,,,,,,,9.7,290,1423,5.3,320,1440,1.4,1172,360,-20.6,33,1148,63.0,1.2,1014.2,1040.3,0847,1036.0,1524,1037.8,9.8,7.8,,,,,,,,,,,-0.1,-3.9,,,,,,,,,,,,,,
226,보은,2013-01-04,-14.1,-22.0,0636,-3.7,1450,,,,,,,4.8,230,1548,2.6,230,1556,0.7,567,340,-20.8,27,1532,61.4,1.2,1009.8,1037.5,0322,1030.3,2344,1033.3,9.8,7.8,,,,,,,,,,,-0.1,-4.5,,,,,,,,,,,,,,
226,보은,2013-01-05,-10.2,-21.0,0452,-0.3,1413,,,,,,,7.0,320,1452,4.4,320,1455,0.9,741,290,-15.2,38,1211,68.6,2.1,1004.6,1030.7,0450,1024.1,1422,1027.6,9.8,7.2,,,,,,,,,,,-0.1,-4.6,,,,,,,,,,,,,,
226,보은,2013-01-06,-8.2,-15.6,2341,0.7,1334,,,,,,,5.3,270,1405,3.2,250,1411,0.8,683,340,-14.6,29,1540,64.5,2.0,1003.9,1028.0,2342,1024.7,1333,1026.7,9.8,7.6,,,,,,,,,,,-0.1,-3.9,,,,,,,,,,,,,,
226,보은,2013-01-07,-9.0,-16.5,0444,1.8,1412,,,,,,,8.7,360,1504,5.6,340,1504,1.0,876,360,-14.7,27,1309,65.8,2.0,1003.2,1028.8,0857,1023.8,1426,1026.0,9.8,5.9,,,,,,,,,,,-0.1,-4.2,,,,,,,,,,,,,,
226,보은,2013-01-08,-7.1,-14.3,0503,2.2,1334,,,,,,,7.2,320,1539,4.5,320,1545,1.0,853,340,-13.5,30,1349,63.3,2.2,1003.6,1028.8,0946,1023.8,1334,1026.2,9.8,7.7,,,,,,,,,,,-0.1,-4.2,,,,,,,,,,,,,,
226,보은,2013-01-09,-8.0,-13.2,2356,-4.0,1354,,,,,,,8.8,320,1055,5.7,320,1250,2.2,1885,320,-15.9,35,1501,54.0,1.8,1004.8,1029.5,2328,1025.4,1420,1027.6,9.8,7.9,,,,,,,,,,,0.0,-4.9,,,,,,,,,,,,,,
226,보은,2013-01-10,-11.6,-19.0,0709,-3.6,1212,,,,,,,7.3,360,1427,4.4,340,1430,1.1,954,340,-19.2,26,1213,57.8,1.4,1008.5,1033.8,2356,1029.4,0001,1031.7,9.9,8.0,,,,,,,,,,,-0.1,-6.0,,,,,,,,,,,,,,
226,보은,2013-01-11,-8.9,-18.8,0749,1.6,1404,,,,,,,3.2,180,1553,2.4,180,1558,0.6,538,140,-14.0,40,1249,68.4,2.2,1007.9,1034.7,0328,1027.1,2048,1030.8,9.9,6.3,,,,,,,,,,,-0.1,-5.6,,,,,,,,,,,,,,
226,보은,2013-01-12,-3.5,-11.5,0316,6.4,1344,,,,,,,5.6,250,1532,3.1,250,1617,0.6,558,320,-7.1,52,1609,76.8,3.7,1003.8,1029.1,0222,1023.8,1344,1026.2,9.9,1.7,,,,,,,,,,,-0.1,-3.9,,,,,,,,,,,,,,
226,보은,2013-01-13,-3.5,-8.3,0633,2.9,1414,,,,,,,3.5,160,1325,2.4,180,1329,0.4,363,160,-7.3,46,1456,76.1,3.6,1002.2,1028.0,0410,1020.9,1608,1024.5,9.9,0.0,,,,,,,,,,,0.0,-4.1,,,,,,,,,,,,,,
226,보은,2013-01-14,-4.4,-11.5,0701,2.7,1314,,,,,,,9.2,320,1241,5.7,340,1243,1.5,1255,340,-8.7,46,1212,73.1,3.2,999.2,1025.6,2351,1018.9,1419,1021.6,9.9,3.9,,,,,,,,,,,0.0,-5.5,,,,,,,,,,,,,,
226,보은,2013-01-15,-5.8,-13.1,0804,3.3,1532,,,,,,,3.6,200,1335,2.5,200,1343,0.6,506,180,-10.5,36,1524,71.5,2.8,1003.4,1028.6,0803,1024.0,1618,1026.0,10.0,7.9,,,,,,,,,,,-0.1,-6.1,,,,,,,,,,,,,,
226,보은,2013-01-16,-4.1,-11.4,0457,0.6,1346,,,,,,0.2,6.2,320,2308,3.7,320,2015,1.2,1005,320,-7.4,61,2308,78.1,3.6,1002.4,1026.2,0307,1022.0,1414,1024.8,10.0,0.0,,,,,,,,,,,-0.1,-5.7,,,,,,,,,,,,,,
226,보은,2013-01-17,-5.9,-11.6,2338,-2.4,1332,,,,,,,6.7,340,0503,4.4,320,0508,2.2,1899,320,-10.6,56,1323,70.0,2.7,1006.9,1032.7,2158,1025.9,0001,1029.6,10.0,1.5,,,,,,,,,,,0.1,-5.2,,,,,,,,,,,,,,
