stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
271,∫¿»≠,2013-01-01,-10.4,-17.0,0509,-3.3,1417,,,,,,2.0,5.6,230,1509,3.3,230,1512,1.0,879,360,-12.3,71,0001,86.0,2.5,979.1,1023.6,0314,1017.3,1415,1020.7,9.7,1.0,,,,,,,,,,,-2.8,-12.2,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-02,-9.9,-18.9,2342,-4.3,0244,,,,,,0.5,14.6,320,1502,7.5,320,1507,2.6,2265,290,-20.0,16,1058,47.9,1.5,985.9,1034.4,2355,1019.2,0110,1027.8,9.7,8.4,,,,,,,,,,,-1.8,-6.6,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-03,-14.1,-21.6,0725,-7.4,1445,,,,,,,11.7,340,0249,5.2,290,0255,2.2,1891,160,-23.3,26,1503,48.5,0.9,991.7,1036.6,0820,1032.3,1445,1034.5,9.7,8.4,,,,,,,,,,,-2.5,-8.0,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-04,-16.6,-25.0,0731,-5.5,1545,,,,,,,3.8,160,1407,2.7,160,1346,0.9,789,340,-21.8,34,1339,67.4,1.1,989.1,1037.1,0259,1028.2,1514,1032.2,9.7,8.4,,,,,,,,,,,-3.0,-9.7,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-05,-10.9,-23.7,0733,-2.1,1516,,,,,,,15.0,320,1218,7.7,340,1414,2.3,1995,340,-17.4,38,1549,60.8,1.7,983.8,1030.1,0238,1021.1,1447,1025.8,9.7,8.4,,,,,,,,,,,-3.1,-10.1,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-06,-10.7,-16.8,0633,0.0,1435,,,,,,,7.1,340,0001,4.9,320,0001,0.9,741,160,-15.4,32,1556,71.5,1.9,983.7,1027.8,0628,1021.9,1354,1025.6,9.8,7.3,,,,,,,,,,,-2.8,-10.6,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-07,-9.7,-18.0,0423,0.0,1409,,,,,,,7.6,250,1511,4.1,230,1528,0.9,801,160,-16.3,27,1424,63.4,1.7,982.8,1027.5,0029,1020.3,1308,1024.5,9.8,5.5,,,,,,,,,,,-3.0,-11.4,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-08,-7.8,-16.5,0808,2.4,1432,,,,,,,8.6,320,1645,5.1,320,1659,1.3,1088,320,-15.5,23,1434,61.3,1.8,983.1,1027.8,0808,1020.7,1432,1024.5,9.8,8.3,,,,,,,,,,,-2.9,-10.6,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-09,-9.2,-15.5,0746,-3.2,1344,,,,,,,9.6,20,1020,5.7,360,1026,1.9,1612,340,-19.8,21,1346,45.0,1.3,983.2,1027.2,2211,1021.6,1344,1024.8,9.8,8.4,,,,,,,,,,,-3.1,-11.1,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-10,-12.0,-20.8,0739,-2.6,1349,,,,,,,9.2,340,1948,4.7,320,1931,2.0,1739,320,-20.7,21,1449,53.0,1.2,987.3,1033.1,2348,1026.5,0015,1029.5,9.8,8.5,,,,,,,,,,,-3.6,-13.4,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-11,-10.2,-20.6,0735,0.4,1510,,,,,,,4.2,180,1356,2.9,160,1344,0.9,782,160,-15.8,35,1447,66.6,1.9,988.3,1034.8,0741,1026.8,2206,1030.2,9.8,8.2,,,,,,,,,,,-3.9,-13.9,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-12,-4.9,-14.0,0453,4.1,1325,,,,,,,8.7,320,1246,5.3,340,1528,1.6,1393,160,-9.4,48,1328,72.9,3.1,984.2,1028.5,0244,1021.8,1325,1025.1,9.9,5.0,,,,,,,,,,,-2.8,-10.5,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-13,-4.5,-11.4,0602,4.5,1411,,,,,,,3.2,20,2111,2.0,20,2035,0.7,635,360,-8.9,35,1414,74.3,3.2,983.6,1028.5,0439,1020.7,1638,1024.5,9.9,0.0,,,,,,,,,,,-2.8,-9.0,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-14,-4.9,-13.4,0744,3.6,1201,,,,,,,14.2,360,1218,7.0,340,1224,1.6,1414,340,-11.1,29,1207,67.9,2.6,979.2,1025.2,2359,1014.7,1323,1019.9,9.9,8.2,,,,,,,,,,,-2.9,-10.4,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-15,-5.3,-12.5,0739,3.7,1340,,,,,,,5.4,160,1250,3.2,160,1253,0.9,801,160,-9.9,39,1210,73.5,2.9,984.4,1029.1,0739,1022.9,1435,1025.5,9.9,7.8,,,,,,,,,,,-2.9,-9.9,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-16,-4.7,-13.5,0433,1.9,1432,,,,,,,7.6,340,1309,5.0,340,1318,1.4,1168,340,-10.0,50,1223,68.5,2.9,982.0,1025.5,0851,1019.6,1348,1022.8,9.9,1.3,,,,,,,,,,,-3.0,-10.5,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-17,-4.2,-9.6,2358,0.4,1313,,,,,,0.0,6.9,340,1909,4.6,340,1917,1.5,1261,140,-9.8,48,1234,66.3,2.9,985.5,1030.1,2321,1022.5,0004,1026.4,10.0,3.8,,,,,,,,,,,-2.2,-8.1,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-18,-7.9,-15.7,0747,-0.3,1519,,,,,,,7.8,230,1417,4.5,230,1554,1.4,1243,230,-14.6,31,2030,62.8,2.0,987.9,1033.3,0916,1026.0,1516,1029.5,10.0,8.1,,,,,,,,,,,-3.3,-11.5,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-19,-6.0,-14.0,0731,2.3,1444,,,,,,,11.6,360,1049,5.9,360,1043,1.9,1640,340,-10.6,46,1347,71.4,2.8,987.9,1031.9,2347,1025.7,1322,1029.2,10.0,7.0,,,,,,,,,,,-3.4,-10.9,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-20,-2.4,-12.0,0710,4.9,1405,,,,,,,7.4,110,1209,4.1,140,1210,1.0,835,50,-6.9,47,1339,73.3,3.8,992.2,1036.2,0907,1030.9,1541,1033.0,10.0,2.3,,,,,,,,,,,-2.5,-10.1,,,,,,,,,,,,,,
271,∫¿»≠,2013-01-21,0.9,-0.4,0020,2.4,1108,,,,,,13.0,3.1,50,1901,2.3,20,1905,0.6,524,360,0.3,78,0009,95.9,6.3,983.2,1031.8,0001,1017.0,2355,1023.1,10.1,0.0,,,,,,,,,,,-0.5,-1.2,,,,,,,,,,,,,,
