stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
137,상주,2013-01-01,-8.2,-12.7,0453,-3.0,1929,,,,,,6.5,5.1,250,1609,2.1,180,1851,0.6,550,20,-9.8,68,1319,87.8,3.0,1008.0,1022.6,0230,1018.3,1414,1020.5,9.7,2.9,,,,,,,,9.5,,,-1.1,-8.4,,,,,,,,,,,,,,
137,상주,2013-01-02,-7.4,-11.8,2337,-2.2,0232,,,,,,1.0,14.8,290,0342,7.8,290,0347,3.4,2949,270,-15.6,38,1020,53.0,2.0,1017.0,1035.1,2238,1019.8,0054,1029.6,9.8,8.3,,,,,,,,2.0,,,-1.9,-11.6,,,,,,,,,,,,,,
137,상주,2013-01-03,-11.2,-15.4,0804,-7.4,1513,,,,,,,11.5,270,0619,6.0,270,1429,3.8,3276,270,-20.1,30,1331,49.4,1.3,1023.1,1038.8,0936,1034.5,1534,1036.0,9.8,8.6,,,,,,,,,,,-6.9,-14.8,,,,,,,,,,,,,,
137,상주,2013-01-04,-9.1,-14.1,0805,-3.7,1542,,,,,,,7.8,250,1724,4.7,270,0425,2.6,2210,250,-20.1,28,1419,41.8,1.3,1018.8,1035.4,0001,1028.3,2400,1031.5,9.8,8.6,,,,,,,,,,,-5.8,-13.7,,,,,,,,,,,,,,
137,상주,2013-01-05,-5.4,-11.1,0744,0.7,1420,,,,,,,8.6,290,1723,5.5,270,1647,2.4,2109,230,-14.1,36,0140,51.1,2.2,1013.6,1028.4,0002,1023.0,1434,1026.0,9.8,8.5,,,,,,,,,,,-4.4,-13.7,,,,,,,,,,,,,,
137,상주,2013-01-06,-3.2,-6.8,0010,0.8,1305,,,,,,,8.1,270,1445,5.2,270,1453,2.5,2158,270,-13.2,27,1434,48.3,2.3,1012.9,1026.5,0923,1023.5,1325,1025.3,9.8,8.0,,,,,,,,,,,-3.3,-10.0,,,,,,,,,,,,,,
137,상주,2013-01-07,-3.5,-7.6,0418,1.1,1546,,,,,,,9.3,290,0925,5.3,270,1327,1.9,1672,270,-14.8,24,1400,42.0,2.0,1012.1,1026.7,0900,1022.8,1510,1024.4,9.8,6.9,,,,,,,,,,,-3.5,-11.5,,,,,,,,,,,,,,
137,상주,2013-01-08,-2.5,-7.2,0750,2.1,1340,,,,,,,8.0,270,1443,4.2,270,1502,2.4,2090,250,-12.6,26,1601,47.5,2.3,1012.4,1026.9,0952,1022.6,1353,1024.7,9.8,8.3,,,,,,,,,,,-3.3,-8.7,,,,,,,,,,,,,,
137,상주,2013-01-09,-6.3,-9.8,2311,-2.9,1449,,,,,,,9.0,270,1515,5.4,270,1037,3.3,2867,250,-16.8,32,1452,43.4,1.7,1013.7,1028.3,2337,1024.0,1421,1026.2,9.9,8.3,,,,,,,,,,,-5.1,-11.8,,,,,,,,,,,,,,
137,상주,2013-01-10,-7.2,-10.7,0413,-1.5,1543,,,,,,,9.0,270,0932,5.1,270,0858,2.9,2501,270,-19.8,21,1528,36.5,1.3,1017.7,1032.2,2300,1028.2,0001,1030.3,9.9,8.5,,,,,,,,,,,-6.5,-13.0,,,,,,,,,,,,,,
137,상주,2013-01-11,-5.6,-14.3,0814,2.2,1441,,,,,,,5.8,270,1815,3.6,270,1740,1.1,961,200,-12.7,38,1436,58.6,2.4,1017.3,1033.2,0927,1026.8,2111,1029.9,9.9,8.0,,,,,,,,,,,-5.1,-15.7,,,,,,,,,,,,,,
137,상주,2013-01-12,-1.2,-9.4,0355,6.3,1444,,,,,,,9.2,250,1351,4.8,270,1344,1.5,1280,270,-5.9,52,1445,71.3,4.0,1013.1,1027.8,0233,1023.2,1417,1025.4,9.9,3.2,,,,,,,,,,,-1.3,-11.0,,,,,,,,,,,,,,
137,상주,2013-01-13,-1.8,-5.0,0717,1.2,1549,,,,,,,4.1,270,0015,2.2,230,0317,0.9,805,50,-5.2,62,1438,77.9,4.1,1012.0,1026.8,0349,1021.6,2337,1024.2,9.9,0.0,,,,,,,,,,,-1.1,-7.0,,,,,,,,,,,,,,
137,상주,2013-01-14,-0.6,-6.9,0734,4.8,1407,,,,,,,11.1,360,1328,6.6,320,1329,2.3,1980,270,-7.2,33,1221,63.0,3.6,1007.9,1024.5,2356,1017.2,1207,1020.1,9.9,7.5,,,,,,,,,,,-1.2,-10.3,,,,,,,,,,,,,,
137,상주,2013-01-15,-3.2,-8.7,0827,2.6,1537,,,,,,,3.6,230,0133,2.5,230,0140,0.9,808,50,-7.9,50,1444,71.0,3.4,1013.0,1028.0,1021,1023.5,2001,1025.3,10.0,7.5,,,,,,,,,,,-2.1,-11.7,,,,,,,,,,,,,,
137,상주,2013-01-16,-1.1,-5.6,0625,2.2,1531,,,,,,,9.3,250,2224,5.8,290,2342,2.4,2064,270,-6.4,57,2331,67.1,3.9,1011.3,1025.1,2352,1021.2,1420,1023.5,10.0,1.8,,,,,,,,,,,-1.4,-8.0,,,,,,,,,,,,,,
137,상주,2013-01-17,-3.8,-6.1,2347,-1.8,1352,,,,,,,9.1,290,1052,5.6,270,1548,3.4,2930,270,-10.2,52,1352,61.0,2.8,1015.8,1031.3,2209,1025.0,0007,1028.2,10.0,6.4,,,,,,,,,,,-2.1,-8.3,,,,,,,,,,,,,,
137,상주,2013-01-18,-3.5,-7.5,0804,1.1,1517,,,,,,,9.0,230,1414,5.3,270,1417,3.1,2721,270,-12.6,26,1539,52.0,2.4,1017.6,1032.8,0939,1028.0,1638,1030.1,10.0,8.7,,,,,,,,,,,-3.8,-8.9,,,,,,,,,,,,,,
137,상주,2013-01-19,0.5,-4.0,0217,4.5,1534,,,,,,,10.8,290,1420,5.8,290,1424,2.1,1826,250,-6.0,48,1440,62.3,3.9,1016.9,1031.8,2359,1027.1,1320,1029.2,10.1,6.6,,,,,,,,,,,-0.4,-6.8,,,,,,,,,,,,,,
137,상주,2013-01-20,-0.5,-5.8,0640,4.6,1533,,,,,,,5.7,70,1506,3.3,70,1509,1.2,1024,20,-4.9,51,1418,73.0,4.3,1019.9,1035.3,1030,1030.8,2359,1032.3,10.1,3.9,,,,,,,,,,,-0.4,-7.8,,,,,,,,,,,,,,
