stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
129,서산,2013-01-01,-1.9,-8.7,0201,3.8,1137,,,,,10.0,5.6,11.0,340,1243,7.3,320,2349,2.1,1803,180,-3.1,57,1138,91.3,4.9,1015.3,1021.9,2358,1016.3,0607,1019.0,9.7,4.5,1100,1.36,5.45,7.8,2310,7.8,2310,9.2,8.6,6.6,-0.4,-11.0,-0.2,-0.1,0.7,1.2,1.5,5.9,,,,,0.5,2.5,{눈}0445-{시정(미만)}{1km}{눈}0535-{눈}{강도1}0600-{시정(이상)}{1km}{눈}0720-0820. {눈}1150-{눈}{강도0}1200-1440. {눈}1530-1550. {눈}2010-{눈}{강도0}2100-2325. {박무}0810-{박무}{강도0}0900-1020. {박무}1830-{박무}{강도0}2100-{박무}{강도0}2400-,
129,서산,2013-01-02,-7.9,-9.5,1722,-2.1,0001,,,,,1.67,0.3,9.7,340,0140,5.8,320,0052,3.2,2748,20,-11.5,63,1426,75.4,2.6,1028.5,1037.2,2354,1021.9,0001,1032.3,9.7,5.3,1200,1.68,8.47,0.0,2050,7.8,0001,0.0,6.6,6.6,0.0,-10.3,0.0,0.0,0.7,1.2,1.4,5.8,,,,,0.7,0.3,-{박무}-0030. {소낙눈}1010-1045. {소낙눈}1130-1155. {소낙눈}2030-{소낙눈}{강도0}2100-2110.,
129,서산,2013-01-03,-10.6,-15.5,0752,-6.2,1504,,,,,0.67,0.0,8.6,320,1354,5.5,320,1517,2.0,1705,20,-14.3,58,1152,74.5,2.0,1034.2,1040.2,1025,1037.0,1512,1038.1,9.7,8.7,1200,1.66,9.67,,,5.0,0001,,2.6,2.6,-0.6,-18.1,-0.3,0.0,0.6,1.1,1.4,5.7,,,,,1.0,,{소낙눈}0440-0520.,
129,서산,2013-01-04,-10.8,-16.6,0507,-4.0,1506,,,,,,,4.4,360,1038,2.6,50,1054,1.2,1031,50,-14.5,55,1431,75.3,2.0,1029.2,1037.3,0248,1029.9,2359,1033.1,9.7,9.1,1200,1.79,11.1,,,3.2,0001,,0.0,0.0,-1.4,-20.7,-0.8,-0.6,0.4,1.0,1.3,5.6,,,,,1.0,,,
129,서산,2013-01-05,-7.0,-14.8,0053,-1.3,1410,,,,,1.75,0.2,3.4,50,0315,2.2,50,0313,0.7,646,20,-8.8,59,1115,87.4,3.3,1023.3,1029.9,0001,1025.0,1415,1027.1,9.8,5.3,1000,1.45,7.76,,,3.0,0001,,5.6,5.3,-1.5,-15.2,-1.0,-1.0,0.2,0.9,1.3,5.6,,,,,0.5,0.2,{소낙눈}1235-1325. {소낙눈}1440-{소낙눈}{강도0}1500-1535. {박무}1720-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
129,서산,2013-01-06,-5.9,-11.6,2308,-0.8,1432,,,,,,,5.7,20,1105,3.7,360,1113,1.0,904,50,-9.2,41,1333,79.1,3.1,1023.1,1027.7,0512,1026.0,1524,1026.9,9.8,8.0,1100,1.49,8.64,,,3.0,0001,,3.3,0.5,-1.2,-13.8,-0.8,-0.8,0.2,0.8,1.3,5.5,,,,,0.4,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-1040.,
129,서산,2013-01-07,-5.0,-12.0,0328,1.1,1521,,,,,,,5.7,360,1512,2.9,360,1503,1.1,966,50,-9.7,45,1230,72.0,3.0,1022.2,1027.8,0704,1024.9,1442,1025.9,9.8,5.8,1200,1.65,8.72,,,2.5,0001,,4.9,0.5,-1.3,-12.2,-1.0,-1.1,0.1,0.7,1.2,5.4,,,,,0.8,,,
129,서산,2013-01-08,-5.0,-9.6,0333,0.7,1350,,,,,,,5.4,360,1314,3.2,360,1320,1.0,850,20,-8.0,55,1649,80.3,3.4,1023.1,1028.3,1022,1025.5,0030,1026.8,9.8,7.9,1200,1.68,9.22,,,2.0,0001,,3.3,0.0,-1.1,-10.2,-0.8,-1.0,0.1,0.7,1.2,5.4,,,,,1.6,,{박무}0230-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1040.,
129,서산,2013-01-09,-6.0,-11.0,2218,-3.4,0216,,,,,,,9.9,290,1155,7.1,320,1155,3.1,2706,320,-11.8,47,1551,64.3,2.5,1024.7,1029.5,1013,1027.5,0509,1028.5,9.8,9.0,1200,1.86,10.87,,,1.7,0001,,2.9,2.8,-1.8,-10.5,-1.7,-1.4,-0.1,0.6,1.1,5.3,,,,,1.6,,,
129,서산,2013-01-10,-7.8,-12.3,2340,-3.1,1539,,,,,,,5.6,340,1403,3.5,340,1410,1.5,1259,20,-14.7,34,1437,60.1,2.0,1028.1,1033.1,1018,1029.3,0001,1032.0,9.8,9.1,1200,1.8,10.69,,,1.4,0001,,0.0,0.0,-2.5,-11.6,-2.3,-2.1,-0.3,0.4,0.9,5.2,,,,,1.3,,,
