stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
136,안동,2013-01-01,-7.0,-13.5,0451,-1.2,1421,,,,,5.67,3.7,3.2,140,1239,2.2,140,1242,0.6,531,290,-9.0,71,1431,85.4,3.2,1002.3,1023.0,0224,1018.0,1453,1020.4,9.7,2.3,1300,1.02,4.25,4.2,1914,11.4,1914,4.2,6.8,5.9,-2.7,-13.6,-1.9,-1.4,-0.1,0.6,3.0,7.5,,,,,0.1,3.7,{눈}0810-{눈}{강도0}0900-{눈}{강도0}1200-1250. {눈}1630-1710. {눈}1855-1915.,
136,안동,2013-01-02,-7.2,-12.5,2350,-3.7,0426,,,,,2.25,0.1,13.0,320,1700,6.4,290,1702,3.4,2938,290,-16.7,33,1107,48.9,1.8,1010.4,1034.0,2355,1019.6,0112,1028.7,9.7,9.0,1200,1.77,10.35,0.1,0225,11.5,0225,0.1,2.0,1.6,-1.3,-12.7,-0.8,-0.5,0.1,0.6,3.0,7.2,,,,,0.6,,{눈}0050-{눈}{강도0}0300-0305.,
136,안동,2013-01-03,-11.3,-15.0,2333,-6.8,1446,,,,,,,9.7,270,1236,5.8,270,1241,2.7,2342,290,-20.5,29,1520,48.5,1.2,1016.5,1037.6,0953,1033.7,1439,1035.2,9.7,9.2,1200,1.85,10.8,,,10.7,0001,,0.0,0.0,-2.7,-17.2,-1.5,-1.0,0.0,0.6,2.6,6.7,,,,,0.8,,,
136,안동,2013-01-04,-12.6,-20.4,0658,-3.3,1530,,,,,,,3.7,290,1457,2.1,290,1502,0.6,527,290,-18.8,30,1454,63.9,1.4,1013.0,1035.8,0345,1028.5,2314,1031.7,9.8,9.1,1100,2.04,11.51,,,9.5,0001,,0.3,0.0,-6.8,-20.5,-3.9,-2.8,-0.7,0.3,2.4,6.5,,,,,1.9,,,
136,안동,2013-01-05,-8.8,-18.7,0737,1.0,1556,,,,,,,6.7,320,1538,4.3,290,1546,1.3,1151,290,-14.6,40,1558,65.3,2.0,1007.7,1028.9,0004,1022.1,1530,1026.0,9.8,8.2,1200,2.0,10.83,,,8.1,0001,,2.5,0.0,-6.0,-18.8,-3.8,-3.0,-1.2,-0.1,2.5,7.1,,,,,1.0,,{박무}0240-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0930.,
136,안동,2013-01-06,-5.8,-12.2,0714,2.2,1548,,,,,,,5.8,290,1439,3.6,290,1446,1.0,880,290,-13.2,28,1548,60.4,2.2,1007.1,1027.0,0916,1023.1,1402,1025.2,9.8,8.0,1200,1.75,9.16,,,7.8,0001,,3.3,0.0,-4.9,-14.2,-3.0,-2.3,-1.0,-0.1,2.0,6.6,,,,,0.8,,{박무}0340-{박무}{강도0}0600-{박무}{강도0}0900-1020. {연무}1010-{연무}{강도0}1200-1215.,
136,안동,2013-01-07,-5.8,-13.5,0459,1.7,1630,,,,,,,7.3,290,1506,4.8,270,1509,1.1,976,290,-13.2,25,1501,60.6,2.2,1006.2,1027.3,1004,1022.1,1557,1024.3,9.8,6.0,1200,1.77,8.96,,,7.4,0001,,2.8,0.0,-4.9,-15.8,-3.2,-2.5,-1.1,-0.2,2.2,6.5,,,,,0.8,,{박무}0230-{박무}{강도0}0300-{박무}{강도0}0600-0730. {박무}0910-1015. {연무}1005-1130. {연무}2325-{연무}{강도0}2400-,
136,안동,2013-01-08,-4.5,-12.0,0629,2.8,1520,,,,,,,7.7,290,1623,4.8,270,1602,1.6,1369,320,-12.6,26,1542,57.6,2.3,1006.5,1027.2,0915,1021.7,1630,1024.5,9.8,8.2,1100,1.96,10.3,,,6.3,0001,,2.1,0.9,-4.8,-15.5,-3.0,-2.4,-1.1,-0.3,2.3,6.5,,,,,1.6,,-{연무}-0130. {박무}0120-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1030. {연무}1025-1040.,
136,안동,2013-01-09,-6.0,-10.6,2400,-2.3,1440,,,,,,,9.6,290,1415,6.2,270,1351,3.4,2916,290,-16.9,28,1316,42.5,1.7,1007.1,1027.3,2344,1023.0,1514,1025.3,9.8,8.9,1200,1.87,10.69,,,6.0,0001,,1.4,0.0,-4.9,-13.7,-3.1,-2.4,-1.1,-0.3,2.5,7.0,,,,,1.7,,,
136,안동,2013-01-10,-8.1,-16.9,0746,-0.5,1518,,,,,,,8.5,270,1531,4.7,270,1531,1.6,1366,290,-17.9,26,1428,48.6,1.5,1011.4,1032.2,2328,1027.3,0001,1029.7,9.8,9.6,1200,1.88,11.29,,,6.0,0001,,0.0,0.0,-7.1,-20.0,-4.6,-3.7,-1.8,-0.7,2.0,6.5,,,,,1.1,,,
