stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
170,완도,2013-01-01,1.9,-3.1,0145,7.0,1354,,,,,2.75,0.2,12.2,270,1148,7.7,320,1428,2.5,2169,290,-2.8,43,1506,73.3,5.0,1016.3,1022.2,2254,1019.2,1352,1020.8,9.9,5.6,,,,0.1,0630,0.1,0630,0.1,7.3,6.8,0.9,-9.6,,,,,,,,,,,,,{소낙눈}0345-0410. {소낙눈}0435-0450. {눈}0610-0745. {비}1710-1740.,
170,완도,2013-01-02,-0.6,-5.1,2328,5.8,0121,,,,,,,12.0,320,1422,7.5,320,1427,4.4,3787,360,-6.5,51,2204,64.6,3.9,1025.0,1035.4,2357,1021.7,0116,1029.5,9.9,6.1,,,,,,,,,5.0,4.0,0.5,-9.4,,,,,,,,,,,,,,
170,완도,2013-01-03,-4.6,-6.7,0442,-2.4,1448,,,,,,,10.0,50,1249,5.7,340,1510,3.8,3313,360,-11.8,45,1515,57.6,2.5,1031.2,1038.2,0945,1034.6,2340,1035.8,9.9,4.9,,,,,,,,,5.9,2.0,-3.1,-9.8,,,,,,,,,,,,,,
170,완도,2013-01-04,-3.5,-5.9,0734,0.7,1500,,,,,,,10.2,20,0234,5.3,340,1644,2.9,2492,360,-13.8,29,1520,45.8,2.1,1025.9,1034.6,0001,1027.3,2400,1030.4,9.9,8.5,,,,,,,,,1.5,0.0,-2.3,-13.9,,,,,,,,,,,,,,
170,완도,2013-01-05,-1.4,-6.2,0028,2.8,1220,,,,,,,10.5,340,1235,5.9,340,1238,2.6,2253,320,-10.3,35,0507,51.5,2.9,1021.4,1027.3,0001,1023.7,1405,1025.9,10.0,7.5,,,,,,,,,3.1,2.3,-1.3,-13.0,,,,,,,,,,,,,,
170,완도,2013-01-06,0.0,-3.3,2343,3.4,1323,,,,,,,8.3,360,1539,5.6,340,1750,3.0,2619,20,-6.9,41,1618,59.6,3.7,1020.2,1026.6,0023,1023.2,1457,1024.7,10.0,7.7,,,,,,,,,3.5,1.8,0.1,-11.5,,,,,,,,,,,,,,
170,완도,2013-01-07,-0.4,-4.0,0606,3.3,1509,,,,,,,7.8,340,1721,5.5,340,1730,2.4,2048,340,-11.3,27,1549,44.9,2.6,1019.0,1025.4,0854,1021.7,1536,1023.5,10.0,7.2,,,,,,,,,0.9,0.1,-0.4,-13.3,,,,,,,,,,,,,,
170,완도,2013-01-08,0.8,-2.6,0032,4.6,1527,,,,,,,11.9,20,1227,7.5,20,1228,2.8,2451,340,-10.0,29,1739,44.8,2.9,1019.5,1025.6,0930,1022.2,1518,1023.9,10.0,8.0,,,,,,,,,1.0,0.0,-0.2,-11.2,,,,,,,,,,,,,,
170,완도,2013-01-09,-1.9,-5.5,2351,0.5,1207,,,,,,,13.7,340,1247,8.9,340,1259,4.4,3768,340,-8.6,37,0215,59.9,3.2,1022.0,1028.6,2348,1024.1,1352,1026.5,10.0,6.7,,,,,,,,,5.8,4.8,-1.2,-12.9,,,,,,,,,,,,,,
170,완도,2013-01-10,-3.1,-7.2,0741,0.8,1410,,,,,,,9.6,340,1449,7.0,340,1521,2.4,2103,20,-13.5,23,1732,48.1,2.3,1025.2,1031.2,2242,1027.9,0422,1029.7,10.0,8.5,,,,,,,,,1.5,1.5,-1.8,-15.0,,,,,,,,,,,,,,
170,완도,2013-01-11,-1.0,-6.9,0717,4.8,1526,,,,,,,4.5,90,1017,3.1,110,1023,1.4,1205,90,-12.3,21,1429,42.3,2.5,1024.6,1032.0,0939,1026.5,2235,1029.1,10.0,8.4,,,,,,,,,3.1,0.0,-0.6,-16.2,,,,,,,,,,,,,,
170,완도,2013-01-12,3.2,-1.2,0540,9.8,1413,,,,,,,8.8,320,1359,5.5,290,1206,2.1,1843,320,-2.3,44,1450,68.0,5.2,1021.2,1027.5,0005,1023.8,1607,1025.6,10.1,7.6,,,,,,,,,3.1,2.6,2.0,-9.9,,,,,,,,,,,,,{연무}1650-{연무}{강도0}1800-1935. {박무}1930-{박무}{강도1}2100-{박무}{강도1}2400-,
170,완도,2013-01-13,2.7,-0.9,0505,5.3,1521,,,,,,,4.9,180,2055,3.7,140,0841,1.6,1353,160,-5.3,29,2330,58.6,4.2,1017.3,1025.1,0001,1018.7,2355,1021.7,10.1,0.1,,,,,,,,,7.8,3.3,0.4,-9.3,,,,,,,,,,,,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1110. {연무}1105-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-2025.,
170,완도,2013-01-14,3.1,-1.5,0525,6.5,1337,,,,,,,13.7,340,1302,8.9,340,1235,4.1,3506,340,-6.0,27,1248,52.5,4.0,1015.9,1024.8,2344,1017.4,0607,1020.3,10.1,6.9,,,,,,,,,1.4,1.0,2.0,-12.3,,,,,,,,,,,,,{연무}0830-{연무}{강도0}0900-1140. {연무}1230-{연무}{강도0}1500-{연무}{강도0}1800-1945.,
170,완도,2013-01-15,1.6,-4.0,0730,6.9,1514,,,,,,,6.9,320,0036,4.5,340,0038,1.6,1370,230,-6.7,38,1541,54.8,3.7,1020.1,1027.1,0925,1022.9,2144,1024.5,10.1,7.9,,,,,,,,,2.8,0.0,2.2,-10.8,,,,,,,,,,,,,{연무}0815-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-1740.,
170,완도,2013-01-16,1.7,-2.5,0707,5.8,1324,,,,,,,13.9,340,2217,8.5,340,1737,4.0,3435,340,-4.2,43,0234,65.0,4.5,1019.8,1025.6,2108,1022.0,1338,1024.3,10.1,0.4,,,,,,,,,7.9,4.4,1.0,-10.4,,,,,,,,,,,,,{연무}1315-{연무}{강도0}1500-1720.,
170,완도,2013-01-17,-0.5,-2.1,2140,1.2,0001,,,,,2.33,0.0,17.4,340,1303,10.9,340,1640,6.9,5973,340,-7.8,51,1432,57.8,3.4,1024.0,1031.3,2232,1025.2,0002,1028.5,10.2,7.4,,,,,,,,,5.1,4.6,-0.2,-4.1,,,,,,,,,,,,,{소낙눈}0825-{소낙눈}{강도0}0900-1045.,
