stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
115,울릉도,2013-01-01,-0.1,-2.6,0206,2.4,1542,,,,,8.0,0.9,19.1,250,1348,11.0,230,1357,4.3,3735,230,-8.1,34,1958,56.0,3.4,989.6,1019.6,0719,1012.8,1322,1017.5,9.6,1.7,,,,1.2,1359,1.2,1359,1.2,8.0,6.6,-0.4,-4.2,1.2,1.5,2.3,2.6,2.2,5.6,9.1,14.5,15.0,,2.0,1.1,-{소낙눈}-{소낙눈}{강도0}0300-0410. {소낙눈}0530-0550. {눈}1055-{눈}{강도0}1200-{진눈깨비}1302-{눈}1354-1425.,
115,울릉도,2013-01-02,-2.9,-5.4,2127,2.1,0329,,,,,8.75,0.4,19.2,250,1140,10.5,230,0423,5.5,4723,250,-11.4,34,0917,52.1,2.6,994.4,1027.9,2145,1015.4,0400,1022.7,9.7,4.7,,,,0.4,2400,0.9,2400,0.4,8.0,7.6,-0.5,-2.6,1.1,1.4,2.1,2.4,2.3,5.6,9.0,14.4,14.9,,1.2,3.5,{눈}0130-{눈}{강도0}0300-0420. {눈}0540-{눈}{강도0}0600-0810. {눈}2035-{눈}{강도0}2100-{눈}{강도0}2400-,
115,울릉도,2013-01-03,-4.9,-5.7,0822,-3.9,1335,,,,,24.0,8.6,12.3,290,1405,6.0,360,1406,2.8,2410,20,-8.2,55,0321,77.6,3.3,1000.2,1030.1,2138,1027.4,0004,1028.8,9.7,0.1,,,,8.9,2400,9.8,2400,8.9,8.4,8.1,-0.4,-5.7,1.0,1.2,2.0,2.3,2.2,5.5,9.1,14.3,14.9,,1.1,6.7,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{소낙눈}1010-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-{소낙눈}{강도0}2400-,
115,울릉도,2013-01-04,-2.8,-4.9,0339,-0.3,1316,,,,,14.42,1.8,8.4,70,0044,5.4,50,0340,1.9,1660,50,-7.1,52,1856,73.0,3.6,999.4,1030.3,0308,1024.9,2341,1027.8,9.7,2.5,,,,2.2,1458,12.0,1458,2.2,7.8,7.8,0.1,-0.6,1.0,1.2,1.9,2.3,2.3,5.5,8.9,14.3,14.9,,1.2,0.4,-{소낙눈}-{소낙눈}{강도0}0300-0410. {소낙눈}0625-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1640.,
115,울릉도,2013-01-05,1.2,-1.9,0002,4.8,1208,,,,,,,11.7,230,1505,6.2,250,1537,3.0,2598,230,-6.3,44,1133,57.6,3.8,992.9,1024.9,0001,1017.8,1505,1020.6,9.7,8.0,,,,,,12.0,0001,,5.4,4.8,0.1,-1.9,1.0,1.2,1.9,2.2,2.3,5.5,8.9,14.2,14.9,,1.5,,,
115,울릉도,2013-01-06,1.3,-0.2,2217,4.4,1507,,,,,,,12.0,340,2354,6.3,340,2358,2.1,1796,250,-6.3,46,1449,57.1,3.8,993.8,1023.3,0947,1020.2,0135,1021.6,9.7,3.5,,,,,,8.0,0001,,6.0,6.0,-0.2,-4.4,1.0,1.2,1.9,2.2,2.3,5.4,8.8,14.1,14.9,,3.3,,,
115,울릉도,2013-01-07,1.9,-0.3,0204,6.0,1231,,,,,,,11.6,360,0020,5.8,340,0005,1.9,1634,50,-6.2,44,1225,55.0,3.9,992.9,1022.2,0150,1018.2,1431,1020.6,9.7,7.2,,,,,,4.8,0001,,5.5,3.0,-0.7,-5.1,1.0,1.2,1.9,2.2,2.3,5.4,8.8,14.1,14.9,,2.8,,,
115,울릉도,2013-01-08,1.5,0.3,1945,4.9,1442,,,,,1.0,0.0,12.6,270,2332,6.0,270,2337,2.2,1908,70,-5.2,45,2329,61.4,4.2,992.8,1022.6,0915,1018.7,1519,1020.5,9.7,5.8,,,,,,3.3,0001,,7.4,7.4,1.0,-3.6,1.0,1.2,1.8,2.1,2.4,5.4,8.8,14.0,14.9,,2.4,0.0,{소낙눈}1130-{소낙눈}{강도0}1200-1230.,
115,울릉도,2013-01-09,-1.0,-2.5,2355,0.5,0001,,,,,12.83,1.3,16.6,270,1029,7.6,50,2201,4.2,3617,290,-6.5,44,0221,67.5,3.8,991.6,1021.5,2330,1017.7,1320,1019.6,9.8,4.7,,,,1.2,2359,4.2,2359,1.3,8.0,8.0,-0.2,-3.4,1.0,1.1,1.8,2.1,2.4,5.5,8.8,14.0,14.8,,1.1,8.7,{소낙눈}0835-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-1330. {소낙눈}1605-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-{소낙눈}{강도0}2400-,
115,울릉도,2013-01-10,-2.6,-3.3,0651,-1.3,1240,,,,,17.0,7.9,14.9,270,1342,5.8,320,0148,2.2,1943,20,-7.5,54,0734,69.1,3.5,996.8,1028.4,2302,1021.2,0126,1025.0,9.8,1.0,,,,8.7,1500,12.9,1500,8.7,7.9,7.9,0.2,-0.2,1.0,1.1,1.8,2.1,2.4,5.5,8.8,13.9,14.8,,0.9,0.5,-{소낙눈}-{시정(미만)}{1km}{소낙눈}0105-{시정(미만)}{0.5km}{소낙눈}0115-{시정(미만)}{0.2km}{소낙눈}0120-{시정(이상)}{0.2km}{소낙눈}0150-{시정(이상)}{0.5km}{소낙눈}0205-{시정(이상)}{1km}{소낙눈}0220-{소낙눈}{강도0}0300-{소낙눈}{강도0}0600-0730. {소낙눈}0820-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1750.,
