stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
130,울진,2013-01-01,-2.0,-6.6,0556,3.4,1530,,,,,0.87,0.0,18.8,180,1428,8.7,230,1434,3.3,2829,230,-9.2,46,1530,58.0,3.1,1012.4,1021.6,0251,1014.2,1439,1018.8,9.7,6.6,,,,,,,,,4.0,3.1,-2.0,-9.8,,,,,,,,,,,,,{눈}1103-1155.,
130,울진,2013-01-02,-4.5,-9.0,2337,-0.3,0028,,,,,,,18.0,270,1302,9.6,270,1212,4.1,3581,250,-19.1,18,1037,34.0,1.6,1019.2,1030.6,2307,1018.0,0131,1025.7,9.7,9.2,,,,,,,,,1.3,1.3,-2.9,-11.5,,,,,,,,,,,,,,
130,울진,2013-01-03,-7.3,-10.3,0738,-1.4,1429,,,,,,,13.5,200,0016,6.0,230,0017,3.7,3217,200,-22.0,22,1412,30.1,1.1,1024.8,1032.6,0935,1030.0,1335,1031.4,9.7,9.2,,,,,,,,,0.0,0.0,-5.0,-12.4,,,,,,,,,,,,,,
130,울진,2013-01-04,-4.9,-11.2,0720,1.4,1552,,,,,,,9.6,200,2348,4.7,200,2320,2.9,2518,200,-18.6,14,1205,34.3,1.5,1022.2,1032.3,0257,1024.8,2356,1028.7,9.7,9.2,,,,,,,,,0.0,0.0,-4.2,-13.3,,,,,,,,,,,,,,
130,울진,2013-01-05,-2.3,-9.0,0301,5.2,1243,,,,,,,11.4,200,2137,5.9,230,2143,3.4,2965,230,-15.6,15,1059,36.6,1.9,1015.5,1024.9,0002,1018.9,1438,1021.9,9.7,9.0,,,,,,,,,0.6,0.0,-3.2,-11.3,,,,,,,,,,,,,,
130,울진,2013-01-06,-0.7,-4.8,2355,4.8,1153,,,,,,,8.6,200,0404,4.7,200,0658,2.7,2343,230,-13.5,24,1107,37.8,2.2,1016.4,1024.6,0944,1021.3,1414,1022.8,9.7,8.2,,,,,,,,,3.0,0.0,-1.9,-8.4,,,,,,,,,,,,,,
130,울진,2013-01-07,-0.5,-6.0,0201,6.7,1238,,,,,,,7.3,230,0627,4.1,230,0628,2.4,2057,230,-15.4,15,1227,32.5,1.9,1015.4,1023.3,0042,1019.3,1300,1021.8,9.8,5.6,,,,,,,,,5.0,0.0,-1.2,-8.7,,,,,,,,,,,,,,
130,울진,2013-01-08,-0.7,-6.2,0739,5.4,1148,,,,,,,11.7,230,2206,6.0,230,2209,2.3,1978,250,-13.0,21,1148,40.0,2.3,1015.9,1024.7,0939,1020.1,1534,1022.3,9.8,8.9,,,,,,,,,2.1,0.0,-1.3,-8.9,,,,,,,,,,,,,,
130,울진,2013-01-09,-3.1,-6.9,2400,2.2,1452,,,,,,,10.5,230,1847,5.2,200,2350,3.0,2598,230,-19.0,19,1223,28.6,1.4,1016.0,1024.0,2356,1020.2,1341,1022.4,9.8,9.0,,,,,,,,,1.9,0.0,-2.4,-10.0,,,,,,,,,,,,,,
130,울진,2013-01-10,-3.9,-8.2,0655,1.9,1205,,,,,,,10.2,200,0327,4.9,230,0400,2.8,2421,230,-19.3,18,1128,29.5,1.4,1020.5,1029.6,2335,1024.0,0001,1026.9,9.8,9.3,,,,,,,,,0.0,0.0,-3.4,-12.1,,,,,,,,,,,,,,
