stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
146,전주,2013-01-01,-0.2,-4.7,0026,3.8,1543,,,,,5.75,2.0,11.3,110,0335,7.3,140,0340,2.4,2066,160,-3.5,53,1621,78.5,4.7,1013.0,1021.8,0024,1017.6,0641,1019.8,9.8,1.4,1300,0.75,3.12,3.3,1145,11.1,1145,4.2,6.6,5.5,-0.7,-7.1,0.5,0.7,1.2,1.5,3.3,6.5,,,,,0.6,3.0,{눈}0735-{눈}{강도0}0900-1145. {눈}1215-1235. {박무}1125-{박무}{강도0}1200-1340. {연무}1330-{연무}{강도0}1500-1545. {눈}2215-2310. {눈}2340-{눈}{강도0}2400-,
146,전주,2013-01-02,-5.6,-10.9,2352,0.7,0109,,,,,1.58,1.5,9.8,340,0344,6.6,340,0349,2.7,2350,320,-12.1,45,1453,61.3,2.6,1024.1,1036.4,2357,1021.0,0052,1031.1,9.8,8.0,1300,1.68,9.93,2.1,0110,11.3,0110,2.1,2.0,2.8,-0.2,-13.4,0.5,0.7,1.2,1.5,3.1,6.3,,,,,0.9,,-{눈}-0135.,
146,전주,2013-01-03,-9.2,-12.7,2359,-5.3,1320,,,,,,,7.8,340,1413,4.6,340,1414,2.1,1787,360,-16.4,35,1210,57.4,1.7,1030.4,1040.0,0941,1036.2,1619,1037.5,9.8,7.8,1200,1.89,10.66,,,9.7,0001,,0.8,0.5,-1.6,-13.5,0.3,0.7,1.2,1.5,3.2,6.4,,,,,0.2,,,
146,전주,2013-01-04,-9.5,-15.3,0748,-2.7,1331,,,,,,,4.7,360,1510,3.1,320,1519,1.0,885,160,-16.5,29,1508,61.0,1.7,1025.4,1036.7,0258,1029.2,2343,1032.5,9.8,8.1,1100,2.15,12.02,,,9.4,0001,,0.0,0.0,-4.1,-16.8,0.1,0.5,1.0,1.3,3.0,6.3,,,,,1.2,,,
146,전주,2013-01-05,-5.3,-14.3,0354,2.5,1207,,,,,,,4.7,320,1607,3.1,250,1659,1.2,994,160,-11.8,33,1147,62.6,2.6,1019.8,1029.4,0359,1024.4,1441,1026.8,9.8,8.0,1200,1.82,10.46,,,9.3,0001,,2.6,2.1,-3.1,-15.3,0.1,0.3,0.9,1.2,2.5,6.0,,,,,5.0,,,
146,전주,2013-01-06,-3.6,-7.6,2400,2.3,1306,,,,,,,5.4,270,1237,3.3,320,1225,0.9,798,290,-8.5,38,1217,71.0,3.2,1019.2,1027.1,0249,1025.1,1650,1026.1,9.9,7.4,1300,1.63,8.97,,,9.0,0001,,4.1,1.0,-1.1,-9.8,0.2,0.4,0.8,1.2,2.5,6.0,,,,,0.5,,{박무}0050-{박무}{강도0}0300-{박무}{강도0}0600-0630. {연무}1940-2050. {박무}2040-{박무}{강도0}2100-{박무}{강도0}2400-,
146,전주,2013-01-07,-3.8,-8.9,0321,2.4,1434,,,,,,,5.6,320,1612,4.0,340,1618,1.1,983,160,-11.1,27,1509,60.5,2.7,1018.3,1027.5,0753,1023.5,1447,1025.2,9.9,7.9,1100,1.8,10.95,,,8.7,0001,,2.3,0.0,-1.2,-9.9,0.1,0.3,0.7,1.1,2.3,6.2,,,,,0.6,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0920. {연무}0910-1110.,
146,전주,2013-01-08,-3.0,-8.5,0639,3.6,1321,,,,,,,7.4,340,1518,4.7,320,1519,1.4,1205,340,-11.1,30,1412,57.9,2.6,1018.7,1027.5,1023,1024.0,1558,1025.6,9.9,8.0,1100,1.67,10.03,,,8.1,0001,,1.5,0.0,-1.2,-9.3,0.1,0.2,0.7,1.0,2.5,6.0,,,,,0.9,,{박무}0220-{박무}{강도0}0300-{박무}{강도0}0600-0720.,
146,전주,2013-01-09,-5.2,-9.3,2331,-1.2,1416,,,,,,,8.7,340,1131,5.1,340,1138,2.0,1701,320,-13.1,32,1546,55.4,2.3,1020.8,1029.3,2339,1025.8,1438,1027.8,9.9,7.6,1100,1.72,9.47,,,7.5,0001,,2.3,1.1,-2.3,-10.4,0.0,0.2,0.6,0.9,2.1,5.7,,,,,0.4,,,
146,전주,2013-01-10,-6.7,-11.6,0637,-0.6,1450,,,,,,,5.8,320,1047,3.6,320,1700,1.3,1109,320,-15.9,25,1406,52.1,1.8,1024.2,1032.7,1042,1029.1,0001,1031.2,9.9,8.0,1200,1.95,11.74,,,7.3,0001,,0.0,0.0,-3.2,-12.1,-0.5,-0.1,0.4,0.7,2.0,5.8,,,,,1.1,,,
146,전주,2013-01-11,-4.0,-11.6,0434,3.2,1450,,,,,,,3.9,290,1323,2.7,320,1317,0.9,798,140,-10.8,41,1452,60.1,2.8,1022.6,1033.0,0243,1025.9,2107,1029.6,9.9,7.6,1200,1.76,10.06,,,7.0,0001,,2.6,0.0,-2.3,-12.6,-0.7,-0.4,0.2,0.6,1.9,5.7,,,,,0.8,,{햇무리}1625-1655.,
146,전주,2013-01-12,1.2,-3.6,0254,7.8,1251,,,,,,,5.8,270,1200,3.6,160,0722,1.1,918,160,-3.4,50,1109,72.3,4.9,1019.0,1028.0,0131,1024.7,1343,1025.8,9.9,1.8,1200,1.26,5.32,,,6.1,0001,,5.8,5.8,0.0,-6.0,0.0,0.0,0.3,0.6,,,,,,,0.4,,{연무}1520-1720. {박무}1705-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도2}2400-,
146,전주,2013-01-13,-0.5,-2.9,2359,3.6,1537,,,,,,,3.0,160,0759,1.9,340,1327,0.6,488,180,-3.0,54,1515,84.3,4.9,1016.4,1026.5,0126,1020.0,1944,1023.2,10.0,0.0,1200,0.74,3.84,,,5.0,0001,,5.5,0.0,-0.2,-5.0,0.2,0.1,0.4,0.7,1.2,5.2,,,,,0.1,,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도2}0900-{박무}{강도1}1200-1225. {연무}1205-{연무}{강도1}1500-{연무}{강도1}1800-1850. {박무}1830-{박무}{강도1}2100-{박무}{강도1}2400-,
146,전주,2013-01-14,-1.1,-6.3,0725,4.9,1456,,,,,,,6.5,270,1648,3.6,270,1656,1.1,911,250,-5.5,43,1523,74.4,4.1,1014.9,1025.2,2358,1019.4,0546,1021.7,10.0,5.0,1200,1.62,7.23,,,4.4,0001,,1.1,1.1,-0.4,-7.2,-0.1,0.1,0.4,0.7,1.8,5.0,,,,,0.7,,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-1120. {연무}1110-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-1840. {박무}1830-2045. {연무}2035-{연무}{강도1}2100-{연무}{강도0}2400-,
