stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
221,力玫,2013-01-01,-9.0,-17.9,0417,-2.3,1515,,,,,,2.0,2.7,110,0814,1.4,250,2323,0.4,335,20,-10.7,75,1333,87.0,2.8,986.2,1024.0,0215,1017.6,1337,1020.3,9.7,0.6,,,,,,,,,,,-3.4,-20.5,,,,,,,,,,,,,,
221,力玫,2013-01-02,-11.4,-22.0,2358,-3.0,0202,,,,,,2.5,11.8,270,1740,6.1,290,1620,3.0,2624,270,-20.5,27,1021,49.8,1.3,995.6,1036.9,2355,1018.9,0043,1030.2,9.7,8.8,,,,,,,,,,,-1.6,-27.3,,,,,,,,,,,,,,
221,力玫,2013-01-03,-18.5,-23.4,0735,-10.9,1609,,,,,,,8.1,230,1403,5.0,230,1408,1.4,1222,20,-22.8,40,1423,70.6,1.0,1001.6,1039.3,0901,1035.3,1428,1037.5,9.7,8.9,,,,,,,,,,,-2.9,-27.9,,,,,,,,,,,,,,
221,力玫,2013-01-04,-17.7,-25.6,0726,-7.3,1503,,,,,,,4.6,200,1409,3.0,250,1523,0.6,549,20,-22.1,41,1259,71.0,1.1,998.1,1038.4,0303,1030.1,1454,1033.8,9.7,8.9,,,,,,,,,,,-3.5,-29.6,,,,,,,,,,,,,,
221,力玫,2013-01-05,-13.0,-24.2,0714,-0.9,1359,,,,,,,7.5,320,1554,3.9,290,1648,0.8,680,20,-16.9,38,1341,73.6,1.8,993.1,1031.5,0001,1023.6,1412,1027.9,9.7,6.9,,,,,,,,,,,-3.5,-27.6,,,,,,,,,,,,,,
221,力玫,2013-01-06,-11.7,-17.4,0505,-0.8,1346,,,,,,,7.8,250,1530,4.7,230,1511,0.8,717,20,-15.2,44,1347,76.5,2.0,992.5,1029.1,0645,1023.7,1343,1027.1,9.7,7.6,,,,,,,,,,,-3.0,-21.0,,,,,,,,,,,,,,
221,力玫,2013-01-07,-10.4,-18.0,0435,-1.1,1601,,,,,,,6.5,250,1617,3.5,270,1707,0.8,715,270,-14.3,38,1415,75.1,2.1,991.8,1028.7,0959,1023.1,1336,1026.2,9.8,5.6,,,,,,,,,,,-3.1,-21.1,,,,,,,,,,,,,,
221,力玫,2013-01-08,-9.3,-16.7,0722,-0.9,1322,,,,,,,6.8,230,1525,4.6,230,1450,1.1,914,230,-14.1,32,1557,71.3,2.1,991.8,1028.7,0853,1023.3,1416,1026.1,9.8,7.8,,,,,,,,,,,-3.1,-19.9,,,,,,,,,,,,,,
221,力玫,2013-01-09,-10.9,-17.5,2332,-5.4,1537,,,,,,,8.3,230,1311,5.4,230,1240,2.2,1890,230,-18.5,30,1621,55.8,1.5,992.4,1029.6,2348,1024.3,1348,1026.8,9.8,9.0,,,,,,,,,,,-3.4,-21.9,,,,,,,,,,,,,,
221,力玫,2013-01-10,-14.0,-22.5,0743,-4.7,1538,,,,,,,6.5,230,1618,4.2,200,1606,1.1,948,20,-20.0,31,1654,64.9,1.3,996.6,1034.1,2354,1029.3,0001,1031.6,9.8,9.0,,,,,,,,,,,-4.6,-26.0,,,,,,,,,,,,,,
