stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
155,창원,2013-01-01,1.2,-4.8,0659,7.3,1337,,,,,,,9.6,230,1329,4.6,250,1324,1.4,1220,250,-6.2,38,1700,59.5,3.9,1015.6,1022.4,0208,1017.4,1307,1020.3,9.8,7.5,,,,,,0.4,0001,,2.8,2.8,-0.5,-9.7,,,,,,,,,,,,,,
155,창원,2013-01-02,-0.7,-6.7,2352,3.8,0321,,,,,,,10.1,320,0747,4.8,290,0747,2.5,2202,50,-10.9,34,1526,46.3,2.8,1022.6,1033.6,2359,1020.4,0204,1027.4,9.9,8.1,,,,,,,,,1.1,0.9,-0.2,-7.6,,,,,,,,,,,,,,
155,창원,2013-01-03,-6.1,-8.0,0650,-3.1,1417,,,,,,,9.9,70,2203,5.0,20,0406,2.8,2459,50,-18.9,27,1420,36.4,1.4,1028.9,1036.5,0948,1032.6,1459,1033.8,9.9,7.4,,,,,,,,,3.4,0.0,-1.7,-9.8,,,,,,,,,,,,,,
155,창원,2013-01-04,-4.1,-8.8,0734,1.2,1522,,,,,,,9.9,70,0044,5.9,20,0932,3.1,2651,20,-18.6,15,1513,33.1,1.4,1024.6,1033.4,0231,1026.7,2305,1029.4,9.9,9.0,,,,,,,,,0.3,0.0,-2.8,-9.4,,,,,,,,,,,,,,
155,창원,2013-01-05,-2.0,-6.6,0741,2.2,1453,,,,,,,10.7,70,2310,5.6,50,1141,2.4,2102,50,-15.1,21,1025,36.9,2.0,1019.6,1026.7,0001,1021.8,1423,1024.4,9.9,8.6,,,,,,,,,1.8,0.0,-2.5,-9.1,,,,,,,,,,,,,,
155,창원,2013-01-06,0.0,-2.4,0159,4.5,1545,,,,,,,8.5,70,0429,4.9,50,0915,2.5,2126,50,-12.0,15,1526,41.9,2.5,1019.0,1025.0,1008,1022.1,1531,1023.7,9.9,7.9,,,,,,,,,3.0,0.0,-1.0,-5.8,,,,,,,,,,,,,,
155,창원,2013-01-07,0.6,-3.9,0700,5.8,1458,,,,,,,9.8,340,2048,4.5,50,1345,2.4,2066,20,-15.9,12,1459,29.3,1.8,1017.8,1024.4,0914,1020.4,1526,1022.5,9.9,9.0,,,,,,,,,1.1,0.0,-0.2,-7.7,,,,,,,,,,,,,,
155,창원,2013-01-08,1.5,-0.7,0210,5.2,1450,,,,,,,10.0,50,1049,5.7,50,1050,3.6,3134,50,-14.5,15,1335,29.9,2.0,1018.1,1024.8,0849,1020.9,1503,1022.8,9.9,8.9,,,,,,,,,0.3,0.0,-0.6,-2.4,,,,,,,,,,,,,,
155,창원,2013-01-09,-1.7,-4.7,2346,1.1,1327,,,,,,,10.2,50,0246,5.4,20,0654,3.0,2612,50,-15.6,26,1708,34.1,1.9,1019.6,1026.8,2319,1022.0,1413,1024.4,10.0,8.8,,,,,,,,,0.9,0.0,-1.8,-6.4,,,,,,,,,,,,,,
155,창원,2013-01-10,-3.0,-6.1,0624,0.8,1604,,,,,,,10.1,50,1042,5.5,50,1204,2.7,2362,20,-18.6,20,1857,29.9,1.4,1023.8,1030.8,2359,1026.7,0001,1028.6,10.0,9.1,,,,,,,,,0.0,0.0,-3.2,-7.7,,,,,,,,,,,,,,
