stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
127,面林,2013-01-01,-6.3,-13.8,0444,0.2,1338,,,,,,2.5,4.4,290,1024,2.5,270,1027,0.8,700,90,-8.5,60,1329,84.0,3.3,1005.0,1023.0,0006,1017.4,1326,1019.8,9.7,2.2,,,,,,,,,,,-2.9,-14.6,,,,,,,,,,,,,,
127,面林,2013-01-02,-10.6,-17.6,2336,-2.0,0214,,,,,,2.0,10.0,270,0218,6.1,270,0224,2.7,2318,270,-20.5,29,0513,45.3,1.3,1016.0,1036.6,2351,1019.4,0040,1031.3,9.7,8.5,,,,,,,,,,,-2.0,-18.8,,,,,,,,,,,,,,
127,面林,2013-01-03,-15.7,-21.2,0716,-9.1,1537,,,,,,,6.3,230,1304,4.0,250,1406,1.4,1229,250,-22.7,32,1240,56.9,1.0,1022.0,1040.1,0901,1036.2,1531,1037.7,9.7,8.9,,,,,,,,,,,-5.3,-21.8,,,,,,,,,,,,,,
127,面林,2013-01-04,-15.1,-21.7,0528,-5.7,1526,,,,,,,2.7,90,2037,2.0,90,2039,0.9,787,90,-20.9,31,1518,63.5,1.2,1017.9,1037.6,0325,1030.3,2400,1033.5,9.7,8.3,,,,,,,,,,,-5.4,-22.0,,,,,,,,,,,,,,
127,面林,2013-01-05,-11.1,-20.8,0703,-1.8,1507,,,,,,,2.2,90,1756,1.7,90,0003,0.7,596,90,-16.1,38,1506,67.9,1.9,1012.5,1030.6,0518,1024.7,1442,1027.7,9.7,8.1,,,,,,,,,,,-4.6,-21.0,,,,,,,,,,,,,,
127,面林,2013-01-06,-8.4,-12.9,2337,-1.0,1422,,,,,,,4.4,290,1531,3.1,290,1553,1.0,841,90,-13.1,30,1531,70.5,2.3,1011.7,1028.1,0637,1025.0,1313,1026.8,9.7,7.4,,,,,,,,,,,-3.7,-14.6,,,,,,,,,,,,,,
127,面林,2013-01-07,-8.4,-15.0,0330,-0.9,1526,,,,,,,4.3,360,1619,2.6,320,1623,1.0,867,90,-14.1,27,1402,66.4,2.1,1010.9,1028.6,0942,1024.0,1356,1026.0,9.8,5.8,,,,,,,,,,,-3.8,-16.2,,,,,,,,,,,,,,
127,面林,2013-01-08,-7.7,-13.7,0724,0.8,1422,,,,,,,3.9,320,1616,2.5,290,1625,0.8,700,90,-13.2,34,1548,66.4,2.3,1011.2,1028.7,0957,1024.4,1624,1026.2,9.8,7.8,,,,,,,,,,,-3.8,-14.5,,,,,,,,,,,,,,
127,面林,2013-01-09,-9.8,-14.5,2349,-4.8,1506,,,,,,,7.6,250,1521,4.9,250,1525,2.1,1804,250,-19.5,26,1429,47.3,1.3,1012.3,1029.5,2325,1025.5,1343,1027.5,9.8,8.3,,,,,,,,,,,-5.3,-16.5,,,,,,,,,,,,,,
127,面林,2013-01-10,-12.0,-18.9,0747,-3.1,1600,,,,,,,5.3,270,1446,2.9,270,1508,1.1,929,90,-20.1,23,1559,54.3,1.3,1016.4,1033.3,2347,1029.3,0001,1031.8,9.8,8.4,,,,,,,,,,,-6.1,-20.2,,,,,,,,,,,,,,
