stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
169,흑산도,2013-01-01,6.1,2.8,0001,7.3,1120,,,,,1.62,0.0,14.8,200,0345,8.7,230,0617,4.9,4231,200,-2.8,41,1348,52.9,5.0,1010.5,1022.0,2352,1017.4,0540,1020.0,9.9,5.5,1200,1.66,8.71,,,,,,7.0,6.6,3.9,0.8,,,,,,,,,,,,,{연무}1318-{연무}{강도0}1500-1511. {황사}1509-{황사}{강도0}1800-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400- {비}0548-{비}{강도0}0600-0725.,
169,흑산도,2013-01-02,1.0,-3.1,1943,6.6,0002,,,,,3.83,1.0,17.2,360,1846,12.3,360,2325,8.0,6887,340,-4.7,49,0825,66.5,4.3,1020.1,1035.1,2400,1021.9,0004,1029.8,9.9,6.5,1300,1.43,7.74,1.5,2020,1.5,2020,1.5,6.4,6.4,1.8,-3.4,,,,,,,,,,,,,-{황사}-{황사}{강도0}0300-0440. {소낙눈}1820-2049. {소낙눈}2149-2252. {소낙눈}2321-2339.,
169,흑산도,2013-01-03,-1.5,-4.4,1234,0.0,2212,,,,,10.98,8.1,18.4,360,0234,12.0,340,0339,7.7,6660,360,-4.8,55,0700,79.5,4.3,1026.0,1037.9,1047,1034.5,2345,1035.8,9.9,0.4,1300,0.55,2.66,15.2,1835,15.7,1835,15.3,7.8,7.8,0.0,-3.7,,,,,,,,,,,,,{소낙눈}0054-0122. {소낙눈}0152-0217. {소낙눈}0749-0825. {소낙눈}0940-{소낙눈}{강도0}1200-{소낙눈}{강도1}1500-{소낙눈}{강도1}1800-1910.,
169,흑산도,2013-01-04,-0.3,-1.7,1103,0.7,2325,,,,,,,13.4,360,0338,9.1,360,0218,6.0,5150,360,-4.6,63,0439,72.9,4.3,1021.1,1034.6,0001,1027.4,2356,1030.9,9.9,3.0,1100,1.4,6.44,,,11.9,0001,,7.3,7.3,-0.6,-2.5,,,,,,,,,,,,,,
169,흑산도,2013-01-05,0.9,-1.8,0754,2.5,1656,,,,,5.05,0.2,12.2,340,1842,8.1,340,1913,4.2,3600,360,-3.3,57,1747,74.5,4.8,1016.7,1027.4,0001,1024.7,1338,1026.4,9.9,3.4,1200,1.77,7.24,0.3,0850,2.8,0850,0.3,6.8,6.4,1.0,-1.4,,,,,,,,,,,,,{소낙눈}0610-{소낙눈}{강도0}0900-1050. {소낙눈}1131-1154.,
169,흑산도,2013-01-06,2.4,0.8,1358,3.8,0756,,,,,,,12.1,360,0611,8.8,360,0605,5.0,4318,360,-2.3,54,0459,71.6,5.2,1015.7,1026.8,1104,1024.1,1621,1025.3,9.9,0.0,1200,0.79,2.71,,,,,,5.4,4.9,1.0,0.1,,,,,,,,,,,,,{연무}0720-0832. {박무}0830-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도1}1500-{박무}{강도0}1800-1921.,
169,흑산도,2013-01-07,2.2,1.2,1717,2.9,0034,,,,,,,12.5,360,1240,7.9,360,1234,5.5,4789,360,-3.4,61,0057,66.1,4.7,1014.8,1025.9,0951,1023.0,1419,1024.4,10.0,2.0,1200,1.57,5.97,,,,,,5.4,5.4,1.8,-0.8,,,,,,,,,,,,,,
169,흑산도,2013-01-08,2.6,1.7,0551,3.4,1744,,,,,,,14.2,20,1745,7.9,20,1745,5.2,4508,20,-2.9,58,2025,67.3,5.0,1015.3,1026.5,1011,1023.8,0202,1024.9,10.0,6.2,1300,1.72,9.18,,,,,,5.6,4.5,3.3,-0.2,,,,,,,,,,,,,,
169,흑산도,2013-01-09,1.4,-0.5,1757,3.5,0115,,,,,4.43,0.0,15.2,340,0732,10.2,340,0736,7.9,6840,360,-4.3,53,0814,65.9,4.4,1017.0,1028.1,2341,1025.3,1342,1026.7,10.0,3.7,1200,1.08,5.89,,,,,,7.1,6.3,1.4,-1.4,,,,,,,,,,,,,{소낙눈}0956-1024. {소낙눈}1321-1338. {소낙눈}1525-1537. {소낙눈}1551-1620. {소낙눈}2040-{소낙눈}{강도0}2100-2230. {소낙눈}2250-{소낙눈}{강도0}2400-,
169,흑산도,2013-01-10,-0.8,-2.2,0901,1.9,0313,,,,,7.42,1.2,15.0,360,0409,10.0,340,0424,5.5,4721,20,-4.9,53,0316,75.1,4.3,1020.3,1031.9,2159,1026.6,0410,1030.1,10.0,1.6,1200,1.13,5.0,2.0,0855,2.0,0855,2.0,6.5,6.5,-0.6,-3.2,,,,,,,,,,,,,-{소낙눈}-0050. {소낙눈}0320-{소낙눈}{강도0}0600-{소낙눈}{강도0}0900-0955.,
169,흑산도,2013-01-11,1.1,-1.7,0732,4.1,2326,,,,,,,9.4,20,0001,6.1,140,1938,3.9,3395,20,-5.8,51,1526,59.8,4.0,1019.3,1032.3,0916,1025.7,1949,1029.0,10.0,8.5,1100,2.79,13.12,,,,,,3.4,0.0,0.1,-3.8,,,,,,,,,,,,,,
169,흑산도,2013-01-12,6.3,3.0,0028,8.4,1133,,,,,,,8.4,250,0501,5.5,340,1526,3.2,2802,320,1.0,61,0932,69.5,6.6,1015.9,1026.7,0001,1024.2,1529,1025.4,10.0,6.0,1200,1.4,7.82,,,,,,4.3,3.5,4.6,0.3,,,,,,,,,,,,,{연무}0730-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-2025. {박무}2020-{박무}{강도1}2100-{박무}{강도1}2400-,
169,흑산도,2013-01-13,3.6,2.4,0552,4.5,1701,,,,,,,13.6,20,0758,8.6,20,0806,5.2,4511,20,-0.7,59,1135,73.6,5.8,1012.6,1025.5,0130,1019.8,1509,1022.1,10.1,0.0,1100,0.64,3.78,,,,,,6.8,1.9,2.3,0.7,,,,,,,,,,,,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-0915. {연무}0913-{연무}{강도1}1200-{연무}{강도1}1500-1756. {박무}1754-{박무}{강도1}1800-2018. {연무}2016-{연무}{강도0}2100-{연무}{강도0}2400-,
169,흑산도,2013-01-14,5.1,3.4,2344,6.8,1321,,,,,,,16.4,340,1431,11.4,340,1424,8.6,7473,360,-0.7,56,2345,66.4,5.8,1012.0,1025.3,2354,1018.8,0514,1021.5,10.1,6.2,1200,1.84,9.39,,,,,,0.6,0.6,3.3,1.6,,,,,,,,,,,,,-{연무}-0015. {박무}0012-{박무}{강도0}0300-0330. {연무}0740-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도1}1500-{연무}{강도0}1800-2012.,
169,흑산도,2013-01-15,2.9,1.6,1914,4.2,2355,,,,,,,11.7,360,0003,8.0,360,0008,3.5,3058,20,-1.9,55,0006,70.6,5.3,1015.2,1027.0,1002,1023.2,1909,1024.8,10.1,7.8,1300,2.12,12.37,,,,,,2.0,0.0,3.8,-3.2,,,,,,,,,,,,,,
169,흑산도,2013-01-16,4.1,1.5,2137,6.4,0714,,,,,,,17.6,340,2217,11.1,340,1731,6.9,5950,340,-0.6,59,1223,71.3,5.8,1015.2,1026.9,2043,1023.0,1321,1024.7,10.1,0.3,1200,1.11,3.85,,,,,,9.0,7.5,3.9,0.9,,,,,,,,,,,,,{박무}0730-{박무}{강도1}0900-1125. {연무}1122-{연무}{강도1}1200-1324. {박무}1322-1440. {연무}1740-{연무}{강도0}1800-1848.,
