damagearea,endday,endmonth,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
1260.15,05,04,2019,기타,산171,남양,강릉,옥계,강원,04,목요일,04,23:46:00,2019
1,05,04,2019,주택화재비화,512-1(임),관산,고양,덕양,경기,05,금요일,04,14:12:00,2019
0.15,06,04,2019,입산자실화,산56,명례,기장,장안,부산,06,토요일,04,11:38:00,2019
2,06,04,2019,기타,산79,신방,영천,자양,경북,06,토요일,04,13:27:00,2019
1.02,07,04,2019,입산자실화,산163,녹동,경주,외동,경북,07,일요일,04,06:21:00,2019
0.1,08,04,2019,쓰레기소각,산38-1,문암,음성,원남,충북,08,월요일,04,15:16:00,2019
0.06,08,04,2019,기타,산55-1,장동,이천,신둔,경기,08,월요일,04,13:14:00,2019
0.01,07,04,2019,입산자실화,산52-1,대백,창원,진해,경남,07,일요일,04,13:53:00,2019
0.1,04,04,2019,기타,산42,송전,용인,이동,경기,04,목요일,04,20:14:00,2019
0.1,06,04,2019,기타,산247,옥적,여수,화양,전남,06,토요일,04,11:30:00,2019
0.01,19,04,2019,담뱃불실화,산57,이매,성남,분당,경기,19,금요일,04,18:20:00,2019
0.04,16,04,2019,쓰레기소각,산107-1,고모,김포,풍무,경기,16,화요일,04,12:11:00,2019
0.06,13,04,2019,기타,산201-1,장속,남양주,별내,경기,13,토요일,04,15:12:00,2019
0.16,09,04,2019,담뱃불실화,산86-1,정,포천,소흘,경기,09,화요일,04,13:08:00,2019
0.8,08,04,2019,기타,산25,장죽,보은,보은,충북,08,월요일,04,12:04:00,2019
0.01,06,04,2019,기타,산11,성대,문경,마성,경북,06,토요일,04,17:14:00,2019
2,17,04,2019,기타,산6-2,백석,안성,금광,경기,17,수요일,04,14:29:00,2019
0.05,04,04,2019,기타,산145,관하,진천,백곡,충북,04,목요일,04,20:51:00,2019
0.02,18,04,2019,기타,산13,오,남,이장,광주,18,목요일,04,16:29:00,2019
0.02,17,04,2019,기타,산96-1,제내,연천,미산,경기,17,수요일,04,13:41:00,2019
0.1,17,04,2019,쓰레기소각,산137,사기소,청도,매전,경북,17,수요일,04,13:17:00,2019
0.03,16,04,2019,기타,산138,학현,기장,장안,부산,16,화요일,04,12:08:00,2019
1.2,16,04,2019,주택화재비화,산76-1,정곡,경주,외동,경북,15,월요일,04,22:15:00,2019
0.03,13,04,2019,기타,24-1,광전,당진,면천,충남,13,토요일,04,14:29:00,2019
0.03,13,04,2019,기타,산41-15,삼덕,평택,안중,경기,13,토요일,04,12:53:00,2019
0.01,09,04,2019,쓰레기소각,산51-4,남송,진안,진안,전북,09,화요일,04,11:30:00,2019
0.09,08,04,2019,기타,산2-1,용계,하남,초일,경기,08,월요일,04,18:30:00,2019
1,07,04,2019,기타,산25,원암,예천,유천,경북,07,일요일,04,16:30:00,2019
0.1,07,04,2019,기타,산153-1,관성,노원,상계,서울,07,일요일,04,15:07:00,2019
0.1,06,04,2019,기타,산49-10,고성,상주,사벌,경북,06,토요일,04,14:57:00,2019
0.01,06,04,2019,입산자실화,산197-2,구수,포항,흥해,경북,06,토요일,04,13:29:00,2019
0.01,06,04,2019,입산자실화,산125-1,도산,수성,이천,대구,06,토요일,04,09:59:00,2019
0.1,05,04,2019,기타,산52,화산,영천,북안,경북,05,금요일,04,15:15:00,2019
1266.62,05,04,2019,기타,산89-2,상원,고성,토성,강원,04,목요일,04,19:17:00,2019
0.05,19,04,2019,입산자실화,산31-38,와석,천안,병천,충남,19,금요일,04,18:09:00,2019
0.03,20,04,2019,입산자실화,산102,창기,춘천,사북,강원,20,토요일,04,12:27:00,2019
0.03,08,04,2019,기타,산60-21,엄소,안성,미양,경기,08,월요일,04,13:37:00,2019
0.03,06,04,2019,기타,163-2,월오,당진,정미,충남,06,토요일,04,11:30:00,2019
0.1,06,04,2019,기타,산136,미원,영천,화산,경북,06,토요일,04,12:09:00,2019
2,07,04,2019,입산자실화,산45,삼전,달성,가창,대구,06,토요일,04,20:28:00,2019
0.3,07,04,2019,기타,산62,문호,영월,김삿갓,강원,07,일요일,04,10:39:00,2019
0.01,08,04,2019,주택화재비화,산24-1,홍계,태안,안면,충남,08,월요일,04,12:32:00,2019
0.7,09,04,2019,기타,산178외 3필지,구왕,가평,설악,경기,09,화요일,04,13:18:00,2019
0.3,12,04,2019,쓰레기소각,산14-1외3필,대각,청주,상당,충북,12,금요일,04,13:39:00,2019
0.01,13,04,2019,쓰레기소각,6-5,정자,보령,남곡,충남,13,토요일,04,15:57:00,2019
0.1,15,04,2019,입산자실화,산1-3,동천,청주,미원,충북,15,월요일,04,15:38:00,2019
1.5,16,04,2019,기타,산2-1외25필,동천,유성,대정,대전,16,화요일,04,13:40:00,2019
0.05,16,04,2019,입산자실화,산129-1,대자,논산,가야곡,충남,16,화요일,04,17:14:00,2019
0.12,17,04,2019,기타,산151-265외3필,치산,양평,서종,경기,17,수요일,04,14:57:00,2019
0.1,18,04,2019,기타,산140,중촌,포항,대송,경북,18,목요일,04,10:53:00,2019
0.03,20,04,2019,기타,산3,존도,공주,계룡,충남,20,토요일,04,10:12:00,2019
3.6,05,04,2019,기타,산43-2,초곡,포항,대송,경북,05,금요일,04,02:50:00,2019
0.6,08,04,2019,기타,산34-2,마,성남,분당,경기,08,월요일,04,13:34:00,2019
1.5,09,04,2019,담뱃불실화,산113-1,성내,평택,진위,경기,09,화요일,04,11:15:00,2019
0.01,07,04,2019,쓰레기소각,214-1,합강,평택,진위,경기,07,일요일,04,16:25:00,2019
0.04,07,04,2019,기타,산1-11,감곡,고양,덕양,경기,07,일요일,04,13:22:00,2019
0.5,06,04,2019,입산자실화,산41,장선,영천,신녕,경북,06,토요일,04,13:45:00,2019
0.01,05,04,2019,담뱃불실화,산107,가당,산청,신안,경남,05,금요일,04,15:57:00,2019
0.01,20,04,2019,기타,9임,석수,문경,산양,경북,20,토요일,04,12:07:00,2019
