analdate,area,d1,d2,d3,d4,doname,maxi,meanavg,mini,regioncode,sigucode,sigun,std_list,upplocalcd
2023-05-23 14,,0,7,93,0,서울특별시,85,72,65,11110     ,11110     ,종로구,5,11
2023-05-23 18,,96,4,0,0,서울특별시,52,38,30,11110     ,11110     ,종로구,5,11
2023-05-23 21,,100,0,0,0,서울특별시,43,27,15,11110     ,11110     ,종로구,6,11
2023-05-24 00,,100,0,0,0,서울특별시,37,22,12,11110     ,11110     ,종로구,5,11
2023-05-24 03,,100,0,0,0,서울특별시,34,19,9,11110     ,11110     ,종로구,5,11
2023-05-24 06,,100,0,0,0,서울특별시,31,16,8,11110     ,11110     ,종로구,5,11
2023-05-24 09,,100,0,0,0,서울특별시,46,31,23,11110     ,11110     ,종로구,5,11
2023-05-24 12,,96,4,0,0,서울특별시,0,55,35,11110     ,11110     ,종로구,5,11
2023-05-24 15,,0,8,92,0,서울특별시,85,72,65,11110     ,11110     ,종로구,5,11
2023-05-24 18,,0,48,52,0,서울특별시,85,68,59,11110     ,11110     ,종로구,6,11
2023-05-24 21,,69,29,2,0,서울특별시,67,41,24,11110     ,11110     ,종로구,12,11
2023-05-25 00,,96,4,0,0,서울특별시,55,36,18,11110     ,11110     ,종로구,9,11
2023-05-25 03,,100,0,0,0,서울특별시,49,27,12,11110     ,11110     ,종로구,9,11
2023-05-25 06,,100,0,0,0,서울특별시,37,21,11,11110     ,11110     ,종로구,6,11
2023-05-25 09,,8,77,15,0,서울특별시,73,59,48,11110     ,11110     ,종로구,5,11
2023-05-25 12,,0,8,92,0,서울특별시,85,72,65,11110     ,11110     ,종로구,5,11
2023-05-25 15,,0,8,92,0,서울특별시,85,72,65,11110     ,11110     ,종로구,5,11
2023-05-25 18,,0,48,52,0,서울특별시,85,68,59,11110     ,11110     ,종로구,6,11
2023-05-25 21,,69,29,2,0,서울특별시,67,45,30,11110     ,11110     ,종로구,9,11
2023-05-26 00,,72,26,2,0,서울특별시,67,41,24,11110     ,11110     ,종로구,11,11
