stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
259,강진군,2013-01-01,-0.7,-6.4,0404,5.9,1446,,,,,,0.3,12.1,250,1325,9.0,250,1332,1.9,1617,320,-3.6,52,1448,81.6,4.8,1019.8,1022.8,2359,1019.8,1417,1021.4,9.9,4.5,1200,1.24,6.92,0.5,0650,0.5,0650,0.5,,,1.1,-3.5,1.8,2.3,3.0,3.9,,,,,,,,,,
259,강진군,2013-01-02,-1.3,-5.9,2224,3.1,0156,,,,,,0.2,11.8,340,0337,7.2,290,1406,4.1,3538,340,-7.3,52,1359,63.8,3.6,1028.5,1036.0,2352,1022.6,0039,1030.1,9.9,8.6,1200,1.86,10.06,,,,,,,,1.1,-3.5,1.9,2.6,3.2,4.0,,,,,,,,,,
259,강진군,2013-01-03,-5.6,-8.0,0701,-1.9,1339,,,,,,,11.2,360,1134,7.0,360,1531,4.3,3734,360,-13.0,39,1355,56.5,2.3,1034.9,1039.2,1013,1035.1,2350,1036.6,9.9,6.3,1300,1.97,11.5,,,,,,,,-0.6,-8.1,0.6,1.5,2.5,3.6,,,,,,,,,,
259,강진군,2013-01-04,-4.7,-7.7,0757,-0.8,1602,,,,,,,11.5,340,1332,6.9,360,1332,4.0,3435,340,-14.5,29,1249,47.1,2.0,1029.6,1035.2,0001,1028.2,2349,1031.2,9.9,9.2,1200,2.13,13.34,,,,,,,,-0.4,-4.9,0.2,1.0,2.0,3.1,,,,,,,,,,
259,강진군,2013-01-05,-1.9,-7.4,0027,2.7,1251,,,,,,,11.5,340,1446,6.4,320,1447,3.1,2698,340,-11.5,25,0633,50.3,2.7,1024.9,1028.3,0019,1024.2,1410,1026.5,9.9,9.2,1200,1.77,11.23,,,,,,,,-0.4,-4.0,0.1,0.8,1.7,2.8,,,,,,,,,,
259,강진군,2013-01-06,-0.9,-4.1,0003,3.5,1441,,,,,,,7.7,340,1413,5.4,340,1424,2.9,2473,360,-7.7,34,1545,61.0,3.4,1023.9,1026.9,0035,1024.0,1607,1025.5,9.9,7.9,1200,1.62,9.99,,,,,,,,0.2,-3.5,0.3,0.9,1.7,2.7,,,,,,,,,,
259,강진군,2013-01-07,-1.2,-6.1,0514,3.0,1452,,,,,,,9.2,340,2016,6.3,340,2022,3.2,2763,340,-12.3,18,1502,45.1,2.4,1022.5,1026.1,0001,1022.3,1449,1024.1,10.0,8.4,1200,1.87,11.39,,,,,,,,0.0,-4.7,0.5,1.0,1.8,2.7,,,,,,,,,,
259,강진군,2013-01-08,0.0,-5.0,0620,5.0,1418,,,,,,,11.4,340,1551,8.2,340,1551,3.1,2670,340,-10.3,29,1612,47.0,2.8,1023.1,1026.5,1057,1023.0,1524,1024.7,10.0,9.1,1200,1.66,10.67,,,,,,,,-0.1,-4.3,0.5,1.0,1.8,2.7,,,,,,,,,,
259,강진군,2013-01-09,-2.8,-6.8,2347,1.0,1249,,,,,,,13.5,340,1634,7.6,360,1430,4.0,3461,340,-10.3,35,0134,56.9,2.8,1025.6,1029.0,2337,1025.1,1357,1027.2,10.0,7.0,1200,1.49,9.38,,,,,,,,0.2,-4.0,0.5,1.1,1.8,2.7,,,,,,,,,,
259,강진군,2013-01-10,-4.2,-8.7,0658,0.8,1403,,,,,,,12.0,340,1449,7.4,360,1553,2.9,2501,340,-13.9,19,1618,49.9,2.2,1028.7,1031.9,2231,1028.5,0340,1030.3,10.0,9.4,1200,2.06,13.4,,,,,,,,-0.6,-5.6,0.2,0.9,1.7,2.6,,,,,,,,,,
