stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
201,강화,2013-01-01,-5.4,-10.9,0014,-0.4,1312,,,,,,2.0,9.7,320,2213,6.1,340,2217,1.8,1567,20,-8.7,62,0300,78.3,3.2,1012.6,1022.0,2355,1016.7,0758,1018.6,9.6,5.5,,,,,,,,,,,-1.1,-9.5,,,,,,,,,,,,,,
201,강화,2013-01-02,-12.4,-17.0,0648,-6.8,0001,,,,,,,12.1,20,0031,4.2,20,0031,2.1,1792,50,-21.1,35,0343,48.6,1.2,1026.1,1037.8,2320,1022.0,0002,1032.4,9.6,8.6,,,,,,,,,,,-1.1,-8.6,,,,,,,,,,,,,,
201,강화,2013-01-03,-14.1,-19.7,0747,-9.2,1413,,,,,,,8.9,320,1025,5.1,230,1403,1.7,1500,230,-22.6,33,1114,49.8,1.0,1031.7,1039.6,0921,1036.6,1415,1038.1,9.6,8.6,,,,,,,,,,,-1.9,-11.0,,,,,,,,,,,,,,
201,강화,2013-01-04,-13.4,-19.0,0624,-6.5,1604,,,,,,,4.6,360,0055,2.9,230,1526,1.1,922,340,-19.7,29,1442,61.4,1.3,1026.8,1037.3,0001,1030.1,2151,1033.1,9.7,8.6,,,,,,,,,,,-2.3,-12.1,,,,,,,,,,,,,,
201,강화,2013-01-05,-9.9,-15.9,0003,-2.2,1459,,,,,,,3.7,230,1342,2.6,230,1351,0.9,806,20,-13.5,48,1315,75.8,2.2,1020.7,1030.2,0001,1024.3,1419,1026.9,9.7,6.2,,,,,,,,,,,-2.1,-11.8,,,,,,,,,,,,,,
201,강화,2013-01-06,-9.1,-13.8,0737,-2.6,1356,,,,,,,5.1,250,1509,3.3,230,1516,0.9,795,110,-13.5,35,1602,72.4,2.2,1020.8,1028.0,0649,1025.7,0013,1027.0,9.7,6.7,,,,,,,,,,,-2.1,-10.7,,,,,,,,,,,,,,
201,강화,2013-01-07,-8.0,-13.5,0457,-2.3,1401,,,,,,,4.4,250,1436,3.3,230,1438,0.9,739,340,-13.2,39,1356,67.3,2.3,1019.8,1027.6,0707,1024.6,1548,1026.0,9.7,4.2,,,,,,,,,,,-1.9,-10.6,,,,,,,,,,,,,,
201,강화,2013-01-08,-7.1,-11.9,0657,-1.0,1354,,,,,,,7.1,250,2327,3.9,250,2327,1.0,879,200,-12.7,34,1404,67.8,2.3,1020.5,1028.2,0921,1025.3,1342,1026.7,9.7,7.8,,,,,,,,,,,-1.8,-9.6,,,,,,,,,,,,,,
201,강화,2013-01-09,-10.6,-15.3,2357,-6.9,1514,,,,,,,8.6,230,1417,4.6,290,0938,2.0,1697,320,-19.2,31,1633,50.0,1.3,1022.1,1029.6,2357,1027.0,1353,1028.3,9.7,8.6,,,,,,,,,,,-2.1,-12.2,,,,,,,,,,,,,,
201,강화,2013-01-10,-10.7,-15.9,0747,-4.0,1409,,,,,,,5.7,230,1448,3.4,200,1503,1.1,935,340,-18.4,27,1221,55.0,1.5,1025.3,1032.8,2107,1029.5,0001,1031.6,9.7,8.5,,,,,,,,,,,-2.8,-12.7,,,,,,,,,,,,,,
201,강화,2013-01-11,-3.4,-11.8,0023,0.8,1353,,,,,,,5.6,200,2347,3.8,200,2355,1.4,1241,50,-10.3,49,0703,59.3,2.9,1023.1,1032.6,0238,1025.7,2241,1029.2,9.8,5.6,,,,,,,,,,,-0.5,-10.7,,,,,,,,,,,,,,
201,강화,2013-01-12,-1.2,-5.0,2355,3.3,1246,,,,,,0.4,7.2,230,1336,3.9,270,1508,1.5,1310,270,-3.7,54,0008,84.1,4.7,1018.9,1026.6,2313,1023.6,0557,1024.9,9.8,3.3,,,,,,,,,,,-0.3,-10.6,,,,,,,,,,,,,,
201,강화,2013-01-13,-4.9,-8.9,0217,1.3,1548,,,,,,,4.2,90,1455,2.7,110,1326,0.8,685,70,-7.1,48,1545,85.6,3.6,1018.8,1027.4,0841,1022.6,2345,1024.9,9.8,2.5,,,,,,,,,,,-1.9,-12.5,,,,,,,,,,,,,,
201,강화,2013-01-14,-3.7,-8.6,0740,2.0,1411,,,,,,,10.1,340,2109,5.7,340,2113,1.5,1335,230,-10.1,40,2241,63.4,2.9,1016.1,1025.5,2354,1019.4,1337,1022.1,9.8,4.9,,,,,,,,,,,-2.7,-13.5,,,,,,,,,,,,,,
201,강화,2013-01-15,-5.5,-10.5,0643,0.6,1352,,,,,,,4.2,340,1815,2.7,250,1600,1.0,875,20,-11.4,43,1357,63.8,2.6,1019.5,1027.8,0938,1024.1,1450,1025.6,9.9,2.3,,,,,,,,,,,-3.8,-14.6,,,,,,,,,,,,,,
201,강화,2013-01-16,-3.7,-8.2,2359,-0.2,1507,,,,,,0.0,8.5,340,2300,4.4,230,1447,1.6,1396,290,-8.4,41,0529,69.8,3.3,1018.8,1027.1,2358,1023.2,1350,1024.9,9.9,4.9,,,,,,,,,,,-1.0,-11.7,,,,,,,,,,,,,,
201,강화,2013-01-17,-7.1,-11.1,0751,-3.5,1550,,,,,,,7.6,320,2214,3.9,340,1222,1.6,1407,320,-13.5,38,2148,61.1,2.2,1024.0,1032.4,2225,1027.1,0001,1030.1,9.9,8.0,,,,,,,,,,,-4.1,-15.1,,,,,,,,,,,,,,
201,강화,2013-01-18,-6.8,-13.4,0743,-1.1,1539,,,,,,,6.0,230,1308,4.1,200,1436,1.3,1160,340,-12.4,34,1151,66.9,2.5,1024.6,1033.2,0947,1028.3,2223,1030.8,9.9,8.5,,,,,,,,,,,-4.5,-17.6,,,,,,,,,,,,,,
201,강화,2013-01-19,-1.6,-8.6,0104,3.5,1154,,,,,,,5.0,230,1404,3.4,230,1359,1.1,966,70,-4.7,57,1553,80.3,4.3,1023.3,1032.3,2319,1027.9,1336,1029.4,9.9,6.0,,,,,,,,,,,-0.8,-13.4,,,,,,,,,,,,,,
201,강화,2013-01-20,-0.2,-5.5,0110,3.6,2320,,,,,,,5.0,20,1559,3.2,20,1603,1.3,1155,20,-4.7,51,1821,74.0,4.3,1024.9,1034.7,1100,1028.8,2358,1030.9,10.0,0.0,,,,,,,,,,,-0.7,-10.1,,,,,,,,,,,,,,
201,강화,2013-01-21,1.4,0.2,0856,3.9,0105,,,,,,14.0,8.5,360,2243,5.0,20,0944,3.1,2662,20,-0.2,51,0104,89.9,6.1,1015.6,1028.8,0001,1018.0,1644,1021.5,10.0,0.0,,,,,,,,,,,0.2,-1.2,,,,,,,,,,,,,,
201,강화,2013-01-22,3.2,1.6,0822,5.1,1323,,,,,,0.1,7.5,20,0209,4.7,360,0215,1.8,1573,50,-0.4,64,1308,77.8,6.0,1015.5,1023.0,1040,1017.9,0200,1021.4,10.0,0.0,,,,,,,,,,,1.3,0.6,,,,,,,,,,,,,,
201,강화,2013-01-23,0.7,-2.3,2332,2.4,1642,,,,,,0.5,5.7,250,1414,3.6,250,1418,1.0,892,250,-0.3,83,2145,93.3,6.0,1013.1,1022.4,0001,1017.4,1505,1019.0,10.1,0.3,,,,,,,,,,,1.0,-5.9,,,,,,,,,,,,,,
201,강화,2013-01-24,-1.8,-7.6,2400,1.9,1025,,,,,,0.1,11.8,230,2212,6.4,230,2215,2.5,2167,270,-7.7,34,2354,67.4,3.9,1011.3,1021.9,2356,1014.6,1319,1017.2,10.1,2.1,,,,,,,,,,,0.5,-8.7,,,,,,,,,,,,,,
201,강화,2013-01-25,-9.4,-11.0,0807,-7.4,1630,,,,,,,10.8,250,0512,5.3,250,1455,2.8,2419,230,-18.8,32,1448,46.6,1.4,1017.0,1024.7,1040,1021.8,0007,1023.2,10.1,8.8,,,,,,,,,,,-4.1,-12.4,,,,,,,,,,,,,,
201,강화,2013-01-26,-9.4,-13.3,0512,-5.7,1536,,,,,,,9.1,250,0253,5.6,250,0301,2.5,2165,230,-20.2,32,1124,41.6,1.2,1018.2,1026.7,2317,1022.6,0527,1024.4,10.1,9.1,,,,,,,,,,,-5.9,-15.2,,,,,,,,,,,,,,
201,강화,2013-01-27,-8.5,-13.5,0509,-3.3,1452,,,,,,,8.0,230,1436,4.3,250,1442,1.5,1274,250,-15.2,38,1448,60.3,1.9,1019.9,1027.6,2314,1024.8,1421,1026.1,10.2,8.9,,,,,,,,,,,-5.0,-17.1,,,,,,,,,,,,,,
201,강화,2013-01-28,-4.4,-11.9,0637,0.3,2239,,,,,,,4.7,110,1315,3.0,110,1321,1.2,1056,50,-9.2,50,1234,69.3,3.2,1021.0,1028.6,1018,1025.8,1726,1027.1,10.2,2.0,,,,,,,,,,,-3.6,-15.8,,,,,,,,,,,,,,
201,강화,2013-01-29,2.2,-0.6,0449,4.3,1359,,,,,,,3.0,340,0828,1.8,50,0144,1.0,866,50,-1.8,68,0104,74.9,5.4,1020.4,1027.6,2332,1025.4,1401,1026.3,10.2,0.0,,,,,,,,,,,0.7,-0.6,,,,,,,,,,,,,,
201,강화,2013-01-30,4.5,2.2,0137,8.3,1527,,,,,,,3.1,70,1132,2.0,50,1133,1.0,829,20,1.7,63,1633,82.8,6.9,1023.6,1030.8,1052,1027.6,0001,1029.5,10.3,0.0,,,,,,,,,,,2.2,1.7,,,,,,,,,,,,,,
201,강화,2013-01-31,7.1,1.2,0557,11.9,1415,,,,,,,5.8,50,2034,3.7,20,2035,1.5,1288,20,0.8,48,1510,66.3,6.5,1023.3,1031.8,0827,1025.4,2308,1029.2,10.3,5.4,,,,,,,,,,,4.1,-2.1,,,,,,,,,,,,,,
201,강화,2013-02-01,5.8,-0.3,2400,8.7,1521,,,,,,32.5,10.3,320,2259,6.0,290,2259,2.3,2003,50,4.6,58,0001,92.8,8.7,1011.8,1025.6,0001,1012.1,1501,1017.6,10.3,0.0,,,,,,,,,,,3.4,-0.9,,,,,,,,,,,,,,
201,강화,2013-02-02,-2.2,-5.2,2338,1.1,1442,,,,,,,8.6,230,1332,5.2,230,1414,2.5,2171,250,-11.1,25,1737,54.0,2.8,1022.2,1031.4,2300,1021.1,0001,1028.2,10.4,8.5,,,,,,,,,,,1.3,-7.5,,,,,,,,,,,,,,
201,강화,2013-02-03,-5.0,-7.8,0246,-3.1,1315,,,,,,10.5,5.3,340,1521,3.2,320,0002,1.4,1189,70,-9.6,44,1124,72.0,3.1,1020.0,1032.1,0238,1019.0,2358,1026.1,10.4,0.0,,,,,,,,,,,-1.4,-10.1,,,,,,,,,,,,,,
201,강화,2013-02-04,-2.0,-7.6,2344,2.2,1238,,,,,,1.5,8.5,250,1342,5.1,230,1357,1.8,1549,230,-5.4,56,2213,79.0,4.2,1015.6,1027.1,2324,1016.1,0454,1021.6,10.4,7.1,,,,,,,,,,,0.1,-5.1,,,,,,,,,,,,,,
201,강화,2013-02-05,-2.4,-9.0,0343,1.8,1611,,,,,,0.4,5.7,70,0938,3.5,70,1132,1.3,1090,90,-5.8,58,1615,78.0,4.0,1016.0,1027.1,0229,1018.4,2355,1022.0,10.5,0.0,,,,,,,,,,,-0.2,-5.8,,,,,,,,,,,,,,
201,강화,2013-02-06,-1.9,-5.0,0820,0.2,1513,,,,,,0.5,10.0,320,0243,4.3,270,2052,2.4,2092,250,-6.8,54,1453,69.4,3.7,1013.3,1020.4,0849,1017.9,0331,1019.3,10.5,8.1,,,,,,,,,,,0.6,-5.3,,,,,,,,,,,,,,
201,강화,2013-02-07,-11.8,-13.8,0859,-2.4,0005,,,,,,0.0,11.5,270,0338,6.3,230,0504,2.9,2540,230,-22.0,32,0230,42.8,1.1,1020.8,1031.3,2354,1019.4,0003,1027.0,10.5,8.4,,,,,,,,,,,-6.8,-15.6,,,,,,,,,,,,,,
201,강화,2013-02-08,-13.2,-16.6,0731,-8.7,1313,,,,,,,10.2,340,0137,5.4,360,0431,2.2,1864,230,-22.3,33,1024,48.1,1.1,1026.9,1035.2,1013,1031.1,0005,1033.3,10.6,9.2,,,,,,,,,,,-8.0,-17.7,,,,,,,,,,,,,,
201,강화,2013-02-09,-8.7,-16.0,0151,-3.7,1447,,,,,,,5.1,250,1623,3.5,250,1613,1.1,914,250,-13.6,46,1215,68.5,2.2,1022.7,1032.3,0216,1026.6,2331,1028.9,10.6,8.9,,,,,,,,,,,-4.6,-18.1,,,,,,,,,,,,,,
