stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
262,∞Ì»Ô,2013-01-01,-0.3,-5.6,0402,6.5,1344,,,,,,,11.8,320,1421,5.3,250,1413,1.1,916,340,-3.0,51,1627,83.6,5.0,1014.1,1022.2,2201,1019.0,1402,1020.8,9.9,5.2,,,,,,,,,,,-1.7,-9.2,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-02,-0.2,-5.4,2353,3.6,0307,,,,,,,12.2,360,0501,6.3,340,1506,3.3,2855,340,-7.4,45,1250,58.8,3.6,1022.1,1034.9,2342,1021.9,0120,1028.9,9.9,7.9,,,,,,,,,,,-0.9,-7.2,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-03,-5.0,-7.6,0544,-0.8,1320,,,,,,,10.8,340,1519,6.1,320,2144,3.0,2630,340,-13.6,31,1522,52.1,2.2,1028.5,1038.2,1024,1033.9,2359,1035.4,9.9,5.4,,,,,,,,,,,-5.1,-10.7,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-04,-4.0,-8.4,0657,2.8,1540,,,,,,,8.3,340,1351,5.2,320,1513,2.1,1842,340,-14.3,21,1404,47.1,2.0,1022.8,1034.0,0049,1027.0,2345,1029.7,9.9,8.0,,,,,,,,,,,-4.5,-11.6,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-05,-2.0,-8.1,0115,4.0,1304,,,,,,,12.7,340,1552,6.6,340,1600,2.4,2059,340,-10.2,26,0929,55.9,2.9,1018.4,1027.1,0003,1022.5,1419,1025.2,9.9,7.6,,,,,,,,,,,-3.5,-11.5,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-06,0.3,-4.5,2344,4.7,1440,,,,,,,8.1,320,1400,5.7,320,1622,2.5,2186,320,-8.4,37,1259,52.6,3.3,1017.4,1025.7,0105,1022.6,1500,1024.2,9.9,8.0,,,,,,,,,,,-1.2,-8.4,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-07,-1.5,-7.1,0803,4.9,1506,,,,,,,8.0,320,1711,5.3,320,1649,1.7,1478,360,-11.8,25,1301,48.1,2.5,1016.0,1025.0,0949,1020.9,1506,1022.8,10.0,7.2,,,,,,,,,,,-2.9,-10.0,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-08,-0.4,-7.6,0749,6.5,1409,,,,,,,9.0,340,1312,5.3,340,1133,1.7,1470,340,-10.4,24,1445,51.8,2.8,1016.6,1025.0,0908,1021.5,1451,1023.4,10.0,8.1,,,,,,,,,,,-2.4,-11.4,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-09,-2.1,-7.0,2357,2.3,1357,,,,,,,13.5,290,1431,9.1,320,1435,3.6,3123,340,-11.6,30,0207,49.0,2.6,1019.1,1028.3,2343,1023.2,1353,1026.0,10.0,6.7,,,,,,,,,,,-2.3,-10.4,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-10,-3.9,-9.1,0801,2.6,1430,,,,,,,11.6,340,1224,6.2,340,1113,1.9,1669,340,-13.6,20,1546,50.9,2.2,1022.3,1030.9,2314,1027.7,0330,1029.1,10.0,8.1,,,,,,,,,,,-3.9,-13.0,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-11,-2.7,-10.8,0548,6.0,1420,,,,,,,4.9,340,1220,3.2,320,1410,0.8,709,290,-10.9,16,1510,58.1,2.7,1022.3,1032.0,0925,1026.5,2236,1029.1,10.0,8.1,,,,,,,,,,,-3.1,-15.1,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-12,1.9,-5.2,0649,10.2,1329,,,,,,,10.7,340,1351,5.9,340,1400,1.5,1311,340,-3.0,42,1519,72.0,5.0,1018.7,1027.9,0047,1023.4,1401,1025.4,10.0,8.1,,,,,,,,,,,0.0,-8.4,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-13,2.1,-3.5,0503,6.5,1646,,,,,,,6.4,50,1109,3.1,50,1902,1.3,1109,50,-7.4,25,1446,55.1,3.6,1014.9,1025.0,0001,1018.7,2400,1021.6,10.1,0.0,,,,,,,,,,,-0.4,-7.1,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-14,2.1,-5.7,0606,8.4,1223,,,,,,,14.2,320,1359,7.9,320,1408,2.6,2235,340,-7.0,23,1446,55.0,3.7,1012.7,1024.2,2359,1017.0,0527,1019.4,10.1,8.2,,,,,,,,,,,-0.4,-10.1,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-15,-0.2,-6.5,0642,8.7,1411,,,,,,,5.3,340,1437,3.6,340,1445,0.9,745,340,-4.6,41,1345,75.4,4.4,1017.7,1026.9,0939,1022.9,2249,1024.4,10.1,8.0,,,,,,,,,,,-0.6,-10.6,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-16,1.5,-4.4,0742,7.2,1403,,,,,,,15.3,340,1415,6.7,340,1452,2.4,2104,340,-4.2,45,1423,67.1,4.5,1017.2,1024.9,2357,1021.1,1403,1023.9,10.1,2.4,,,,,,,,,,,0.6,-8.5,,,,,,,,,,,,,,
262,∞Ì»Ô,2013-01-17,-0.4,-3.7,2400,2.1,1414,,,,,,,15.1,340,0329,9.0,320,1435,4.7,4094,340,-8.4,43,1207,54.9,3.3,1020.9,1031.0,2349,1024.7,0004,1027.7,10.1,6.8,,,,,,,,,,,-0.5,-6.4,,,,,,,,,,,,,,
