stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
295,남해,2013-01-01,0.9,-5.0,0611,6.6,1308,,,,,,,5.5,230,1336,3.0,270,1345,1.1,973,250,-5.3,43,1642,63.8,4.1,1015.0,1022.3,0156,1018.6,1304,1020.6,9.9,3.7,,,,,,,,,,,-0.1,-7.6,,,,,,,,,,,,,,
295,남해,2013-01-02,0.1,-4.6,2400,4.2,0238,,,,,,,7.1,320,0726,4.0,290,0730,2.1,1840,270,-9.9,36,1550,47.1,3.0,1022.2,1033.6,2350,1021.1,0011,1028.0,9.9,8.1,,,,,,,,,,,0.2,-7.5,,,,,,,,,,,,,,
295,남해,2013-01-03,-4.6,-7.3,2400,-1.2,1424,,,,,,,4.1,340,1130,2.5,290,1552,1.4,1195,290,-16.7,23,1236,39.3,1.7,1028.2,1036.6,1020,1032.9,1524,1034.1,9.9,6.5,,,,,,,,,,,-0.7,-10.8,,,,,,,,,,,,,,
295,남해,2013-01-04,-4.2,-8.6,0633,1.8,1606,,,,,,,2.5,340,0923,1.4,250,2215,0.9,768,250,-13.4,38,1549,48.8,2.2,1023.7,1033.3,0001,1026.7,2355,1029.6,9.9,8.0,,,,,,,,,,,-2.0,-11.5,,,,,,,,,,,,,,
295,남해,2013-01-05,-2.2,-6.1,0741,3.1,1609,,,,,,,3.5,290,1741,1.7,270,1630,0.9,819,250,-12.5,21,1513,46.9,2.4,1019.0,1026.7,0001,1022.1,1441,1024.7,9.9,7.5,,,,,,,,,,,-1.8,-8.8,,,,,,,,,,,,,,
295,남해,2013-01-06,-0.6,-3.8,0555,4.7,1555,,,,,,,2.2,290,1057,1.5,290,1105,0.9,795,250,-8.9,30,1601,54.6,3.1,1018.2,1025.8,1006,1022.5,1508,1023.9,9.9,7.5,,,,,,,,,,,-1.3,-7.3,,,,,,,,,,,,,,
295,남해,2013-01-07,-0.5,-4.7,0725,5.6,1545,,,,,,,2.7,360,1220,1.5,320,1031,1.0,871,250,-12.2,20,1206,42.0,2.4,1017.1,1024.8,0842,1020.8,1513,1022.8,10.0,8.0,,,,,,,,,,,-1.3,-8.7,,,,,,,,,,,,,,
295,남해,2013-01-08,0.2,-4.6,0657,5.9,1552,,,,,,,3.2,70,1251,1.6,340,1027,1.0,866,270,-11.5,24,1552,42.0,2.6,1017.5,1025.2,0932,1021.2,1542,1023.2,10.0,8.1,,,,,,,,,,,-1.2,-9.1,,,,,,,,,,,,,,
295,남해,2013-01-09,-1.8,-6.4,2357,2.5,1456,,,,,,,5.0,270,1334,2.9,320,1539,1.3,1154,270,-12.6,29,1503,44.0,2.3,1019.0,1027.4,2338,1022.1,1404,1024.7,10.0,8.1,,,,,,,,,,,-1.2,-9.0,,,,,,,,,,,,,,
295,남해,2013-01-10,-3.1,-7.7,0458,2.8,1601,,,,,,,2.9,320,1001,1.5,50,1310,1.0,829,250,-13.3,30,1558,46.3,2.2,1022.9,1030.9,2318,1027.1,0237,1028.7,10.0,8.2,,,,,,,,,,,-2.1,-10.0,,,,,,,,,,,,,,
