stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
100,대관령,2013-01-01,-9.9,-18.8,0631,-5.3,1335,,,,,11.0,4.8,14.7,250,1444,9.4,250,1433,4.2,3612,250,-13.2,63,2054,76.9,2.3,922.8,1023.5,0632,1014.6,1333,1019.0,9.6,3.9,1200,0.9,4.94,5.8,2400,25.1,2400,5.8,7.6,6.3,-3.9,-18.2,,,,,,,,,,,,,{눈}0710-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-1540. {눈}2130-{눈}{강도0}2400-,
100,대관령,2013-01-02,-13.9,-18.2,2357,-5.9,0153,,,,,3.5,1.0,20.3,270,1342,13.0,270,1347,8.0,6948,250,-23.2,31,0903,46.6,1.1,928.9,1034.1,2400,1016.6,0013,1027.4,9.6,8.9,1200,1.88,10.67,1.6,0300,26.4,0300,1.6,1.5,1.5,-4.5,-10.1,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-0330. {땅날린눈}1230-{땅날린눈}{강도0}1500-1650.,
100,대관령,2013-01-03,-17.2,-22.4,2328,-10.7,1317,,,,,,,9.5,270,1541,7.1,250,1550,3.5,3017,250,-24.9,29,1241,52.4,0.8,934.7,1038.1,2328,1031.5,1317,1035.1,9.6,9.0,1200,1.93,10.89,,,24.3,0000,,0.0,0.0,-5.1,-8.6,,,,,,,,,,,,,,
100,대관령,2013-01-04,-15.7,-26.8,0801,-3.4,1356,,,,,,,5.4,290,1754,3.7,290,1755,1.2,1052,290,-23.2,25,1425,56.5,1.0,932.9,1039.6,0722,1026.0,1421,1032.7,9.7,9.0,1200,1.93,11.59,,,23.6,0000,,0.0,0.0,-5.1,-18.9,,,,,,,,,,,,,,
100,대관령,2013-01-05,-11.9,-22.4,0404,-6.5,1410,,,,,,,15.7,270,1236,10.4,250,1643,4.4,3822,250,-16.5,55,0707,68.5,1.8,928.2,1031.9,0042,1021.1,1319,1025.9,9.7,8.7,1200,1.77,9.97,,,21.6,0000,,1.3,1.3,-5.3,-22.7,,,,,,,,,,,,,,
100,대관령,2013-01-06,-10.4,-19.1,0459,-2.0,1503,,,,,,,9.3,270,1625,7.1,270,1631,2.5,2175,290,-17.1,25,1534,62.3,1.6,928.8,1029.7,0550,1020.9,1455,1025.9,9.7,8.4,1100,2.0,10.69,,,18.9,0000,,0.8,0.0,-4.8,-19.4,,,,,,,,,,,,,{박무}0720-{박무}{강도0}0900-0950.,
100,대관령,2013-01-07,-10.6,-20.2,0505,-2.6,1522,,,,,,,9.1,250,1434,7.2,270,1641,2.8,2379,250,-18.3,26,1447,57.6,1.5,928.2,1030.0,0501,1020.2,1413,1025.3,9.7,6.1,1300,1.86,9.53,,,18.0,0000,,4.5,0.0,-4.8,-20.6,,,,,,,,,,,,,{박무}0240-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0940.,
100,대관령,2013-01-08,-9.9,-17.7,0723,-3.2,1431,,,,,,,10.8,250,2328,7.5,250,2329,3.2,2792,250,-17.1,33,1341,58.5,1.6,928.0,1029.0,0723,1021.1,1414,1024.9,9.7,8.5,1200,1.95,10.66,,,17.5,0000,,1.9,0.0,-4.7,-17.9,,,,,,,,,,,,,,
100,대관령,2013-01-09,-12.1,-14.7,2400,-8.8,1426,,,,,,,13.2,250,0125,8.5,250,0134,5.5,4714,250,-20.1,35,1418,51.5,1.3,927.4,1027.3,2324,1022.1,1348,1025.0,9.7,9.2,1200,1.99,11.46,,,17.3,0000,,0.0,0.0,-5.7,-15.7,,,,,,,,,,,,,,
100,대관령,2013-01-10,-13.1,-18.0,0638,-7.1,1430,,,,,,,9.9,270,1550,7.1,270,1550,4.2,3612,270,-22.0,30,1421,48.3,1.1,931.3,1033.5,2129,1026.5,1430,1029.8,9.8,9.2,1200,2.02,11.76,,,17.1,0000,,0.0,0.0,-6.4,-18.7,,,,,,,,,,,,,,
