stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
133,대전,2013-01-01,-3.6,-9.4,0449,3.3,1319,,,,,11.18,5.6,10.3,320,1441,4.2,320,1446,1.2,1059,320,-4.6,62,1435,93.3,4.5,1010.7,1022.4,0007,1017.5,1246,1019.6,9.7,3.8,1300,1.34,4.36,6.7,1050,15.7,2400,9.9,6.3,4.9,-0.4,-12.6,0.0,0.3,1.1,1.5,3.5,6.6,9.3,15.1,18.1,,0.1,5.2,{박무}0215-{박무}{강도0}0300-{박무}{강도0}0600-{시정(미만)}{1km}{낮은안개}0820-{시정(미만)}{0.5km}{낮은안개}0835-{시정(이상)}{0.5km}{낮은안개}0850-{낮은안개}{강도0}0900-{시정(미만)}{0.5km}{낮은안개}0935-{시정(이상)}{0.5km}{낮은안개}1020-{시정(이상)}{1km}{박무}1025-{박무}{강도0}1200-1255. {눈}0605-{눈}{강도1}0900-1134. {눈}1255-{눈}{강도0}1500-1630. {눈}1645-1730. {박무}1440-{박무}{강도2}1500-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도2}2400- {눈}2212-2219. {눈}2245-{눈}{강도0}2400-,2.08
133,대전,2013-01-02,-8.1,-12.9,2330,-0.6,0109,,,,,3.33,1.8,9.2,290,0232,4.8,340,0241,2.0,1713,340,-13.4,50,1321,66.4,2.2,1022.6,1036.6,2359,1019.9,0007,1031.7,9.8,8.8,1100,0.76,4.83,2.7,0355,18.4,0355,2.7,2.9,2.5,-0.2,-18.8,0.0,0.3,1.1,1.5,3.4,6.5,9.2,15.0,18.1,,0.6,,-{눈}-0118. {눈}0323-0525. -{박무}-0210.,
133,대전,2013-01-03,-11.2,-16.5,0711,-5.2,1520,,,,,,,6.6,340,1628,3.6,320,1207,1.5,1260,340,-16.5,40,1121,67.1,1.7,1028.5,1040.2,0923,1036.2,1624,1037.8,9.8,8.9,1400,1.85,9.32,,,16.2,0001,,0.6,0.6,-0.4,-22.3,-0.1,0.3,1.1,1.5,3.4,6.4,9.1,14.9,18.0,,1.1,,,
133,대전,2013-01-04,-10.5,-16.5,0750,-4.3,1517,,,,,,,4.4,160,1337,2.8,110,1350,1.0,832,290,-16.1,38,1520,65.9,1.8,1023.7,1037.0,0308,1029.6,2358,1032.9,9.8,8.9,1200,2.08,13.14,,,14.6,0001,,0.0,0.0,-0.5,-20.7,-0.6,0.3,1.1,1.5,3.4,6.3,9.0,14.8,18.0,,0.3,,,
133,대전,2013-01-05,-6.8,-15.3,0742,0.5,1410,,,,,,,5.3,340,1716,2.9,110,1503,1.0,824,320,-11.0,45,1225,73.4,2.8,1018.2,1029.8,0412,1024.4,1445,1027.2,9.8,8.3,1100,1.9,11.62,,,13.4,0001,,3.4,3.3,-0.5,-18.1,-1.0,0.3,1.1,1.5,3.4,6.3,8.9,14.7,17.9,,0.4,,,
133,대전,2013-01-06,-4.9,-8.5,2340,0.6,1500,,,,,,,4.2,340,1238,2.5,320,1346,1.0,855,290,-10.9,33,1417,66.0,2.7,1017.5,1027.4,0528,1025.2,1501,1026.5,9.8,7.2,1100,1.58,9.83,,,12.6,0001,,2.6,0.3,-0.4,-13.5,-0.8,0.3,1.0,1.5,3.4,6.2,8.8,14.6,17.9,,0.3,,{박무}0210-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1035. {연무}1030-{연무}{강도0}1200-1210. {연무}1725-{연무}{강도0}1800-1815.,
133,대전,2013-01-07,-5.0,-10.7,0433,1.0,1440,,,,,,,5.3,20,1526,2.7,20,1533,1.0,834,320,-10.7,32,1224,66.4,2.7,1016.9,1028.3,0838,1024.2,1448,1025.8,9.8,6.9,1200,2.06,10.99,,,12.4,0001,,3.1,0.0,-0.4,-13.8,-0.8,0.3,1.0,1.5,3.3,6.2,8.8,14.5,17.8,,1.0,,{박무}0425-{박무}{강도0}0600-0735. {박무}2215-{박무}{강도0}2400-,
133,대전,2013-01-08,-4.2,-9.2,0715,1.9,1418,,,,,,,5.4,360,1656,3.0,340,1701,1.1,951,340,-9.7,43,1644,68.0,3.0,1017.2,1028.1,0953,1024.4,1347,1026.1,9.8,8.4,1200,1.87,11.16,,,11.7,0001,,2.1,0.0,-0.5,-12.2,-0.8,0.3,1.0,1.4,3.3,6.1,8.7,14.4,17.8,,0.4,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1050. {연무}1045-{연무}{강도0}1200-{연무}{강도0}1500-1530.,
133,대전,2013-01-09,-6.3,-9.7,2314,-1.9,1524,,,,,,,8.8,290,1324,5.2,320,1331,1.9,1676,320,-13.2,39,1709,59.5,2.2,1018.8,1029.4,2338,1025.6,1347,1027.8,9.9,8.7,1200,2.13,12.34,,,11.3,0001,,0.9,0.4,-0.6,-14.0,-1.1,0.2,1.0,1.4,3.2,6.0,8.6,14.3,17.8,,0.6,,,
133,대전,2013-01-10,-7.9,-13.8,0752,-1.5,1533,,,,,,,6.3,320,1659,3.1,340,1703,1.1,966,290,-16.2,29,1206,54.9,1.7,1022.6,1033.0,2313,1029.4,0001,1031.7,9.9,9.1,1200,2.15,12.69,,,11.2,0001,,0.0,0.0,-1.0,-16.9,-1.8,0.1,0.9,1.4,3.2,6.0,8.5,14.2,17.7,,0.7,,,
133,대전,2013-01-11,-5.3,-12.8,0805,1.9,1430,,,,,,,3.7,70,1534,1.9,290,0424,0.9,792,290,-10.1,50,1437,70.0,2.9,1021.2,1033.8,0316,1026.6,2046,1030.2,9.9,7.4,1200,1.99,11.05,,,11.1,0001,,3.1,0.4,-1.1,-14.8,-1.6,0.0,0.8,1.3,3.2,5.9,8.4,14.1,17.7,,0.9,,{박무}2230-{박무}{강도0}2400-,
