stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
98,동두천,2013-01-01,-5.8,-13.3,0133,1.9,1412,,,,,,4.5,8.2,320,2333,4.5,250,1529,1.3,1093,200,-9.3,53,1541,76.5,3.1,1004.3,1021.9,0005,1016.5,1257,1018.4,9.6,3.6,,,,,,,,,,,-1.4,-13.2,,,,,,,,,,,,,,
98,동두천,2013-01-02,-12.4,-16.4,2357,-5.9,0001,,,,,,0.0,9.6,320,0031,6.5,290,0258,2.9,2484,320,-21.4,30,1028,47.9,1.1,1017.0,1037.1,2356,1020.8,0001,1031.6,9.6,8.8,,,,,,,,,,,-4.0,-18.5,,,,,,,,,,,,,,
98,동두천,2013-01-03,-14.4,-20.7,0740,-7.9,1508,,,,,,,8.7,290,1257,5.1,290,1249,1.5,1283,320,-22.3,33,1158,53.8,1.0,1022.6,1039.5,0904,1035.6,1444,1037.3,9.6,8.8,,,,,,,,,,,-10.5,-22.8,,,,,,,,,,,,,,
98,동두천,2013-01-04,-13.6,-19.7,0739,-5.0,1454,,,,,,,4.1,360,0003,2.7,360,1735,1.0,906,20,-20.1,29,1336,60.8,1.3,1018.0,1036.8,0312,1029.6,2311,1032.6,9.6,8.8,,,,,,,,,,,-10.0,-21.8,,,,,,,,,,,,,,
98,동두천,2013-01-05,-10.4,-17.6,0443,-0.7,1443,,,,,,,3.6,340,1521,2.6,250,1750,0.7,633,20,-14.3,48,1412,74.3,2.1,1012.3,1030.0,0007,1023.5,1442,1026.7,9.7,4.6,,,,,,,,,,,-8.1,-20.1,,,,,,,,,,,,,,
98,동두천,2013-01-06,-9.3,-15.4,0822,-0.2,1549,,,,,,,5.0,20,0035,2.9,360,0037,0.9,752,20,-13.9,32,1553,71.5,2.1,1012.1,1028.1,0645,1024.8,1605,1026.5,9.7,8.3,,,,,,,,,,,-7.2,-16.7,,,,,,,,,,,,,,
98,동두천,2013-01-07,-8.0,-14.5,0608,0.2,1441,,,,,,,3.8,360,1431,2.1,20,0128,0.9,767,20,-13.4,34,1312,68.0,2.2,1011.4,1027.7,0759,1023.6,1338,1025.7,9.7,5.3,,,,,,,,,,,-6.0,-16.0,,,,,,,,,,,,,,
98,동두천,2013-01-08,-7.2,-12.8,0811,-0.3,1317,,,,,,,6.0,290,1434,4.0,320,1529,1.4,1236,20,-13.1,37,1439,65.6,2.3,1011.8,1027.9,0928,1024.3,1737,1026.0,9.7,7.9,,,,,,,,,,,-5.4,-14.2,,,,,,,,,,,,,,
98,동두천,2013-01-09,-10.8,-15.1,0758,-4.8,1421,,,,,,,7.8,320,1225,4.1,290,1433,1.4,1177,20,-17.7,29,1328,60.3,1.5,1013.1,1029.2,2338,1025.5,1355,1027.5,9.7,8.9,,,,,,,,,,,-8.3,-17.8,,,,,,,,,,,,,,
98,동두천,2013-01-10,-10.5,-17.5,0738,-2.0,1453,,,,,,,6.1,320,1526,4.2,320,1529,0.9,807,20,-18.0,27,1443,58.0,1.5,1016.6,1032.4,0947,1029.1,0016,1031.0,9.7,8.6,,,,,,,,,,,-8.2,-19.7,,,,,,,,,,,,,,
