stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
165,목포,2013-01-01,2.0,-3.0,0410,5.3,1230,,,,,2.18,0.2,13.6,320,0837,8.8,320,0843,4.1,3543,160,-0.7,60,1409,83.1,5.9,1015.7,1022.1,2327,1018.5,0610,1020.5,9.9,4.7,1300,1.27,6.67,,,6.2,0001,,7.5,6.1,1.6,-4.0,3.0,3.0,3.7,4.5,4.8,7.6,10.0,14.4,17.6,,0.8,0.2,{눈}0458-0510. {눈}0548-0555. {눈}0709-0721. {비}0819-{비}{강도0}0900-0908. {비}0921-0930. {비}1113-1128. {황사}1611-1740. {박무}2026-{박무}{강도0}2100-2310. {비}2333-{비}{강도0}2400-,
165,목포,2013-01-02,-2.1,-6.7,2346,4.6,0036,,,,,6.65,0.0,13.9,360,0358,10.2,360,0358,4.6,3941,360,-5.1,65,2122,80.3,4.3,1025.2,1035.9,2356,1021.7,0004,1030.2,9.9,6.8,1100,1.54,8.16,,,,,,6.3,6.3,1.3,-8.1,3.1,3.0,3.8,4.6,4.8,7.4,9.9,14.3,17.6,,0.9,0.3,-{비}-0023. {소낙눈}0438-0455. {소낙눈}0516-{소낙눈}{강도0}0600-0717. {소낙눈}0805-{소낙눈}{강도0}0900-0955. {소낙눈}1355-1412. {소낙눈}1630-1640. {소낙눈}2219-{소낙눈}{강도0}2400-,
165,목포,2013-01-03,-5.8,-8.8,0556,-2.1,1239,,,,,9.3,0.3,9.8,340,1308,6.9,20,1308,2.3,2029,50,-8.7,60,1346,80.5,3.2,1031.4,1038.8,0958,1035.0,2352,1036.5,9.9,6.4,1100,1.71,8.63,1.3,0651,1.3,0651,1.3,7.0,5.0,-1.4,-12.3,1.9,1.9,3.1,4.2,4.5,7.4,9.9,14.3,17.6,,1.5,0.0,-{소낙눈}-{소낙눈}{강도0}0300-0345. {소낙눈}0415-0529. {소낙눈}0619-{소낙눈}{강도0}0900-0933. {소낙눈}2045-{소낙눈}{강도0}2100-2150.,
165,목포,2013-01-04,-4.8,-7.5,0745,-0.5,1454,,,,,,,9.9,360,1313,6.8,360,1351,3.6,3130,50,-8.5,57,1544,75.5,3.2,1026.5,1035.1,0018,1028.2,2349,1031.4,9.9,9.1,1200,1.87,10.69,,,,,,1.1,0.3,-1.7,-8.2,1.4,1.4,2.6,3.8,4.1,7.3,9.7,14.1,17.5,,1.4,,,
165,목포,2013-01-05,-2.7,-6.9,0651,1.8,1426,,,,,,,8.3,340,1550,5.0,340,1553,2.2,1858,20,-7.3,43,0900,71.9,3.7,1021.6,1028.3,0001,1024.4,1414,1026.5,9.9,6.8,1200,1.44,8.43,,,,,,3.6,2.9,-1.2,-8.3,1.1,1.1,2.3,3.3,3.8,7.1,9.6,14.0,17.4,,0.7,,,
165,목포,2013-01-06,-0.6,-3.2,2230,3.3,1410,,,,,,,11.4,360,1546,8.1,360,1658,2.9,2490,50,-4.0,65,1451,78.0,4.6,1020.7,1026.7,1004,1024.2,1559,1025.5,9.9,7.3,1200,1.66,9.04,,,,,,4.6,1.9,1.3,-6.8,1.6,1.4,2.3,3.2,3.6,6.9,9.5,13.9,17.3,,1.0,,,
165,목포,2013-01-07,-1.7,-5.3,0732,2.6,1437,,,,,,,13.7,360,1243,9.3,360,1247,3.4,2903,20,-6.8,41,1547,69.4,3.7,1019.4,1026.2,1018,1022.6,1447,1024.3,9.9,8.6,1200,1.8,10.05,,,,,,0.3,0.0,-0.1,-8.6,1.3,1.2,2.3,3.3,3.7,6.8,9.4,13.8,17.3,,1.4,,,
165,목포,2013-01-08,-0.8,-4.7,0746,4.9,1256,,,,,,,12.2,360,1600,8.6,360,1556,3.2,2764,20,-5.4,48,1303,72.0,4.1,1020.1,1026.7,1008,1023.5,1349,1024.9,10.0,8.9,1200,1.63,9.47,,,,,,0.8,0.5,0.3,-7.5,1.3,1.2,2.3,3.2,3.6,6.7,9.2,13.7,17.2,,1.4,0.0,{연무}1223-{연무}{강도0}1500-1743.,
165,목포,2013-01-09,-2.9,-5.1,2353,-0.2,1336,,,,,10.53,0.2,12.7,340,1538,8.3,360,1554,3.4,2925,20,-5.2,68,0211,84.0,4.2,1022.3,1028.7,2338,1025.5,1408,1027.2,10.0,5.1,1200,1.68,7.97,0.6,2358,0.6,2358,0.6,6.3,4.8,-0.1,-7.4,1.7,1.5,2.4,3.2,3.6,6.6,9.1,13.6,17.1,,0.4,0.3,{소낙눈}0824-{소낙눈}{강도0}0900-0951. {소낙눈}1029-1141. {소낙눈}1235-{소낙눈}{강도0}1500-1541. {소낙눈}1620-{소낙눈}{강도0}1800-1924. {소낙눈}2217-{소낙눈}{강도0}2400-,
165,목포,2013-01-10,-3.6,-6.3,0738,0.9,1449,,,,,4.7,0.1,10.4,360,1258,7.1,20,1237,2.9,2537,20,-9.8,35,1626,63.4,3.0,1025.4,1032.0,2057,1028.3,0512,1030.3,10.0,9.4,1200,1.86,10.91,0.6,0256,1.2,0256,0.6,1.6,1.6,0.5,-10.5,1.8,1.6,2.5,3.3,3.6,6.5,9.0,13.5,17.1,,1.4,,-{소낙눈}-{소낙눈}{강도0}0300-0442.,
165,목포,2013-01-11,-2.2,-7.8,0744,3.4,1530,,,,,,,6.6,160,2139,4.4,160,2110,1.5,1311,20,-8.1,47,1521,64.1,3.4,1024.4,1032.4,0926,1026.2,2049,1029.4,10.0,7.8,1200,1.8,10.2,,,,,,2.5,0.0,-0.2,-10.9,1.1,1.0,2.3,3.1,3.6,6.5,8.9,13.4,17.0,,1.4,,,
165,목포,2013-01-12,2.0,-1.6,0717,7.7,1412,,,,,,,7.2,20,1323,5.5,360,1331,2.1,1835,160,-0.8,53,0053,82.5,5.9,1021.0,1027.5,0032,1024.3,1602,1025.8,10.0,5.4,1200,1.44,7.59,,,,,,4.1,4.1,1.4,-6.1,2.2,1.8,2.5,3.2,3.5,6.4,8.9,13.3,17.0,,0.5,,{연무}1311-1416. {박무}1411-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도2}2100-{시정(미만)}{1km}{안개}2258-{시정(미만)}{0.5km}{안개}2313-{시정(미만)}{0.2km}{안개}2324-{안개}{강도2}2400-,1.03
165,목포,2013-01-13,-0.1,-2.4,0715,3.3,1519,,,,,,,6.6,360,1536,4.3,360,1536,1.4,1174,20,-1.3,76,1520,92.1,5.6,1017.5,1025.9,0136,1019.6,1512,1022.3,10.0,0.0,1100,0.65,2.61,,,,,,6.8,2.9,0.7,-8.0,2.2,2.0,2.8,3.5,3.8,6.4,8.8,13.2,17.0,,0.3,,-{안개}-{시정(이상)}{0.2km}{안개}0043-{시정(미만)}{0.2km}{안개}0128-{안개}{강도2}0300-{시정(이상)}{0.2km}{안개}0324-{시정(이상)}{0.5km}{안개}0355-{시정(이상)}{1km}{박무}0442-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,4.7
165,목포,2013-01-14,0.8,-2.9,0729,5.9,1318,,,,,,,12.2,360,1652,9.1,360,1657,4.3,3751,360,-1.7,69,1114,83.5,5.5,1016.5,1025.4,2347,1018.8,0441,1021.3,10.1,5.3,1200,1.58,8.31,,,,,,1.8,1.8,0.5,-8.6,2.2,1.9,2.8,3.4,3.7,6.4,8.7,13.1,16.8,,1.0,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
