stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
102,백령도,2013-01-01,-3.6,-7.9,2359,-0.2,1329,,,,,14.42,5.9,16.6,320,0753,10.6,290,0828,5.4,4631,290,-7.8,41,1312,74.8,3.5,1000.0,1025.1,2353,1013.7,0451,1018.4,9.6,4.9,,,,5.4,2245,8.5,2245,7.2,8.6,7.1,-0.1,-4.3,,,,,,,,,,,,,-{눈}-{시정(미만)}{1km}{눈}0020-{시정(이상)}{1km}{눈}0140-{눈}{강도0}0300-{눈}{강도0}0600-0620. {눈}1515-{눈}{강도0}1800-{시정(미만)}{1km}{눈}1910-{눈}{강도1}2100-{시정(이상)}{1km}{눈}2250-2320.,
102,백령도,2013-01-02,-9.8,-10.6,0737,-7.8,0001,,,,,21.67,1.8,17.0,320,1552,10.1,290,1400,4.9,4214,320,-13.7,60,0147,72.9,2.1,1013.6,1038.3,2337,1025.1,0001,1032.7,9.6,0.9,,,,2.1,2250,10.4,2250,2.1,7.9,7.9,-0.2,-5.6,,,,,,,,,,,,,{소낙눈}0220-{소낙눈}{강도0}0300-{소낙눈}{강도0}0600-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-{소낙눈}{강도0}2400-,
102,백령도,2013-01-03,-8.4,-9.9,0001,-6.9,2339,,,,,16.67,0.2,12.1,290,0046,5.7,320,0009,3.3,2810,320,-13.3,58,1412,67.9,2.2,1018.9,1039.6,1025,1037.0,2318,1038.1,9.6,2.6,,,,0.2,1245,10.6,1245,0.2,7.9,7.9,-0.2,-4.5,,,,,,,,,,,,,-{소낙눈}-{소낙눈}{강도0}0300-{소낙눈}{강도0}0600-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1640.,
102,백령도,2013-01-04,-5.7,-7.8,0752,-3.7,2258,,,,,1.67,0.0,7.5,320,0247,4.3,110,2356,2.4,2072,70,-11.2,57,0213,65.5,2.6,1013.5,1037.0,0001,1028.1,2346,1032.3,9.6,8.5,,,,0.0,2330,10.6,0000,0.0,5.3,4.8,-0.2,-3.5,,,,,,,,,,,,,{눈}2220-{눈}{강도0}2400-,
102,백령도,2013-01-05,-2.9,-5.4,0013,-1.0,1426,,,,,15.75,1.7,12.5,290,1240,8.1,290,1417,4.4,3833,290,-7.8,49,1802,69.9,3.4,1007.6,1028.2,0006,1023.9,1413,1026.1,9.6,3.0,,,,1.4,1630,11.5,1630,1.4,7.5,7.1,-0.1,-4.3,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-0605. {소낙눈}0650-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1630. {연무}1920-{연무}{강도0}2100-2120.,
102,백령도,2013-01-06,-3.9,-5.7,0238,-2.0,1341,,,,,,,8.7,320,2241,4.7,290,1435,2.8,2458,320,-11.5,47,1444,55.6,2.6,1008.2,1027.7,1054,1026.0,1419,1026.8,9.7,8.7,,,,,,11.5,0001,,3.8,3.3,-0.1,-4.0,,,,,,,,,,,,,,
102,백령도,2013-01-07,-3.3,-5.3,0350,-1.6,1449,,,,,11.0,6.1,7.8,270,1349,4.9,110,0914,3.0,2563,90,-6.1,48,0130,81.8,4.0,1006.7,1026.8,1048,1023.7,1515,1025.2,9.7,0.0,,,,5.1,1740,12.6,1740,5.1,8.8,6.4,-0.1,-4.1,,,,,,,,,,,,,{소낙눈}0840-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{가루눈}1210-{눈}1420-{눈}{강도1}1500-{시정(미만)}{1km}{눈}1510-{시정(이상)}{1km}{눈}1630-{눈}{강도0}1800-1940. {박무}1915-{박무}{강도0}2100-{박무}{강도0}2400-,
102,백령도,2013-01-08,-3.9,-5.2,2119,-1.4,1142,,,,,,,12.1,320,2226,6.5,290,2232,2.9,2513,340,-9.4,53,2055,65.9,3.0,1008.6,1028.7,1016,1025.1,0002,1027.2,9.7,7.4,,,,,,12.6,0000,,5.1,5.1,0.0,-4.5,,,,,,,,,,,,,-{박무}-0220. {연무}1520-1620.,
102,백령도,2013-01-09,-6.7,-8.3,0757,-5.1,0005,,,,,7.33,0.3,12.5,290,0005,6.6,290,0042,4.0,3494,290,-13.4,50,1145,59.0,2.2,1009.8,1030.2,1009,1027.4,1418,1028.7,9.7,6.0,,,,0.5,2250,12.0,0001,0.5,7.3,7.3,-0.1,-5.5,,,,,,,,,,,,,{소낙눈}1435-1455. {소낙눈}1650-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-2350.,
102,백령도,2013-01-10,-4.0,-8.1,0734,-0.5,2257,,,,,4.08,0.3,9.3,320,0306,4.8,290,0025,3.1,2718,320,-10.1,46,0518,63.6,3.0,1011.7,1031.9,1103,1029.2,0006,1030.4,9.7,6.8,,,,0.5,2050,11.0,0001,0.5,5.5,5.5,-0.1,-4.5,,,,,,,,,,,,,{소낙눈}1745-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-2150.,
