stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
243,何救,2013-01-01,0.0,-8.1,0152,4.7,1222,,,,,,6.0,8.7,270,1336,5.4,160,0607,2.0,1724,270,-4.1,48,1550,75.1,4.6,1018.3,1021.7,0001,1017.6,0707,1019.8,9.8,2.5,,,,,,,,,,,1.4,-0.3,,,,,,,,,,,,,,
243,何救,2013-01-02,-6.3,-12.0,2258,1.6,0036,,,,,,0.5,7.6,320,0036,4.5,290,0042,1.3,1115,50,-11.6,54,1216,65.9,2.6,1029.9,1036.5,2347,1021.4,0003,1031.5,9.8,7.9,,,,,,,,,,,1.4,-1.3,,,,,,,,,,,,,,
243,何救,2013-01-03,-9.4,-13.6,0752,-5.6,1601,,,,,,,5.4,50,0539,3.4,50,0548,1.2,1079,50,-14.5,49,1144,66.9,2.0,1036.2,1040.3,0945,1036.2,2349,1037.8,9.8,8.2,,,,,,,,,,,0.8,-1.7,,,,,,,,,,,,,,
243,何救,2013-01-04,-10.3,-15.8,0746,-4.4,1447,,,,,,,5.1,360,0112,2.7,50,0438,0.9,804,50,-15.2,40,1201,69.5,1.9,1031.1,1036.7,0306,1029.2,2357,1032.7,9.8,8.4,,,,,,,,,,,0.3,-2.3,,,,,,,,,,,,,,
243,何救,2013-01-05,-5.4,-15.4,0228,2.2,1449,,,,,,,4.9,20,2006,2.6,20,2011,0.6,532,70,-11.0,34,1015,66.6,2.8,1025.4,1029.4,0341,1024.8,1453,1026.9,9.8,7.6,,,,,,,,,,,0.1,-2.3,,,,,,,,,,,,,,
243,何救,2013-01-06,-3.3,-8.4,2233,1.1,1306,,,,,,,5.0,340,1359,3.0,340,1406,1.2,1050,50,-8.3,51,1307,69.1,3.3,1024.7,1027.1,1104,1025.4,1629,1026.3,9.9,6.9,,,,,,,,,,,0.3,-1.5,,,,,,,,,,,,,,
243,何救,2013-01-07,-4.6,-9.5,0704,0.5,1315,,,,,,,4.7,50,1130,2.7,50,0001,1.0,889,50,-10.5,37,1311,64.8,2.8,1023.9,1027.4,0725,1024.2,1428,1025.4,9.9,7.9,,,,,,,,,,,0.2,-1.5,,,,,,,,,,,,,,
243,何救,2013-01-08,-4.0,-10.4,0816,2.9,1434,,,,,,,4.6,20,1741,2.9,20,1106,1.1,936,340,-9.1,45,1247,68.9,3.1,1024.4,1027.9,1013,1024.5,1547,1026.0,9.9,7.9,,,,,,,,,,,-0.1,-5.9,,,,,,,,,,,,,,
243,何救,2013-01-09,-5.9,-11.2,2243,-2.2,1359,,,,,,0.1,8.8,340,1512,4.2,340,1413,1.3,1097,50,-10.6,53,1457,70.1,2.8,1026.5,1029.3,2341,1026.6,1421,1028.1,9.9,3.5,,,,,,,,,,,-0.7,-9.1,,,,,,,,,,,,,,
243,何救,2013-01-10,-7.1,-12.4,0019,-2.2,1636,,,,,,,5.7,20,1229,3.7,50,1321,1.3,1149,20,-14.9,29,1533,55.9,1.9,1029.9,1033.2,1032,1029.1,0001,1031.5,9.9,8.3,,,,,,,,,,,-1.4,-10.3,,,,,,,,,,,,,,
