stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
236,何咯,2013-01-01,-3.8,-9.3,0001,3.2,1410,,,,,,8.5,9.1,270,1428,5.8,290,1429,0.9,759,200,-5.5,53,1417,88.1,4.1,1018.0,1022.1,0001,1017.6,0637,1019.5,9.7,2.5,,,,,,,,,,,-1.2,-6.4,,,,,,,,,,,,,,
236,何咯,2013-01-02,-8.5,-16.2,2226,-1.1,0009,,,,,,1.5,8.0,20,1346,4.5,320,0318,1.7,1479,340,-13.5,49,1348,68.6,2.2,1030.1,1036.6,2350,1020.7,0001,1031.6,9.8,5.6,,,,,,,,,,,-0.8,-3.5,,,,,,,,,,,,,,
236,何咯,2013-01-03,-12.3,-18.6,0802,-5.7,1519,,,,,,,7.0,320,1523,4.5,320,1532,1.1,912,320,-16.4,46,1202,73.3,1.7,1036.2,1040.1,0934,1036.3,1616,1037.7,9.8,8.6,,,,,,,,,,,-1.2,-4.2,,,,,,,,,,,,,,
236,何咯,2013-01-04,-12.5,-19.4,0548,-2.7,1504,,,,,,,3.7,70,1234,2.2,140,1547,0.6,490,160,-17.1,35,1502,72.0,1.6,1031.2,1037.1,0303,1029.2,2353,1032.8,9.8,8.7,,,,,,,,,,,-1.5,-5.2,,,,,,,,,,,,,,
236,何咯,2013-01-05,-8.9,-17.4,0640,0.5,1431,,,,,,,3.3,90,1549,1.9,90,1551,0.5,451,230,-12.5,41,1417,76.8,2.5,1025.5,1029.5,0228,1024.5,1432,1026.9,9.8,6.9,,,,,,,,,,,-1.3,-5.0,,,,,,,,,,,,,,
236,何咯,2013-01-06,-6.2,-12.5,2350,1.3,1558,,,,,,,3.9,70,1123,2.8,320,1613,0.8,682,270,-10.9,30,1605,72.9,2.7,1024.8,1027.1,0506,1025.2,1503,1026.3,9.8,7.2,,,,,,,,,,,-1.0,-5.2,,,,,,,,,,,,,,
236,何咯,2013-01-07,-6.2,-12.8,0323,2.3,1443,,,,,,,5.3,360,1033,2.5,20,1037,0.8,650,360,-11.8,31,1216,68.8,2.5,1024.0,1027.9,0807,1023.9,1457,1025.5,9.8,7.7,,,,,,,,,,,-2.0,-11.3,,,,,,,,,,,,,,
236,何咯,2013-01-08,-5.0,-11.6,0645,2.9,1406,,,,,,,7.5,320,1502,3.9,320,1505,0.8,718,340,-10.6,32,1625,68.4,2.7,1024.5,1028.1,1016,1024.3,1335,1026.0,9.8,7.7,,,,,,,,,,,-3.0,-12.9,,,,,,,,,,,,,,
236,何咯,2013-01-09,-7.2,-13.4,2345,-2.3,1237,,,,,,,8.2,340,1455,5.1,320,1447,1.6,1394,290,-13.4,37,1423,63.8,2.2,1026.4,1029.2,2316,1026.2,1351,1027.9,9.9,8.3,,,,,,,,,,,-4.4,-10.7,,,,,,,,,,,,,,
236,何咯,2013-01-10,-9.5,-15.4,0734,-0.5,1537,,,,,,,6.6,360,1626,3.0,290,1449,0.9,751,290,-16.2,25,1536,63.5,1.7,1030.1,1033.0,1043,1029.2,0001,1031.6,9.9,8.8,,,,,,,,,,,-5.5,-12.0,,,,,,,,,,,,,,
