stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
289,魂没,2013-01-01,-2.6,-8.2,0604,3.9,1440,,,,,,0.1,12.1,270,1445,7.2,290,1439,1.5,1261,250,-6.3,39,1556,76.9,3.9,1002.9,1022.4,0222,1017.7,1406,1020.4,9.8,0.6,,,,,,,,,,,-0.1,-3.2,,,,,,,,,,,,,,
289,魂没,2013-01-02,-2.6,-8.3,2400,3.7,0250,,,,,,0.1,14.8,340,0632,6.6,320,0621,4.0,3420,320,-12.5,37,1502,46.9,2.5,1010.7,1034.7,2344,1019.9,0222,1028.4,9.8,7.1,,,,,,,,,,,-0.1,-3.9,,,,,,,,,,,,,,
289,魂没,2013-01-03,-6.6,-9.5,0826,-3.3,1501,,,,,,,12.1,340,2032,6.2,270,1213,3.8,3283,290,-19.9,21,2301,35.3,1.3,1016.8,1037.6,0957,1033.6,1456,1034.8,9.8,7.1,,,,,,,,,,,-0.5,-4.7,,,,,,,,,,,,,,
289,魂没,2013-01-04,-5.8,-12.7,0738,2.7,1450,,,,,,,8.0,360,0018,5.4,360,0024,1.4,1193,230,-18.4,17,1305,39.4,1.5,1012.1,1034.1,0251,1026.8,1539,1030.0,9.9,7.2,,,,,,,,,,,-0.6,-14.3,,,,,,,,,,,,,,
289,魂没,2013-01-05,-4.6,-13.0,0822,2.5,1519,,,,,,,12.4,270,1839,7.5,270,1846,2.9,2482,290,-13.1,27,1047,54.3,2.3,1007.5,1028.1,0022,1021.9,1422,1025.3,9.9,7.1,,,,,,,,,,,-0.6,-15.1,,,,,,,,,,,,,,
289,魂没,2013-01-06,-1.4,-6.8,2350,5.8,1340,,,,,,,9.0,360,0444,5.2,360,0554,1.8,1591,320,-11.5,22,1318,49.4,2.6,1006.7,1025.6,0210,1022.2,1454,1024.3,9.9,7.1,,,,,,,,,,,-0.3,-11.0,,,,,,,,,,,,,,
289,魂没,2013-01-07,-2.7,-9.7,0816,4.8,1455,,,,,,,6.5,340,1509,3.8,340,1515,1.2,1050,340,-14.0,18,1255,47.4,2.1,1005.8,1026.3,0836,1020.3,1516,1023.4,9.9,7.3,,,,,,,,,,,-0.5,-12.6,,,,,,,,,,,,,,
289,魂没,2013-01-08,-1.9,-8.9,0755,5.1,1456,,,,,,,8.1,290,1514,4.6,290,1519,1.8,1582,320,-13.8,17,1434,43.9,2.1,1006.5,1026.5,0906,1021.4,1440,1024.1,9.9,7.3,,,,,,,,,,,-0.5,-11.8,,,,,,,,,,,,,,
289,魂没,2013-01-09,-2.8,-5.5,2329,0.6,1359,,,,,,,12.0,320,1028,6.5,290,1134,4.2,3599,270,-16.2,27,1439,35.0,1.8,1007.8,1027.7,2319,1022.8,1400,1025.4,9.9,7.3,,,,,,,,,,,-0.4,-7.6,,,,,,,,,,,,,,
289,魂没,2013-01-10,-3.7,-9.1,2346,1.3,1451,,,,,,,10.7,320,1135,5.8,340,1122,3.4,2926,290,-17.6,17,1435,35.8,1.6,1011.5,1032.1,2346,1027.0,0506,1029.3,9.9,7.3,,,,,,,,,,,-0.9,-13.5,,,,,,,,,,,,,,
