stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
108,서울,2013-01-01,-4.7,-8.7,0548,0.0,1429,,,,,8.93,3.1,10.3,270,2326,5.8,290,2326,3.2,2736,70,-8.9,52,1622,73.5,3.2,1007.6,1021.7,0019,1016.9,0716,1018.7,9.6,4.6,1200,1.37,5.76,4.9,2345,10.9,2345,5.2,8.3,6.9,-1.9,-9.5,-1.7,-1.2,-0.4,0.3,1.8,5.5,8.2,14.9,17.4,,0.1,1.7,{눈}0455-{눈}{강도0}0600-{시정(미만)}{1km}{눈}0620-{시정(이상)}{1km}{눈}0740-0820. {눈}1045-{눈}{강도0}1200-1210. {눈}1940-{시정(미만)}{1km}{눈}2050-{눈}{강도1}2100-{시정(이상)}{1km}{눈}2110-2346.,
108,서울,2013-01-02,-11.7,-15.1,2358,-4.8,0001,,,,,,,11.9,290,0256,7.8,320,1305,4.2,3605,290,-22.5,29,0303,40.8,1.0,1020.4,1037.3,2356,1020.9,0001,1031.9,9.6,9.1,1200,1.65,9.62,,,10.9,0001,,0.3,0.3,-1.8,-17.5,-1.7,-0.9,-0.3,0.4,1.8,5.4,8.1,14.8,17.3,,1.0,,,
108,서울,2013-01-03,-13.2,-16.4,0523,-9.3,1543,,,,,,,8.3,360,1951,5.0,270,1336,2.8,2462,340,-23.4,30,1126,42.8,0.9,1026.0,1039.5,0932,1036.2,1559,1037.6,9.7,9.1,1200,1.66,9.78,,,10.1,0001,,0.0,0.0,-3.6,-18.9,-3.4,-1.8,-0.6,0.3,1.7,5.3,8.0,14.7,17.3,,1.1,,,
108,서울,2013-01-04,-10.7,-14.8,0705,-5.8,1424,,,,,,,6.2,200,1450,4.3,230,1456,1.8,1570,270,-20.9,27,1225,44.3,1.2,1021.2,1036.8,0257,1029.5,2249,1032.7,9.7,9.2,1200,1.63,9.54,,,9.2,0001,,0.0,0.0,-3.8,-19.2,-3.5,-2.0,-0.7,0.2,1.6,5.2,7.9,14.6,17.2,,0.8,,,
108,서울,2013-01-05,-7.0,-12.1,0440,-1.2,1418,,,,,,,6.7,320,1515,4.6,290,1452,2.3,1993,50,-13.6,41,1237,59.4,2.2,1015.4,1029.7,0001,1024.0,1407,1026.6,9.7,7.5,1200,1.51,8.09,,,7.5,0001,,2.3,1.5,-3.1,-15.1,-2.9,-1.8,-0.7,0.1,1.6,5.2,7.8,14.5,17.2,,1.0,,{박무}2020-{박무}{강도0}2100-{박무}{강도0}2400-,
108,서울,2013-01-06,-6.3,-9.4,0745,-2.0,1500,,,,,,,5.7,270,1515,4.2,290,1650,1.9,1609,270,-13.3,27,1621,59.4,2.2,1015.4,1027.7,0624,1025.1,0001,1026.5,9.7,8.2,1200,1.3,7.97,,,7.3,0001,,1.4,0.0,-2.8,-14.3,-2.7,-1.6,-0.6,0.1,1.6,5.1,7.7,14.4,17.2,,1.0,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0955. {연무}0950-{연무}{강도0}1200-{연무}{강도0}1500-1510.,
108,서울,2013-01-07,-5.1,-8.8,0509,0.1,1402,,,,,,,6.5,270,1505,4.1,270,1531,1.7,1503,290,-13.3,33,1203,53.6,2.2,1014.5,1027.4,0759,1023.9,1320,1025.6,9.7,5.8,1200,1.47,7.8,,,7.1,0001,,6.6,0.8,-2.6,-13.3,-2.5,-1.6,-0.6,0.0,1.5,5.0,7.6,14.3,17.1,,1.4,,{연무}0030-{연무}{강도0}0300-0450.  {연무}0640-{연무}{강도0}0900-{연무}{강도0}1200-1440.,
108,서울,2013-01-08,-4.6,-6.8,2352,-0.7,1500,,,,,,,6.6,290,1246,4.9,270,1318,2.2,1880,290,-13.0,27,1358,53.4,2.3,1015.0,1027.7,1006,1024.9,0119,1026.1,9.7,8.0,1300,1.51,8.55,,,6.9,0001,,2.4,0.0,-2.6,-11.3,-2.4,-1.4,-0.6,0.0,1.5,4.9,7.5,14.2,17.0,,1.7,,{박무}0710-0850. {연무}0845-{연무}{강도0}0900-1150. {연무}1230-1340.,
108,서울,2013-01-09,-9.0,-10.7,2329,-6.4,1453,,,,,,,8.3,270,0933,5.1,270,0940,3.0,2627,320,-20.7,28,1218,38.5,1.2,1016.5,1029.2,2316,1026.4,1351,1027.8,9.7,9.3,1200,1.72,10.07,,,6.4,0001,,0.0,0.0,-3.8,-13.8,-3.5,-2.0,-0.8,0.0,1.4,4.9,7.5,14.1,17.0,,1.7,,,
108,서울,2013-01-10,-8.3,-12.3,0434,-3.6,1434,,,,,,,6.5,270,1451,4.6,270,1507,2.3,1967,290,-19.4,25,1348,41.3,1.3,1019.9,1032.5,1022,1028.8,0003,1031.2,9.8,9.1,1200,1.64,9.74,,,6.2,0001,,0.5,0.5,-4.4,-14.1,-4.3,-2.5,-1.1,-0.1,1.1,4.8,7.1,13.7,16.5,,0.8,0.0,,
