stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
188,성산,2013-01-01,5.6,0.2,0146,10.2,1328,,,,,0.07,0.0,10.3,290,1314,6.1,290,1034,3.1,2638,290,-1.3,39,1326,61.9,5.6,1019.0,1022.8,2329,1019.7,1326,1021.2,10.0,5.6,,,,,,,,,4.5,4.5,2.1,-0.4,,,,,,,,,,,,,{비}0252-0256.,
188,성산,2013-01-02,4.0,-0.1,2344,6.6,0309,,,,,,,13.3,340,1453,7.2,340,1418,3.4,2932,340,-1.6,53,1428,67.1,5.5,1025.9,1034.1,2400,1022.5,0031,1028.2,10.0,8.0,,,,,,,,,3.9,3.9,2.7,-0.3,,,,,,,,,,,,,{박무}0543-{박무}{강도0}0600-0735. {연무}0732-0843.,
188,성산,2013-01-03,-0.3,-1.4,2354,1.8,1335,,,,,0.2,0.1,13.2,50,1032,6.7,20,1033,3.6,3145,340,-6.4,50,1734,63.5,3.8,1031.7,1036.2,1018,1033.0,1442,1034.0,10.0,7.0,,,,,,,,,5.4,4.1,0.9,-1.6,,,,,,,,,,,,,{소낙눈}0943-0955.,
188,성산,2013-01-04,0.4,-1.8,0736,3.2,1415,,,,,,,11.0,320,1120,6.6,340,1125,3.7,3171,340,-5.3,48,1329,65.8,4.1,1026.6,1033.3,0002,1025.2,2358,1028.9,10.0,8.9,,,,,,,,,2.6,2.6,1.0,-2.1,,,,,,,,,,,,,,
188,성산,2013-01-05,2.2,-0.3,2357,5.2,1341,,,,,,,11.6,340,0447,6.6,340,0500,3.9,3333,340,-2.7,50,1330,70.0,5.0,1022.5,1025.9,1015,1023.0,1344,1024.7,10.0,5.6,,,,,,,,,6.3,6.3,2.6,-0.7,,,,,,,,,,,,,,
188,성산,2013-01-06,3.4,-2.0,0222,6.1,1446,,,,,,,10.0,20,1221,5.7,340,1458,2.6,2239,340,-0.8,62,1008,74.4,5.8,1021.4,1025.4,0043,1022.1,1516,1023.6,10.1,3.3,,,,,,,,,6.0,6.0,2.2,-1.7,,,,,,,,,,,,,,
188,성산,2013-01-07,2.7,1.1,0335,4.8,1204,,,,,,,11.8,320,1409,7.2,340,1412,3.9,3384,340,-1.8,62,2052,72.4,5.4,1019.8,1023.9,0943,1020.7,1533,1022.0,10.1,0.1,,,,,,,,,6.6,6.1,0.6,0.4,,,,,,,,,,,,,,
188,성산,2013-01-08,3.8,1.1,2235,7.1,1255,,,,,,,12.9,270,1322,5.4,340,2015,3.5,3064,340,-2.8,47,1434,62.3,5.0,1020.1,1023.9,0940,1020.8,1440,1022.3,10.1,7.4,,,,,,,,,5.0,4.1,2.7,0.5,,,,,,,,,,,,,,
188,성산,2013-01-09,1.8,-0.1,2221,4.0,1153,,,,,,,11.5,320,1631,4.9,340,0200,3.3,2892,340,-3.2,53,0147,69.3,4.8,1023.0,1027.1,2205,1023.2,0013,1025.2,10.1,2.9,,,,,,,,,7.4,7.4,1.0,-0.4,,,,,,,,,,,,,,
188,성산,2013-01-10,1.0,-0.8,2356,4.0,1257,,,,,,,12.6,340,1409,7.9,340,1457,3.5,3058,340,-4.9,53,2323,64.6,4.3,1026.2,1030.1,2044,1026.4,0552,1028.4,10.1,6.7,,,,,,,,,4.4,4.4,1.9,-1.3,,,,,,,,,,,,,,
188,성산,2013-01-11,3.9,-1.9,0117,8.2,1422,,,,,,,7.9,340,0321,4.8,20,0213,2.2,1886,340,-1.5,55,1111,68.5,5.6,1025.7,1030.7,0903,1025.6,2304,1027.9,10.1,7.4,,,,,,,,,3.5,2.6,3.5,-2.7,,,,,,,,,,,,,,
188,성산,2013-01-12,7.0,0.2,0600,13.0,1419,,,,,,,7.5,340,1649,4.3,340,1652,2.5,2119,340,2.8,52,1142,76.0,7.5,1022.7,1026.7,0945,1023.2,1554,1024.9,10.1,7.4,,,,,,,,,5.4,4.0,6.4,-0.2,,,,,,,,,,,,,{박무}2110-{박무}{강도0}2400-,
188,성산,2013-01-13,7.9,4.7,0112,10.0,1147,,,,,4.27,1.4,10.3,20,1446,6.6,50,1505,3.2,2797,20,4.7,61,1047,80.6,8.6,1017.6,1024.0,0143,1016.5,2344,1019.8,10.2,0.0,,,,,,,,,10.0,5.1,5.9,4.3,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0952. {비}1725-{비}{강도0}1800-{비}{강도0}2100-2141.,
