stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
90,속초,2013-01-01,-2.0,-6.7,0641,2.5,1352,,,,,0.75,0.0,11.1,250,1432,6.2,250,0119,2.5,2139,250,-10.6,38,0118,52.3,2.8,1014.7,1019.8,0248,1014.0,1326,1017.0,9.6,5.4,,,,,,,,,5.1,3.8,-2.8,-8.5,,,,,,,,,,,,,{눈}1010-1025. {눈}1050-1115. {눈}2355-{눈}{강도0}2400-,
90,속초,2013-01-02,-7.0,-9.8,2341,-1.3,0001,,,,,1.17,0.0,14.2,270,0737,7.3,250,0746,3.9,3391,270,-22.7,19,1109,28.1,1.1,1023.1,1030.1,2355,1017.0,0001,1025.4,9.6,9.0,,,,,,,,,0.5,0.5,-5.2,-12.2,,,,,,,,,,,,,-{눈}-0110.,
90,속초,2013-01-03,-7.6,-11.5,0716,-3.1,1346,,,,,,,9.3,250,0513,5.0,270,0502,2.4,2075,250,-22.2,18,1240,30.4,1.0,1028.8,1032.4,1007,1029.7,0020,1031.2,9.6,8.9,,,,,,,,,0.0,0.0,-6.3,-13.9,,,,,,,,,,,,,,
90,속초,2013-01-04,-5.2,-10.4,0640,0.3,1253,,,,,,,7.2,270,0057,4.9,250,0104,2.2,1928,250,-17.9,25,1030,36.3,1.5,1025.7,1031.8,0313,1024.2,2332,1028.1,9.6,9.0,,,,,,,,,0.0,0.0,-5.6,-12.3,,,,,,,,,,,,,,
90,속초,2013-01-05,-1.8,-7.4,0124,1.9,1430,,,,,,,10.2,250,1156,5.8,250,1204,2.3,2007,250,-14.6,25,0230,37.0,2.0,1019.0,1024.5,0035,1018.3,1528,1021.3,9.6,8.8,,,,,,,,,0.0,0.0,-4.0,-11.0,,,,,,,,,,,,,,
90,속초,2013-01-06,-2.0,-5.4,2242,3.1,1355,,,,,,,8.9,270,0532,4.0,270,0120,1.8,1543,270,-14.0,28,1022,40.1,2.1,1020.6,1024.4,0848,1021.4,0125,1022.9,9.6,8.7,,,,,,,,,0.3,0.0,-3.5,-9.8,,,,,,,,,,,,,,
90,속초,2013-01-07,-0.9,-4.8,0001,3.3,1447,,,,,,,8.7,270,1542,4.6,250,0257,1.8,1554,250,-15.8,18,1225,32.3,1.8,1019.6,1023.4,2314,1020.2,1359,1021.9,9.6,2.6,,,,,,,,,3.6,1.4,-2.7,-10.2,,,,,,,,,,,,,,
90,속초,2013-01-08,-0.4,-4.9,0533,4.6,1329,,,,,,,11.2,340,2103,6.1,320,2115,2.2,1931,250,-15.0,21,1247,33.4,1.9,1019.9,1024.4,0932,1019.9,2033,1022.2,9.7,8.3,,,,,,,,,1.1,0.0,-2.5,-9.8,,,,,,,,,,,,,,
90,속초,2013-01-09,-4.0,-6.8,0805,-0.1,1354,,,,,,,10.5,270,0157,6.7,250,0215,2.5,2193,250,-20.0,20,1134,28.0,1.3,1020.2,1023.9,2353,1020.7,1352,1022.5,9.7,9.0,,,,,,,,,0.0,0.0,-4.2,-12.0,,,,,,,,,,,,,,
90,속초,2013-01-10,-4.2,-7.8,0251,-0.2,1438,,,,,,,9.9,250,0105,4.7,270,0111,2.2,1936,270,-19.4,21,1513,29.8,1.3,1024.3,1028.5,2315,1023.4,0022,1026.6,9.7,9.0,,,,,,,,,0.0,0.0,-5.0,-11.8,,,,,,,,,,,,,,
