stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
254,순창군,2013-01-01,-2.8,-6.4,0745,3.0,1537,,,,,,0.5,7.0,290,1613,4.9,270,1623,1.0,849,270,-4.7,62,1657,86.8,4.3,1004.9,1022.5,0001,1019.4,1446,1021.0,9.8,2.2,1400,1.1,3.98,1.0,1046,7.5,1046,1.0,,,-1.1,-10.5,0.3,-0.5,0.6,1.1,,,,,,,,,,
254,순창군,2013-01-02,-4.7,-11.0,2342,0.6,0240,,,,,,0.3,14.8,340,0509,10.3,340,0516,2.7,2330,320,-11.0,47,1346,62.3,2.8,1014.1,1036.3,2359,1022.0,0003,1030.5,9.8,8.4,1200,1.99,11.74,1.0,0045,8.5,0045,1.0,,,-1.0,-13.8,0.3,-0.5,0.6,1.1,,,,,,,,,,
254,순창군,2013-01-03,-9.2,-12.8,0238,-4.7,1330,,,,,,,11.0,270,0108,5.5,320,1608,2.0,1744,320,-15.5,39,1338,62.5,1.8,1020.5,1039.6,0937,1036.0,1607,1037.3,9.8,8.5,1200,2.19,12.61,,,7.0,0001,,,,-1.5,-15.5,-0.1,-0.8,0.4,0.6,,,,,,,,,,
254,순창군,2013-01-04,-9.6,-16.7,0733,-0.1,1448,,,,,,,5.9,340,1652,3.9,320,1659,1.3,1153,110,-16.8,24,1400,61.3,1.7,1015.4,1036.7,0238,1029.3,1527,1032.2,9.9,8.5,1100,2.54,14.06,,,6.5,0001,,,,-2.2,-18.5,-0.2,-0.8,0.4,0.7,,,,,,,,,,
254,순창군,2013-01-05,-7.0,-15.4,0750,1.7,1400,,,,,,,9.1,340,1406,5.5,340,1508,1.3,1137,290,-12.1,37,1304,69.1,2.6,1010.5,1029.5,0001,1024.0,1425,1027.1,9.9,8.1,1100,2.17,13.04,,,6.5,0001,,,,-2.6,-16.7,-0.2,-0.9,0.3,0.9,,,,,,,,,,
254,순창군,2013-01-06,-3.6,-8.6,2301,2.5,1348,,,,,,,6.8,270,1447,5.0,270,1448,1.6,1377,320,-10.5,24,1404,63.9,2.8,1009.5,1026.9,0158,1024.2,1431,1025.8,9.9,7.7,1200,2.01,11.61,,,5.5,0001,,,,-1.6,-13.6,0.1,-0.6,0.5,1.0,,,,,,,,,,
254,순창군,2013-01-07,-4.6,-11.7,0748,2.5,1347,,,,,,,7.0,340,1318,4.9,270,1251,1.5,1274,70,-12.2,23,1323,59.5,2.4,1008.5,1027.2,0701,1022.6,1515,1024.9,9.9,8.6,1100,2.12,13.69,,,4.5,0001,,,,-2.5,-14.8,0.0,-0.7,0.4,0.9,,,,,,,,,,
254,순창군,2013-01-08,-2.9,-10.3,0756,3.7,1408,,,,,,,10.0,340,1611,6.2,320,1535,2.0,1704,320,-12.1,25,1532,53.5,2.4,1009.1,1027.2,1022,1023.5,1344,1025.3,9.9,8.4,1200,2.02,12.55,,,4.0,0001,,,,-2.6,-13.3,-0.2,-1.0,0.2,0.7,,,,,,,,,,
254,순창군,2013-01-09,-5.2,-10.7,2359,-1.9,1219,,,,,,,12.5,340,1630,7.2,340,1508,2.7,2300,320,-12.9,35,0003,55.6,2.3,1011.2,1029.4,2300,1025.5,1356,1027.6,9.9,7.9,1300,2.17,11.87,,,3.5,0001,,,,-3.0,-14.2,-0.4,-1.1,0.1,0.7,,,,,,,,,,
254,순창군,2013-01-10,-7.4,-13.4,0540,-0.6,1444,,,,,,,9.5,320,1405,5.1,320,1806,1.9,1619,320,-16.2,23,1525,54.8,1.8,1014.4,1032.7,2332,1029.3,0001,1031.1,9.9,8.5,1200,2.27,14.55,,,3.0,0001,,,,-4.2,-15.2,-1.0,-1.4,-0.1,0.6,,,,,,,,,,
