stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
174,순천,2013-01-01,-3.1,-10.1,0551,3.5,1549,,,,,2.07,0.5,9.2,290,1626,4.6,290,1635,0.9,789,320,-6.1,53,1623,80.8,4.0,1000.0,1022.9,0147,1018.8,1440,1021.0,9.9,1.9,,,,1.2,1045,1.6,1045,1.5,5.4,5.3,-0.9,-12.7,,,,,,,,,,,0.6,1.0,{박무}0015-{박무}{강도0}0300-0530. {눈}0935-1050. {눈}1156-{눈}{강도0}1200-1245. {박무}2310-{박무}{강도0}2400-,
174,순천,2013-01-02,-3.4,-8.8,2344,1.4,0307,,,,,1.17,0.5,10.5,360,0542,6.7,340,0641,3.3,2894,340,-9.9,47,1453,61.5,3.1,1007.9,1035.2,2356,1021.4,0119,1029.0,9.9,7.7,,,,0.8,0250,1.5,0250,0.8,4.6,4.6,-1.9,-13.0,,,,,,,,,,,1.2,,-{박무}-0130. {눈}0140-0250.,
174,순천,2013-01-03,-7.7,-10.1,0811,-4.1,1345,,,,,,,11.5,340,1236,6.2,340,1158,3.5,2982,340,-15.6,35,1415,54.0,1.8,1013.9,1038.3,1009,1034.0,2400,1035.6,9.9,7.8,,,,,,1.3,0001,,4.0,1.3,-4.6,-12.2,,,,,,,,,,,1.2,,,
174,순천,2013-01-04,-6.4,-10.5,2350,-1.1,1501,,,,,,,10.2,320,1139,6.1,290,1129,3.4,2950,340,-16.8,28,1216,45.4,1.7,1008.9,1034.8,0228,1027.9,1454,1030.4,9.9,8.7,,,,,,0.4,0001,,1.4,0.0,-4.7,-15.9,,,,,,,,,,,2.2,,,
174,순천,2013-01-05,-3.4,-11.1,0045,1.7,1524,,,,,,,10.6,340,1409,6.1,340,1412,3.2,2763,340,-13.0,32,0836,48.3,2.4,1004.3,1028.0,0007,1022.6,1426,1025.5,9.9,8.6,,,,,,,,,2.4,1.3,-4.0,-15.6,,,,,,,,,,,2.2,,,
174,순천,2013-01-06,-1.2,-4.4,2343,3.3,1424,,,,,,,8.1,360,1604,5.0,290,1104,2.8,2413,340,-10.7,29,1643,49.6,2.7,1003.6,1025.8,0207,1022.7,1633,1024.5,9.9,8.5,,,,,,,,,3.4,0.9,-1.2,-12.0,,,,,,,,,,,1.4,,,
174,순천,2013-01-07,-1.8,-5.8,0621,3.6,1520,,,,,,,9.6,340,1259,6.2,340,1304,3.0,2625,320,-13.8,22,1507,41.1,2.1,1002.3,1025.4,0808,1020.7,1519,1023.3,9.9,8.8,,,,,,,,,0.3,0.0,-2.1,-11.5,,,,,,,,,,,2.4,,,
174,순천,2013-01-08,-0.6,-5.6,0807,4.4,1515,,,,,,,8.3,340,1240,4.7,340,1241,2.9,2465,320,-12.0,22,1331,43.4,2.5,1002.8,1025.6,0908,1021.6,1539,1023.7,9.9,8.8,,,,,,,,,0.0,0.0,-1.6,-10.5,,,,,,,,,,,2.5,,,
174,순천,2013-01-09,-4.4,-8.0,2332,-0.9,1417,,,,,,,12.8,360,1255,6.7,340,1300,3.3,2865,320,-13.3,40,0222,50.0,2.2,1004.8,1027.9,2351,1023.3,1404,1026.0,10.0,7.8,,,,,,,,,2.8,0.9,-2.6,-14.3,,,,,,,,,,,1.9,,,
174,순천,2013-01-10,-5.0,-9.8,2358,0.0,1526,,,,,,,10.4,320,0934,5.3,340,0941,2.8,2431,320,-15.6,23,1519,46.0,1.9,1007.9,1031.5,2329,1027.5,0408,1029.2,10.0,8.9,,,,,,,,,0.0,0.0,-3.1,-17.0,,,,,,,,,,,3.8,,,
