stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
152,울산,2013-01-01,0.3,-7.3,0720,6.7,1312,,,,,,,14.6,340,1502,7.0,340,1406,1.9,1640,340,-6.9,41,1744,60.0,3.7,1015.6,1022.6,0232,1016.6,1345,1020.0,9.8,7.2,,,,,,,,,3.8,3.8,-1.2,-7.5,,,,,,,,,,,,,,
152,울산,2013-01-02,-1.2,-7.0,2400,3.5,0547,,,,,,,10.1,70,0933,5.5,50,0933,2.8,2438,50,-13.3,26,1241,40.5,2.4,1022.3,1032.7,2334,1019.8,0205,1026.8,9.8,8.2,,,,,,,,,2.4,1.6,-1.0,-6.8,,,,,,,,,,,,,{황사}0320-{황사}{강도0}0600-0650.,
152,울산,2013-01-03,-5.9,-8.5,2347,-1.6,1428,,,,,,,10.7,20,1129,5.6,20,0554,3.4,2913,50,-21.4,19,1409,28.9,1.1,1028.1,1034.2,0836,1031.6,1414,1032.7,9.8,8.1,,,,,,,,,1.8,0.0,-4.3,-8.5,,,,,,,,,,,,,,
152,울산,2013-01-04,-5.0,-10.2,0555,1.9,1445,,,,,,,8.2,70,0112,4.4,70,0115,1.6,1359,70,-18.2,21,1315,36.5,1.5,1024.8,1033.0,0248,1026.5,2310,1029.3,9.8,8.7,,,,,,,,,0.8,0.0,-4.0,-9.8,,,,,,,,,,,,,,
152,울산,2013-01-05,-2.3,-8.7,0434,3.8,1218,,,,,,,10.8,50,2133,4.9,50,2140,1.9,1627,20,-15.6,13,1139,38.0,1.9,1019.3,1026.4,0001,1021.0,1501,1023.7,9.9,8.3,,,,,,,,,1.4,0.0,-2.9,-9.2,,,,,,,,,,,,,,
152,울산,2013-01-06,-0.7,-4.4,0433,6.1,1518,,,,,,,5.0,20,1056,2.6,70,1034,1.0,886,50,-12.8,19,1516,41.8,2.3,1019.1,1025.1,0824,1022.0,1506,1023.5,9.9,6.7,,,,,,,,,4.1,0.0,-1.7,-6.7,,,,,,,,,,,,,,
152,울산,2013-01-07,0.1,-4.7,0405,8.1,1517,,,,,,,6.6,70,2010,3.3,160,1159,1.4,1169,70,-16.5,13,1407,29.4,1.7,1017.9,1024.5,0928,1020.0,1515,1022.3,9.9,8.7,,,,,,,,,1.8,0.0,-1.8,-6.5,,,,,,,,,,,,,,
152,울산,2013-01-08,1.1,-3.6,0559,7.4,1402,,,,,,,8.3,50,2157,3.7,20,2124,1.3,1158,70,-13.6,17,1404,34.5,2.2,1018.1,1024.7,0933,1020.5,1406,1022.5,9.9,8.4,,,,,,,,,0.0,0.0,-1.3,-6.1,,,,,,,,,,,,,{연무}0810-{연무}{강도0}0900-0930.,
152,울산,2013-01-09,-2.1,-5.5,2359,1.9,1410,,,,,,,12.1,50,1114,6.6,20,1121,3.6,3096,20,-18.6,15,1350,27.8,1.4,1019.2,1025.4,2240,1021.4,1415,1023.6,9.9,8.3,,,,,,,,,1.9,0.0,-0.8,-6.5,,,,,,,,,,,,,,
152,울산,2013-01-10,-2.8,-6.1,0619,2.1,1455,,,,,,,12.3,50,0537,6.7,50,0539,2.8,2421,50,-21.0,15,1419,23.8,1.2,1023.2,1030.4,2352,1025.0,0004,1027.7,9.9,8.8,,,,,,,,,0.0,0.0,-1.8,-6.9,,,,,,,,,,,,,,
152,울산,2013-01-11,-1.1,-8.0,0713,6.3,1539,,,,,,,6.3,70,0114,2.8,160,1347,1.1,933,20,-14.7,18,1440,36.4,2.0,1024.3,1031.7,0855,1026.1,2257,1028.7,10.0,8.4,,,,,,,,,2.1,0.0,-0.5,-8.9,,,,,,,,,,,,,,
152,울산,2013-01-12,3.2,-3.4,0743,11.6,1407,,,,,,,6.6,20,1255,3.3,360,1304,1.0,862,20,-7.2,26,1252,48.6,3.6,1019.9,1026.6,0145,1021.7,1409,1024.2,10.0,8.5,,,,,,,,,1.4,0.0,2.5,-5.6,,,,,,,,,,,,,{연무}2140-{연무}{강도0}2400-,
152,울산,2013-01-13,3.6,-1.6,0338,6.9,1207,,,,,,,6.7,50,2302,2.9,70,2307,1.2,1061,70,-3.1,37,1203,62.6,4.9,1018.1,1025.6,0942,1018.9,2315,1022.4,10.0,0.1,,,,,,,,,8.4,4.1,0.5,-4.9,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-01-14,3.9,-0.1,2357,9.2,1404,,,,,,,10.8,50,1221,5.3,50,1251,2.2,1907,50,-5.9,21,1435,52.8,4.1,1013.7,1023.7,2341,1014.0,1320,1018.0,10.0,8.2,,,,,,,,,1.0,1.0,3.0,-2.7,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-0655. {박무}0650-{박무}{강도0}0900-0930. {연무}0920-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-01-15,2.5,-2.6,0739,9.0,1330,,,,,,,11.6,250,1503,2.9,200,1510,1.0,828,20,-4.5,38,1312,60.6,4.4,1020.0,1026.8,0823,1022.4,2227,1024.3,10.0,7.5,,,,,,,,,2.6,0.8,1.4,-4.4,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1240. {박무}2225-{박무}{강도0}2400-,
152,울산,2013-01-16,2.5,-2.3,0527,8.4,1435,,,,,,,9.0,20,0313,4.3,50,1315,1.5,1314,70,-5.3,33,1552,59.3,4.2,1017.4,1023.3,0721,1019.5,1410,1021.7,10.1,7.4,,,,,,,,,2.5,2.1,1.1,-3.9,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0630. {연무}0625-{연무}{강도0}0900-1140. {연무}1650-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-01-17,-0.4,-3.5,2358,3.7,1442,,,,,2.08,0.0,9.4,70,1240,4.4,70,1251,2.5,2167,70,-8.5,45,1443,54.6,3.2,1021.0,1029.1,2220,1022.2,0001,1025.4,10.1,4.1,,,,,,,,,2.9,2.9,-0.3,-3.6,,,,,,,,,,,,,-{연무}-0230. {소낙눈}0930-1135. {연무}1915-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-01-18,-0.3,-5.7,0730,7.5,1510,,,,,,,7.4,50,0116,4.2,70,0122,1.3,1111,70,-13.9,13,1545,39.9,2.2,1023.7,1030.9,0901,1025.9,1441,1028.1,10.1,9.0,,,,,,,,,0.0,0.0,-1.3,-5.6,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-1140.,
152,울산,2013-01-19,1.9,-3.0,0124,8.3,1551,,,,,,,10.7,50,0436,5.0,50,0522,2.0,1695,70,-8.5,28,1405,47.4,3.2,1023.8,1030.6,2351,1026.1,1405,1028.2,10.1,8.7,,,,,,,,,0.1,0.1,0.3,-4.7,,,,,,,,,,,,,{연무}2040-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-01-20,4.0,-2.7,0552,9.6,1329,,,,,0.42,0.0,9.7,20,2029,3.3,160,1542,1.0,889,160,-2.3,46,1220,64.3,5.2,1027.3,1034.2,0921,1030.3,0058,1031.7,10.1,2.2,,,,,,,,,7.4,3.8,1.7,-3.8,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1420. {비}2335-{비}{강도0}2400-,
152,울산,2013-01-21,5.9,4.2,0608,7.5,1537,,,,,22.0,19.5,4.4,180,1003,2.5,160,1052,0.9,746,20,4.8,68,0001,92.9,8.6,1017.8,1030.4,0001,1015.6,2356,1022.1,10.2,0.0,,,,,,,,,10.0,7.9,4.0,1.8,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0320. {비}0430-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-1850. {비}1940-{비}{강도0}2100-{비}{강도0}2400- {박무}0010-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
152,울산,2013-01-22,5.6,4.4,2258,7.2,1231,,,,,12.42,1.5,7.1,50,1434,3.6,70,1437,1.7,1449,50,3.0,72,1736,84.0,7.6,1015.6,1022.5,2130,1015.2,0102,1019.9,10.2,0.0,,,,,,,,,10.0,6.9,4.6,3.6,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0530. {비}0650-{비}{강도0}0900-{비}{강도0}1200-1240. {비}1430-{비}{강도0}1500-1535. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0740.,
152,울산,2013-01-23,4.3,2.6,2350,6.2,1422,,,,,7.92,1.0,4.1,50,0141,2.5,70,0150,0.9,775,70,1.3,69,0558,81.3,6.7,1014.5,1021.9,0046,1017.1,1542,1018.8,10.2,0.0,,,,,,,,,9.8,7.1,4.7,1.3,,,,,,,,,,,,,{비}0805-{비}{강도0}0900-{비}{강도0}1200-1440. {비}1930-2050. {박무}1935-{박무}{강도0}2100-{박무}{강도0}2400-,
152,울산,2013-01-24,2.9,-1.0,0715,8.4,1358,,,,,,,10.3,340,1658,5.2,340,1528,2.0,1727,340,-4.0,34,2400,63.9,4.7,1009.6,1017.3,0001,1010.7,1816,1013.9,10.2,5.8,,,,,,,,,2.5,1.1,2.5,-1.9,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1035. {연무}1030-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-1920.,
152,울산,2013-01-25,-1.5,-4.5,2400,2.7,1506,,,,,,,15.0,360,0440,7.4,20,0447,3.4,2968,20,-20.6,14,1002,22.3,1.2,1013.4,1019.4,0940,1014.6,0001,1017.8,10.3,9.2,,,,,,,,,0.0,0.0,0.6,-4.5,,,,,,,,,,,,,,
152,울산,2013-01-26,-2.6,-5.9,0342,2.1,1437,,,,,,,8.5,70,1157,4.5,50,1229,1.9,1635,20,-20.7,13,1057,24.5,1.2,1015.6,1023.2,2330,1017.9,0433,1020.0,10.3,9.3,,,,,,,,,0.0,0.0,-0.9,-5.4,,,,,,,,,,,,,,
152,울산,2013-01-27,-2.5,-6.4,0715,1.4,1531,,,,,,,10.3,340,1358,5.8,50,1231,3.0,2617,20,-15.3,26,1537,37.0,1.9,1018.2,1024.8,2349,1020.7,1407,1022.7,10.3,9.2,,,,,,,,,0.5,0.5,-0.8,-5.4,,,,,,,,,,,,,,
152,울산,2013-01-28,0.6,-5.3,0550,7.8,1433,,,,,,,8.5,50,0412,5.1,50,0410,2.2,1894,50,-12.9,17,1152,39.0,2.3,1021.4,1027.0,2342,1024.2,1333,1025.8,10.3,9.3,,,,,,,,,0.0,0.0,1.0,-6.3,,,,,,,,,,,,,,
152,울산,2013-01-29,3.0,-3.7,0724,11.1,1454,,,,,,,4.9,160,1521,3.3,160,1525,0.8,720,200,-5.8,34,1458,54.6,4.0,1022.8,1028.3,0834,1025.4,1446,1027.2,10.4,7.2,,,,,,,,,2.9,0.0,2.6,-7.2,,,,,,,,,,,,,,
152,울산,2013-01-30,5.0,-1.1,0507,13.4,1337,,,,,,,5.4,230,1450,3.1,180,1642,0.9,750,160,-1.5,33,1338,64.8,5.5,1026.1,1032.5,2350,1028.3,0001,1030.5,10.4,7.6,,,,,,,,,2.8,0.3,4.3,-5.1,,,,,,,,,,,,,{박무}0650-{박무}{강도0}0900-0930. {연무}0925-1045. {연무}1125-{연무}{강도0}1200-1250. {연무}1520-{연무}{강도0}1800-{연무}{강도0}2100-2110. {박무}2105-{박무}{강도0}2400-,
152,울산,2013-01-31,7.0,0.9,0637,15.1,1334,,,,,,,5.8,200,1546,3.3,200,1344,0.9,763,200,2.1,48,1335,72.8,7.1,1026.9,1033.3,0840,1029.2,2354,1031.3,10.4,4.7,,,,,,,,,7.1,1.3,5.8,-4.5,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-0950. {연무}0940-{연무}{강도0}1200-1425. {연무}1640-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
152,울산,2013-02-01,9.7,5.9,0328,13.4,2002,,,,,16.17,14.5,12.1,270,1718,7.0,270,1655,2.0,1723,270,8.3,80,0001,91.4,11.1,1015.6,1029.2,0001,1013.8,1936,1019.8,10.5,0.0,,,,,,,,,8.1,6.3,6.7,2.9,,,,,,,,,,,,,-{연무}-0010. {박무}0005-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-{박무}{강도0}1500-1730. {비}0210-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-1820. {박무}2330-,
152,울산,2013-02-02,7.8,1.7,2358,12.7,1441,,,,,,,9.5,50,0815,5.6,50,1207,2.9,2539,50,-9.4,12,1244,34.0,3.7,1018.2,1027.2,2157,1016.2,0001,1022.5,10.5,8.4,,,,,,,,,2.0,0.0,6.6,-3.6,,,,,,,,,,,,,-{박무}-0050.,
152,울산,2013-02-03,3.6,-2.1,0726,7.5,1440,,,,,2.67,0.1,8.2,70,0131,4.5,50,0133,0.8,723,70,-6.3,21,0005,50.8,4.2,1020.2,1029.2,0819,1017.9,2356,1024.5,10.5,3.3,,,,,,,,,6.6,4.3,2.9,-6.5,,,,,,,,,,,,,{비}1930-{비}{강도0}2100-2210.,
152,울산,2013-02-04,4.9,1.7,2231,11.0,1245,,,,,4.17,2.0,10.0,50,1432,5.1,50,1437,1.5,1257,20,0.2,46,1603,73.5,6.3,1013.1,1024.6,2346,1012.4,0744,1017.4,10.6,6.2,,,,,,,,,5.9,3.0,6.7,-3.1,,,,,,,,,,,,,{비}0020-0150. {비}0415-{비}{강도0}0600-0655. {박무}0030-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1125.,
152,울산,2013-02-05,4.4,0.5,0448,7.3,1210,,,,,7.83,1.0,7.8,360,0725,4.2,160,1514,1.1,918,70,0.2,59,1204,74.8,6.3,1016.5,1025.1,0214,1015.4,2352,1020.9,10.6,0.0,,,,,,,,,9.0,5.6,3.1,-3.4,,,,,,,,,,,,,{연무}0340-0435. {박무}0430-{박무}{강도0}0600-0645. {연무}0640-0750. {연무}0840-{연무}{강도0}0900-1130. {비}1450-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-2240.,
152,울산,2013-02-06,4.6,0.1,2353,9.3,1432,,,,,2.25,0.0,8.9,20,1559,5.1,20,1604,2.2,1862,50,-1.5,46,1433,66.4,5.6,1011.3,1017.2,2215,1014.1,0442,1015.6,10.6,8.0,,,,,,,,,5.4,3.9,6.8,-4.8,,,,,,,,,,,,,{비}0115-0155. {비}0315-0450.,
152,울산,2013-02-07,-2.4,-9.0,2348,2.2,0949,,,,,,,13.0,50,1623,6.0,50,1303,3.1,2637,50,-17.2,15,1525,33.4,1.9,1015.9,1025.6,2351,1016.3,0511,1020.3,10.6,7.1,,,,,,,,,4.6,0.9,0.5,-10.2,,,,,,,,,,,,,,
152,울산,2013-02-08,-5.5,-12.2,0706,1.5,1545,,,,,,,10.8,50,0636,5.0,50,0644,2.2,1927,70,-18.2,27,0001,36.5,1.5,1024.2,1031.2,0927,1025.5,0001,1028.7,10.7,8.7,,,,,,,,,2.8,0.0,-0.8,-12.2,,,,,,,,,,,,,,
