stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
263,의령군,2013-01-01,-3.0,-10.9,0626,7.1,1400,,,,,,0.0,9.2,70,1533,7.2,70,1529,1.4,1174,70,-6.9,48,1511,75.8,3.7,1018.6,1022.8,0239,1017.4,1404,1020.5,9.8,5.0,1200,1.87,8.87,,,,,,,,-1.3,-12.6,0.8,1.0,1.9,2.5,,,,,,,,,,
263,의령군,2013-01-02,-2.2,-8.6,2332,2.1,1324,,,,,,,10.5,90,1458,8.1,70,0716,3.3,2881,70,-10.1,33,1452,56.4,2.9,1026.0,1034.0,2344,1020.3,0113,1027.8,9.8,7.7,1200,1.96,10.85,,,,,,,,-1.5,-10.9,0.8,1.0,1.8,2.4,,,,,,,,,,
263,의령군,2013-01-03,-8.0,-12.5,0736,-1.4,1443,,,,,,,7.8,20,1357,6.0,50,1407,1.7,1432,50,-15.4,28,1447,58.5,1.9,1032.5,1036.9,0946,1032.9,1501,1034.4,9.9,7.8,1200,2.12,11.54,,,,,,,,-4.0,-14.1,0.5,0.7,1.7,2.3,,,,,,,,,,
263,의령군,2013-01-04,-7.5,-14.7,0738,2.2,1540,,,,,,,3.0,20,0015,2.7,360,0007,0.8,656,20,-14.6,27,1541,60.5,2.0,1028.3,1034.1,0300,1027.3,2334,1030.1,9.9,8.9,1200,2.11,12.75,,,,,,,,-4.2,-15.9,0.2,0.3,1.3,2.2,,,,,,,,,,
263,의령군,2013-01-05,-5.9,-12.6,0410,3.8,1402,,,,,,,3.4,20,1455,2.6,50,1501,0.7,639,50,-12.4,23,1403,63.9,2.4,1023.2,1027.3,0001,1022.0,1439,1025.0,9.9,8.7,1200,2.11,12.95,,,,,,,,-3.6,-14.1,-0.2,0.0,1.1,1.9,,,,,,,,,,
263,의령군,2013-01-06,-4.0,-9.1,0100,4.9,1545,,,,,,,3.8,90,1053,3.1,70,1053,0.7,629,70,-9.0,35,1538,70.5,3.1,1022.5,1025.8,0840,1022.5,1518,1024.3,9.9,7.7,1300,1.91,10.12,,,,,,,,-2.5,-11.3,-0.2,0.0,0.9,1.7,,,,,,,,,,
263,의령군,2013-01-07,-3.1,-10.4,0758,6.2,1352,,,,,,,3.6,20,1736,3.2,50,1732,0.8,696,70,-11.9,19,1340,56.4,2.5,1021.3,1025.3,0834,1020.7,1509,1023.2,9.9,9.1,1100,2.13,13.65,,,,,,,,-2.0,-13.8,-0.2,0.0,0.8,1.6,,,,,,,,,,
263,의령군,2013-01-08,-2.8,-9.3,0501,6.8,1500,,,,,,,4.6,50,1234,3.7,70,1242,0.8,659,70,-10.6,23,1204,60.3,2.8,1021.7,1025.6,0906,1021.3,1556,1023.6,9.9,8.9,1200,1.98,12.11,,,,,,,,-1.1,-11.7,0.0,0.0,0.8,1.6,,,,,,,,,,
263,의령군,2013-01-09,-4.4,-9.5,0651,4.1,1422,,,,,,,6.2,20,1533,5.0,20,1534,1.4,1214,70,-11.9,27,1621,58.9,2.5,1023.1,1027.4,2341,1021.9,1435,1025.0,9.9,8.4,1200,2.05,12.24,,,,,,,,-1.8,-11.9,-0.1,0.0,0.8,1.5,,,,,,,,,,
263,의령군,2013-01-10,-6.3,-13.0,0726,3.5,1425,,,,,,,5.6,360,1454,4.4,360,1458,1.2,1034,50,-14.1,24,1426,57.8,2.1,1027.3,1031.5,2339,1027.4,0001,1029.2,10.0,9.1,1200,2.17,13.45,,,,,,,,-2.2,-14.9,-0.5,-0.1,0.7,1.4,,,,,,,,,,
263,의령군,2013-01-11,-4.3,-13.4,0722,4.5,1511,,,,,,,2.3,90,2249,1.7,90,2256,0.6,551,70,-10.8,34,1625,62.9,2.8,1027.7,1032.7,0906,1026.5,2204,1029.5,10.0,8.6,1200,2.09,13.2,,,,,,,,-1.4,-15.6,-0.9,-0.6,0.5,1.3,,,,,,,,,,
263,의령군,2013-01-12,-0.6,-8.6,0747,10.2,1416,,,,,,,6.6,70,1510,5.7,70,1447,1.2,1008,70,-6.1,38,1632,68.8,3.9,1023.2,1027.6,0129,1022.4,1416,1025.0,10.0,8.9,1200,1.96,11.98,,,,,,,,0.6,-11.4,-0.1,-0.1,0.5,1.2,,,,,,,,,,
263,의령군,2013-01-13,-1.3,-6.1,0525,3.4,1453,,,,,,,1.8,20,1802,1.4,360,1926,0.3,246,70,-5.0,58,1448,76.8,4.2,1021.2,1026.1,0904,1019.2,2306,1023.0,10.0,0.0,1100,0.61,3.19,,,,,,,,-1.3,-9.5,0.1,0.0,0.5,1.2,,,,,,,,,,
263,의령군,2013-01-14,-0.1,-6.7,0739,10.2,1448,,,,,,,6.7,20,1306,5.5,20,1315,1.3,1095,70,-5.8,24,1508,69.9,4.0,1016.9,1023.7,2359,1015.0,1353,1018.7,10.0,7.8,1200,1.9,11.14,,,,,,,,0.3,-10.1,0.0,-0.1,0.6,1.2,,,,,,,,,,
