stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
203,이천,2013-01-01,-6.5,-13.9,0331,-0.8,1550,,,,,,3.4,5.0,230,2358,3.0,230,2358,0.7,633,50,-9.3,68,1417,80.8,3.1,1009.2,1022.5,0042,1017.5,1337,1019.3,9.7,3.5,,,,,,,,,,,-2.5,-13.8,,,,,,,,,,,,,,
203,이천,2013-01-02,-10.1,-13.9,2322,-1.8,0041,,,,,,0.1,8.7,340,1513,4.5,320,1341,2.3,2028,290,-21.2,28,0442,41.0,1.2,1021.0,1036.4,2322,1019.0,0001,1031.4,9.7,8.8,,,,,,,,,,,-4.1,-16.7,,,,,,,,,,,,,,
203,이천,2013-01-03,-13.1,-17.7,0743,-6.8,1434,,,,,,,7.6,290,1134,3.6,270,1150,1.6,1383,290,-22.1,27,1357,47.9,1.1,1026.8,1039.5,0911,1035.7,1448,1037.3,9.7,8.9,,,,,,,,,,,-7.8,-17.2,,,,,,,,,,,,,,
203,이천,2013-01-04,-14.5,-22.5,0639,-6.0,1507,,,,,,,3.8,90,1354,2.1,90,1357,0.6,553,70,-20.6,34,1507,61.8,1.2,1022.7,1037.0,0331,1030.1,2351,1033.3,9.7,8.6,,,,,,,,,,,-8.1,-19.8,,,,,,,,,,,,,,
203,이천,2013-01-05,-11.6,-20.5,0647,-4.0,1512,,,,,,,2.6,50,1322,1.5,70,1418,0.5,472,50,-16.9,44,1432,66.4,1.7,1017.2,1030.2,0001,1024.7,1444,1027.6,9.7,7.7,,,,,,,,,,,-6.9,-18.3,,,,,,,,,,,,,,
203,이천,2013-01-06,-8.3,-15.5,0714,0.4,1556,,,,,,,4.2,160,1420,1.9,200,1511,0.8,656,250,-13.8,31,1530,66.9,2.1,1016.4,1028.2,0632,1025.0,1552,1026.7,9.7,7.5,,,,,,,,,,,-5.4,-14.7,,,,,,,,,,,,,,
203,이천,2013-01-07,-7.5,-14.9,0458,0.1,1549,,,,,,,3.1,250,1610,1.9,50,0537,0.8,656,270,-13.0,37,1404,67.0,2.3,1015.6,1028.4,0911,1023.9,1553,1025.8,9.7,5.8,,,,,,,,,,,-4.6,-14.2,,,,,,,,,,,,,,
203,이천,2013-01-08,-6.3,-12.7,0719,1.7,1406,,,,,,,6.3,290,1447,3.1,320,1452,0.8,727,250,-13.8,27,1506,59.6,2.2,1016.0,1028.5,1033,1024.3,1401,1026.1,9.8,6.8,,,,,,,,,,,-4.3,-14.1,,,,,,,,,,,,,,
203,이천,2013-01-09,-8.5,-12.2,2316,-3.5,1336,,,,,,,5.9,290,1014,3.2,270,1622,1.4,1248,270,-19.9,22,1444,40.9,1.3,1017.2,1029.1,2315,1025.6,1330,1027.5,9.8,8.9,,,,,,,,,,,-5.9,-14.3,,,,,,,,,,,,,,
203,이천,2013-01-10,-10.6,-19.0,0744,-1.7,1427,,,,,,,7.2,290,1544,3.7,270,1515,1.1,912,50,-19.2,24,1430,53.4,1.4,1021.0,1032.7,1045,1028.9,0005,1031.4,9.8,8.9,,,,,,,,,,,-6.9,-18.2,,,,,,,,,,,,,,
203,이천,2013-01-11,-6.6,-13.4,0113,0.1,1406,,,,,,,3.1,70,1417,1.6,70,1417,0.6,557,50,-12.7,41,1255,63.3,2.4,1020.2,1033.6,0225,1026.7,2327,1030.4,9.8,7.8,,,,,,,,,,,-3.7,-14.5,,,,,,,,,,,,,,
203,이천,2013-01-12,-2.2,-8.4,0202,3.4,1504,,,,,,0.0,4.8,270,1643,2.6,250,1647,0.7,614,270,-6.6,57,1505,72.3,3.8,1015.6,1027.6,0121,1024.2,1406,1025.6,9.8,0.1,,,,,,,,,,,-2.0,-11.5,,,,,,,,,,,,,,
203,이천,2013-01-13,-3.4,-8.4,0345,3.1,1512,,,,,,,3.4,160,1736,1.9,160,1741,0.5,411,70,-7.2,46,1552,76.3,3.6,1014.7,1027.6,0637,1021.4,1624,1024.8,9.8,0.0,,,,,,,,,,,-2.4,-10.7,,,,,,,,,,,,,,
203,이천,2013-01-14,-5.0,-13.7,0722,3.1,1548,,,,,,,6.7,340,1401,3.7,290,1411,0.9,795,290,-9.8,38,1611,70.9,3.0,1011.5,1025.1,2355,1018.6,1424,1021.6,9.9,4.8,,,,,,,,,,,-3.7,-13.0,,,,,,,,,,,,,,
203,이천,2013-01-15,-5.0,-11.2,0414,2.3,1612,,,,,,,2.6,50,1254,1.4,50,1301,0.5,425,50,-9.1,50,1417,74.3,3.1,1015.7,1028.2,0855,1023.9,1602,1025.9,9.9,4.9,,,,,,,,,,,-3.7,-13.1,,,,,,,,,,,,,,
203,이천,2013-01-16,-3.8,-8.8,0240,1.4,1514,,,,,,0.0,5.6,270,2007,2.8,250,1817,1.0,902,50,-7.3,55,1628,76.5,3.5,1014.4,1026.0,2358,1022.4,1401,1024.4,9.9,0.7,,,,,,,,,,,-1.8,-10.9,,,,,,,,,,,,,,
