stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
211,牢力,2013-01-01,-8.6,-16.9,0455,-1.8,1555,,,,,,1.0,6.5,180,1624,4.0,180,1609,1.3,1120,180,-11.0,61,1645,82.1,2.8,993.6,1023.3,0206,1016.9,1357,1019.5,9.6,2.0,,,,,,,,,,,-2.3,-6.4,,,,,,,,,,,,,,
211,牢力,2013-01-02,-11.0,-18.6,2230,-3.5,0034,,,,,,0.5,9.2,140,0626,4.8,180,0601,2.2,1894,160,-22.5,22,1041,41.1,1.1,1002.7,1035.8,2312,1017.9,0001,1029.1,9.6,7.3,,,,,,,,,,,-1.5,-4.8,,,,,,,,,,,,,,
211,牢力,2013-01-03,-15.7,-20.2,0726,-9.2,1510,,,,,,,7.0,140,1208,4.1,180,1211,1.9,1618,180,-22.1,33,1552,60.0,1.1,1009.7,1038.7,0901,1034.2,1503,1036.7,9.6,7.4,,,,,,,,,,,-2.3,-5.8,,,,,,,,,,,,,,
211,牢力,2013-01-04,-15.3,-23.2,0801,-5.0,1544,,,,,,,5.6,140,1450,3.2,160,1525,0.8,728,160,-20.4,33,1357,68.0,1.3,1006.3,1037.9,0414,1029.0,1553,1033.3,9.6,7.4,,,,,,,,,,,-2.8,-6.9,,,,,,,,,,,,,,
211,牢力,2013-01-05,-11.5,-20.7,0712,-3.2,1422,,,,,,,6.8,180,1400,4.4,160,1407,1.5,1277,160,-15.7,51,1212,72.4,1.9,1000.9,1030.8,0007,1023.2,1420,1027.3,9.6,5.5,,,,,,,,,,,-2.8,-7.0,,,,,,,,,,,,,,
211,牢力,2013-01-06,-9.4,-15.4,0325,-0.5,1530,,,,,,,6.2,160,1543,3.8,160,1510,1.1,937,180,-14.2,33,1624,71.3,2.1,1000.4,1028.7,0629,1023.4,1413,1026.5,9.7,6.5,,,,,,,,,,,-2.3,-5.8,,,,,,,,,,,,,,
211,牢力,2013-01-07,-10.2,-17.2,0454,-0.7,1534,,,,,,,4.8,160,1336,2.8,160,1350,0.7,592,160,-14.4,40,1336,73.3,2.0,999.9,1028.7,0857,1023.0,1418,1026.1,9.7,3.3,,,,,,,,,,,-2.6,-6.4,,,,,,,,,,,,,,
211,牢力,2013-01-08,-8.7,-15.9,0738,-0.3,1446,,,,,,,7.0,180,1537,4.8,180,1539,1.2,1058,180,-14.6,34,1818,66.4,2.0,999.6,1028.8,0901,1022.8,1348,1025.7,9.7,7.3,,,,,,,,,,,-2.7,-15.6,,,,,,,,,,,,,,
211,牢力,2013-01-09,-11.2,-16.5,0730,-4.8,1508,,,,,,,7.6,180,1635,4.8,180,1357,1.8,1541,180,-18.6,28,1649,58.9,1.4,1000.2,1029.0,2353,1023.5,1342,1026.5,9.7,7.3,,,,,,,,,,,-4.8,-19.9,,,,,,,,,,,,,,
211,牢力,2013-01-10,-13.0,-19.9,0748,-3.5,1543,,,,,,,6.3,200,1248,3.7,160,1323,1.2,1010,160,-19.7,28,1609,62.3,1.3,1004.6,1033.6,2351,1028.9,1455,1031.2,9.7,7.3,,,,,,,,,,,-6.2,-22.4,,,,,,,,,,,,,,
