stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
217,정선군,2013-01-01,-7.8,-14.1,0559,-2.5,1558,,,,,,2.5,11.8,20,2357,7.4,20,2358,1.6,1372,360,-10.3,63,0001,82.3,2.9,980.7,1023.2,0311,1017.1,1436,1020.0,9.6,0.0,,,,,,,,,,,-4.0,-5.2,-3.4,-3.4,-2.8,-2.1,,,,,,,,,,
217,정선군,2013-01-02,-9.3,-14.2,2344,-2.8,0131,,,,,,1.5,20.5,20,1504,13.2,20,1515,6.4,5529,360,-21.3,26,0813,38.1,1.3,988.4,1034.4,2340,1017.6,0115,1028.3,9.7,6.4,,,,,,,,,,,-3.1,-5.4,-2.6,-2.5,-2.0,-1.7,,,,,,,,,,
217,정선군,2013-01-03,-14.5,-18.5,2339,-9.3,1511,,,,,,,6.4,180,1218,4.3,340,0408,1.8,1518,340,-22.4,33,1433,52.8,1.0,995.0,1037.6,0942,1033.6,1424,1036.0,9.7,6.5,,,,,,,,,,,-6.2,-7.6,-5.3,-5.1,-4.0,-2.9,,,,,,,,,,
217,정선군,2013-01-04,-14.9,-22.0,0757,-5.1,1505,,,,,,,5.1,360,1312,3.7,340,1937,1.0,842,340,-20.1,34,1333,66.9,1.3,992.4,1038.2,0319,1028.9,1449,1033.4,9.7,6.5,,,,,,,,,,,-7.6,-9.0,-6.7,-6.5,-5.4,-4.1,,,,,,,,,,
217,정선군,2013-01-05,-11.1,-20.3,0808,-2.5,1408,,,,,,,19.0,360,1508,10.5,360,1443,1.6,1418,340,-16.5,42,1411,66.4,1.8,987.2,1031.3,0034,1021.8,1438,1027.3,9.7,6.6,,,,,,,,,,,-7.6,-9.3,-6.8,-6.7,-5.8,-4.6,,,,,,,,,,
217,정선군,2013-01-06,-9.5,-15.2,0758,-0.3,1507,,,,,,,7.0,20,1659,4.7,20,1659,1.1,910,360,-14.2,38,1508,71.3,2.0,986.8,1029.4,0703,1022.7,1431,1026.7,9.7,5.8,,,,,,,,,,,-6.8,-8.0,-6.1,-6.0,-5.3,-4.3,,,,,,,,,,
217,정선군,2013-01-07,-9.0,-15.3,0501,0.2,1447,,,,,,,5.6,180,1452,3.1,340,1256,0.7,631,340,-14.6,27,1419,67.1,2.0,986.1,1028.8,0604,1021.5,1420,1025.9,9.7,4.9,,,,,,,,,,,-6.5,-8.1,-6.0,-5.9,-5.3,-4.4,,,,,,,,,,
217,정선군,2013-01-08,-7.3,-14.1,0735,0.4,1355,,,,,,,5.9,200,1317,3.5,180,1345,0.9,768,270,-13.5,33,1336,63.8,2.2,985.9,1028.9,0853,1022.4,1345,1025.4,9.7,6.7,,,,,,,,,,,-6.2,-7.7,-5.6,-5.5,-4.9,-4.1,,,,,,,,,,
217,정선군,2013-01-09,-9.0,-13.3,2359,-4.2,1416,,,,,,,12.1,360,1608,8.1,360,1617,2.1,1851,250,-18.6,23,1603,47.3,1.4,986.0,1028.3,2340,1022.5,1416,1025.7,9.8,6.7,,,,,,,,,,,-6.4,-7.6,-5.8,-5.7,-4.9,-4.2,,,,,,,,,,
217,정선군,2013-01-10,-12.0,-18.7,0736,-3.8,1434,,,,,,,5.9,180,1319,3.6,360,1110,1.1,957,320,-19.5,27,1627,57.4,1.3,990.4,1033.5,2337,1028.2,1421,1030.8,9.8,6.9,,,,,,,,,,,-7.7,-18.8,-7.0,-6.8,-5.9,-4.9,,,,,,,,,,
217,정선군,2013-01-11,-8.9,-17.9,0706,0.4,1526,,,,,,,5.3,360,1237,3.9,340,1254,0.7,626,340,-14.5,38,1409,66.3,2.1,991.2,1036.3,0800,1027.0,2152,1031.2,9.8,6.9,,,,,,,,,,,-7.8,-18.0,-7.1,-7.1,-6.3,-5.3,,,,,,,,,,
217,정선군,2013-01-12,-3.2,-10.3,0349,2.3,1539,,,,,,0.0,7.3,360,1530,4.3,360,1044,1.4,1241,200,-7.4,56,1538,73.8,3.6,986.5,1028.7,0238,1022.9,1405,1025.3,9.8,0.7,,,,,,,,,,,-5.6,-10.4,-5.1,-5.2,-4.8,-4.5,,,,,,,,,,
217,정선군,2013-01-13,-3.9,-8.4,0445,3.3,1445,,,,,,,2.5,200,0007,1.7,340,0459,0.3,220,140,-7.7,39,1444,77.1,3.4,986.7,1029.3,0816,1021.1,1627,1025.7,9.8,1.5,,,,,,,,,,,-4.8,-5.9,-4.3,-4.4,-3.9,-3.6,,,,,,,,,,
217,정선군,2013-01-14,-5.1,-10.3,0558,3.3,1330,,,,,,,11.5,20,1550,6.9,20,1555,1.4,1202,340,-9.0,37,1321,75.9,3.1,982.3,1025.6,2356,1015.7,1306,1021.3,9.9,5.4,,,,,,,,,,,-4.7,-10.4,-4.2,-4.3,-3.8,-3.4,,,,,,,,,,
217,정선군,2013-01-15,-5.1,-10.9,0748,3.1,1403,,,,,,,8.9,360,1440,5.8,360,1443,1.5,1254,340,-9.8,38,1358,71.9,2.9,986.8,1029.9,0743,1022.9,1632,1026.0,9.9,7.0,,,,,,,,,,,-4.5,-11.0,-4.0,-4.0,-3.5,-3.3,,,,,,,,,,
217,정선군,2013-01-16,-4.4,-10.8,0511,0.8,1444,,,,,,,12.8,360,1856,8.1,20,1902,1.5,1294,360,-8.9,50,1825,71.8,3.1,984.6,1025.9,0855,1020.5,1341,1023.7,9.9,3.5,,,,,,,,,,,-4.7,-10.9,-4.2,-4.3,-3.7,-3.4,,,,,,,,,,
217,정선군,2013-01-17,-4.0,-8.8,2349,-0.3,1158,,,,,,0.0,6.4,360,1655,4.2,360,1731,1.4,1177,340,-8.8,53,1155,69.6,3.2,988.6,1031.1,2335,1023.8,0007,1027.7,9.9,2.6,,,,,,,,,,,-3.2,-8.9,-2.9,-3.0,-2.7,-2.7,,,,,,,,,,
217,정선군,2013-01-18,-7.0,-11.8,0425,-0.3,1450,,,,,,,7.0,360,1126,4.9,360,1133,1.5,1309,340,-13.1,37,1525,64.8,2.2,990.7,1033.5,0913,1026.9,1456,1030.4,9.9,6.2,,,,,,,,,,,-4.1,-11.9,-3.7,-3.7,-3.1,-2.7,,,,,,,,,,
217,정선군,2013-01-19,-4.5,-11.7,0205,2.3,1345,,,,,,,12.4,360,1500,7.4,360,1447,1.7,1506,200,-9.7,42,1502,68.5,3.0,990.6,1033.1,2358,1026.4,1323,1029.8,10.0,6.2,,,,,,,,,,,-4.1,-11.8,-3.7,-3.7,-3.2,-2.8,,,,,,,,,,
217,정선군,2013-01-20,-2.7,-10.2,0533,4.7,1547,,,,,,,5.1,50,1801,2.6,90,1805,0.6,558,110,-7.4,46,1546,71.4,3.6,994.6,1037.5,0924,1030.7,1558,1033.7,10.0,2.7,,,,,,,,,,,-3.9,-10.3,-3.5,-3.5,-3.1,-2.8,,,,,,,,,,
217,정선군,2013-01-21,0.0,-1.2,0554,0.9,1407,,,,,,21.0,1.9,110,2241,0.6,180,2319,0.0,14,20,-0.5,79,0014,96.9,5.9,985.6,1032.4,0001,1018.6,2358,1024.0,10.0,0.0,,,,,,,,,,,-2.2,-2.6,-1.9,-2.0,-1.8,-1.9,,,,,,,,,,
217,정선군,2013-01-22,1.7,0.5,0004,3.1,1315,,,,,,4.0,6.8,90,2212,2.9,160,2214,1.1,944,140,-1.2,66,1250,81.6,5.6,984.0,1024.0,2143,1018.2,0055,1022.0,10.1,0.0,,,,,,,,,,,-0.5,-0.3,-0.6,-0.8,-0.8,-1.2,,,,,,,,,,
217,정선군,2013-01-23,0.8,-0.4,0747,1.9,1918,,,,,,1.0,8.7,20,2222,5.6,20,2309,1.6,1384,20,-2.0,67,2048,82.4,5.3,981.0,1023.8,0052,1016.5,1627,1019.1,10.1,0.0,,,,,,,,,,,-0.5,-0.5,-0.4,-0.5,-0.5,-0.8,,,,,,,,,,
