stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
184,力林,2013-01-01,7.3,2.8,0018,10.0,1224,,,,,0.07,0.0,14.5,270,1052,9.3,270,1052,4.5,3846,230,-1.7,37,1450,53.6,5.4,1018.5,1022.6,2354,1019.9,0606,1021.0,10.0,4.4,1200,1.39,7.9,,,,,,5.8,5.8,2.4,1.5,-0.3,5.2,6.2,6.9,9.4,14.1,14.9,18.3,19.4,,3.2,0.0,{家唱扁}0926-0930.,
184,力林,2013-01-02,5.0,0.7,2350,8.9,0139,,,,,0.37,0.0,14.7,70,2140,8.5,20,2202,5.3,4595,320,-1.1,50,0120,65.1,5.7,1026.7,1035.2,2356,1022.4,0016,1029.2,10.0,1.7,1200,1.24,5.87,,,,,,6.5,6.4,2.6,-0.6,0.4,5.9,6.7,7.3,9.6,13.5,15.1,18.6,19.4,,2.2,0.0,{家倡己柳传柄厚}2047-{家倡己柳传柄厚}{碍档0}2100-2109.,
184,力林,2013-01-03,0.7,-0.1,0840,1.8,1414,,,,,0.83,0.0,13.0,50,0101,7.3,20,0251,4.9,4251,360,-4.0,60,0113,70.5,4.5,1033.0,1037.8,1008,1034.5,2351,1035.6,10.0,0.2,1400,0.76,3.41,,,,,,8.0,8.0,-0.1,-0.7,-1.5,4.6,6.2,7.0,9.9,14.0,15.4,18.6,19.5,,1.5,0.0,{家倡传}0925-0954. {家倡传}1011-1027. {家倡传}1158-{家倡传}{碍档0}1200-1203.,
184,力林,2013-01-04,1.5,-0.3,0731,3.9,1530,,,,,,,11.1,50,0056,6.4,20,0541,3.3,2838,360,-4.5,53,1354,64.1,4.4,1027.8,1034.5,0001,1026.7,2400,1030.4,10.0,7.3,1200,1.91,11.14,,,,,,4.4,4.4,0.4,-0.9,-1.1,4.5,5.6,6.5,9.4,14.2,15.4,18.5,19.4,,2.4,0.0,,
184,力林,2013-01-05,3.2,1.3,0027,5.2,1311,,,,,,,9.9,340,1734,5.7,320,1601,3.4,2949,340,-2.1,57,1312,67.8,5.2,1023.4,1027.5,1009,1024.2,1358,1026.0,10.0,0.9,1300,1.23,4.54,,,,,,7.6,7.6,1.3,-1.2,-1.0,4.6,5.8,6.5,9.5,14.0,15.1,18.5,19.3,,1.5,,,
184,力林,2013-01-06,4.4,3.2,0522,5.5,1136,,,,,,,10.3,320,1756,5.8,320,1805,3.3,2829,340,-0.9,61,1105,68.4,5.7,1022.2,1026.2,1009,1023.4,1519,1024.8,10.0,0.0,1100,0.42,1.93,,,,,,9.3,6.6,1.9,1.2,-0.6,4.9,6.0,6.7,9.5,13.9,14.8,18.4,19.3,,0.7,,,
184,力林,2013-01-07,3.1,1.4,2336,4.1,1625,,,,,,,8.8,320,1337,4.9,340,1353,2.6,2216,320,-1.8,56,1954,69.8,5.4,1021.1,1025.5,0842,1022.5,1536,1023.7,10.1,0.0,1100,0.28,1.52,,,,,,6.4,5.9,0.7,0.6,-1.0,4.8,5.9,6.7,9.5,13.8,14.7,18.4,19.3,,0.8,,,
184,力林,2013-01-08,4.4,1.4,0001,7.2,1540,,,,,,,10.7,20,1830,6.6,360,2313,3.2,2733,20,-2.6,48,1928,60.4,5.1,1021.3,1025.7,1004,1022.4,1514,1023.9,10.1,7.1,1100,1.72,10.02,,,,,,2.6,2.4,0.9,0.7,-0.8,4.6,5.5,6.3,9.2,13.4,14.4,18.4,19.2,,2.5,,,
184,力林,2013-01-09,2.9,1.1,2249,4.3,1054,,,,,2.47,0.0,12.1,50,1649,6.7,360,1245,4.9,4225,360,-2.1,54,0041,69.6,5.2,1024.0,1028.2,2306,1024.6,1352,1026.6,10.1,0.3,1100,0.58,3.15,,,,,,7.8,7.5,1.0,-0.3,-1.0,4.7,5.8,6.5,9.4,13.5,15.1,18.4,19.3,,1.2,0.0,{家倡传}0948-0955. {家倡传}1056-1129. {家倡己柳传柄厚}1209-1249. {家倡己柳传柄厚}1315-1323. {家倡己柳传柄厚}1514-1541. {家倡己柳传柄厚}1623-1651. {家倡传}2052-2055. {家倡传}2206-2208.,
184,力林,2013-01-10,2.0,-0.4,2358,4.3,1258,,,,,1.25,0.0,10.9,20,0753,6.2,20,0757,3.5,3008,360,-4.3,43,2140,63.0,4.5,1027.0,1031.1,2107,1027.4,0526,1029.6,10.1,2.4,1200,1.88,7.28,,,,,,6.0,6.0,1.1,-3.2,-0.8,4.7,5.7,6.4,9.4,13.9,15.1,18.4,19.2,,2.0,0.0,{家倡传}0820-{家倡传}{碍档0}0900-0935.,
184,力林,2013-01-11,3.3,-1.6,0753,7.6,1502,,,,,,,6.3,360,1411,4.1,50,1526,2.0,1756,180,-2.7,54,1125,65.1,5.1,1025.9,1031.2,0926,1026.0,2247,1028.5,10.1,7.6,1200,1.99,11.51,,,,,,3.3,1.0,0.6,-3.8,-1.3,4.3,5.4,6.2,9.3,13.4,14.0,18.3,19.2,,1.8,,{寝公府}1517-1610.,
