stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
192,진주,2013-01-01,-2.3,-10.2,0642,5.0,1243,,,,,0.73,0.0,10.3,250,1515,5.2,270,1419,1.3,1084,250,-6.8,43,1600,73.9,3.8,1016.9,1022.9,0237,1018.2,1357,1020.8,9.9,6.7,1200,1.75,8.89,,,4.0,0001,,3.1,3.1,-0.9,-12.8,-0.5,0.4,1.6,2.4,4.6,8.0,,,,,1.7,0.0,{눈}1048-1132. {연무}1525-1610. {황사}1608-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-,
192,진주,2013-01-02,-0.5,-6.0,2345,3.4,0455,,,,,,,8.7,270,0425,5.3,250,0501,2.3,2005,360,-11.6,31,1500,44.0,2.7,1024.0,1034.2,2347,1020.7,0211,1027.9,9.9,8.6,1200,1.89,11.17,,,2.5,0001,,1.8,1.3,0.5,-7.6,0.6,1.0,1.7,2.4,4.4,7.8,,,,,1.3,,-{황사}-0022. {박무}0028-0234. {황사}0230-{황사}{강도0}0300-{황사}{강도0}0600-0640.,
192,진주,2013-01-03,-5.3,-7.7,0215,-1.8,1453,,,,,,,8.5,20,1342,4.3,360,1343,2.4,2032,360,-19.6,22,1111,32.3,1.3,1030.5,1037.0,1032,1033.1,1529,1034.5,9.9,7.4,1200,2.11,11.0,,,2.5,0001,,2.5,0.0,-2.6,-10.5,-0.7,0.2,1.5,2.3,4.3,7.6,,,,,1.4,,,
192,진주,2013-01-04,-6.9,-13.0,0637,2.4,1552,,,,,,,3.7,70,0004,1.6,70,0006,0.5,453,90,-15.1,24,1540,55.4,1.9,1026.0,1033.9,0254,1027.3,1722,1030.0,9.9,8.6,1100,1.96,11.7,,,2.5,0001,,0.6,0.0,-2.3,-16.2,-1.1,-0.2,1.2,2.0,4.5,7.7,,,,,1.3,,,
192,진주,2013-01-05,-4.1,-11.6,0339,4.3,1518,,,,,,,6.3,20,2101,3.3,20,2104,0.8,717,50,-12.5,24,1400,55.6,2.4,1020.9,1027.4,0001,1021.8,1458,1024.8,9.9,8.7,1200,2.09,12.54,,,1.2,0001,,2.0,0.0,-2.1,-14.8,-1.1,-0.4,1.0,1.9,4.0,7.5,,,,,1.1,,,
192,진주,2013-01-06,-2.8,-7.8,0743,4.9,1544,,,,,,,3.7,110,1034,2.1,90,1532,0.6,506,70,-8.7,31,1407,66.6,3.2,1020.3,1025.5,0730,1022.5,1502,1024.1,9.9,8.2,1200,1.9,10.56,,,0.7,0001,,3.4,0.0,-0.9,-11.4,-0.8,-0.3,0.9,1.7,3.8,7.3,,,,,1.2,,{박무}0627-{박무}{강도0}0900-0908. {연무}0905-1154. {연무}1725-{연무}{강도0}1800-1940. {박무}1935-{박무}{강도0}2100-{박무}{강도0}2400-,
192,진주,2013-01-07,-2.9,-10.0,0746,6.9,1531,,,,,,,2.7,110,1348,1.9,200,1400,0.5,394,290,-11.9,19,1529,55.3,2.5,1019.3,1025.5,0850,1020.4,1524,1023.2,9.9,8.7,1000,2.03,12.67,,,,,,1.0,0.5,-0.9,-14.3,-0.7,-0.3,0.9,1.7,4.0,7.2,,,,,1.3,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0858. {연무}0853-{연무}{강도0}0900-0950.,
192,진주,2013-01-08,-1.2,-8.8,0536,7.7,1520,,,,,,,5.4,360,1721,2.7,360,1715,0.8,686,20,-12.8,16,1504,47.8,2.3,1019.6,1025.7,0918,1021.1,1552,1023.5,9.9,8.7,1200,1.91,11.52,,,,,,0.4,0.0,-0.8,-12.1,-0.6,-0.3,0.8,1.6,3.6,7.0,,,,,1.4,,{박무}0543-{박무}{강도0}0600-{박무}{강도0}0900-0924.,
192,진주,2013-01-09,-1.9,-5.5,2307,3.3,1348,,,,,,,7.3,340,1718,3.9,360,1612,1.8,1538,360,-15.9,23,1545,33.9,1.8,1021.1,1027.4,2309,1022.2,1356,1025.0,9.9,8.5,1200,2.03,11.86,,,,,,0.9,0.0,-1.2,-9.3,-0.7,-0.3,0.8,1.6,3.5,7.0,,,,,1.9,,,
192,진주,2013-01-10,-4.3,-10.6,0715,2.6,1501,,,,,,,7.1,360,1434,3.7,360,1440,1.2,1014,360,-15.9,16,1354,46.1,1.8,1025.0,1031.4,2332,1027.3,0416,1028.9,10.0,8.8,1200,2.14,13.11,,,,,,0.0,0.0,-2.2,-14.7,-1.2,-0.6,0.7,1.5,3.4,6.9,,,,,1.2,,,
192,진주,2013-01-11,-4.2,-12.5,0744,5.0,1552,,,,,,,4.1,230,1354,1.9,160,1259,0.4,381,160,-12.4,21,1407,56.5,2.4,1025.8,1032.9,1005,1027.0,2146,1029.7,10.0,8.7,1200,2.05,12.75,,,,,,2.4,0.0,-1.9,-16.1,-1.3,-0.8,0.5,1.4,3.3,6.9,,,,,1.1,,,
