stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
95,철원,2013-01-01,-9.2,-19.2,0241,-2.0,1540,,,,,11.0,4.8,6.3,200,2005,4.1,200,2006,0.8,690,200,-12.0,64,1614,80.3,2.6,999.2,1023.3,0004,1017.2,1301,1019.3,9.6,3.2,,,,6.8,2400,13.6,2400,7.7,8.8,6.9,-2.7,-22.5,-2.3,-2.0,-1.4,-0.8,1.0,4.6,,,,,0.1,3.3,{눈}0640-{시정(미만)}{1km}{눈}0840-{시정(이상)}{1km}{눈}0855-{눈}{강도0}0900-{눈}{강도0}1200-1320. {눈}1940-{눈}{강도0}2100-{눈}{강도0}2400-,
95,철원,2013-01-02,-15.0,-22.8,2304,-6.9,0001,,,,,0.5,0.0,10.0,270,1113,4.9,200,0917,2.4,2040,200,-24.6,26,1240,46.9,0.9,1011.2,1038.0,2359,1021.1,0004,1031.9,9.6,8.6,,,,,,13.6,0000,,0.0,0.0,-1.9,-26.7,-1.6,-1.4,-0.9,-0.6,0.7,4.2,,,,,1.0,,-{눈}-0030.,
95,철원,2013-01-03,-18.9,-25.8,0749,-10.2,1501,,,,,,,4.7,230,1657,2.9,200,1702,0.8,709,50,-25.3,31,1501,60.5,0.8,1016.9,1040.4,0921,1035.9,1440,1038.1,9.6,8.7,,,,,,10.5,0000,,0.0,0.0,-2.8,-30.2,-2.2,-2.0,-1.4,-0.8,0.7,4.2,,,,,1.1,,,
95,철원,2013-01-04,-18.0,-25.1,0827,-7.9,1523,,,,,,,2.5,270,1540,1.7,290,1546,0.4,329,20,-23.3,32,1247,66.0,1.0,1012.7,1037.8,0247,1030.5,1511,1033.7,9.6,8.7,,,,,,9.5,0000,,0.0,0.0,-3.3,-29.0,-2.7,-2.4,-1.7,-1.1,0.1,4.0,,,,,0.7,0.0,,
95,철원,2013-01-05,-14.1,-23.1,0433,-4.9,1502,,,,,3.67,0.0,4.7,200,1536,3.3,200,1540,0.7,612,50,-17.2,58,1416,77.5,1.7,1007.1,1031.2,0033,1024.3,1448,1027.7,9.6,3.7,,,,,,9.0,0000,,4.0,4.0,-3.3,-26.4,-2.8,-2.5,-1.8,-1.2,0.5,4.1,,,,,0.7,0.0,{눈}0740-0820. {눈}0915-{눈}{강도0}1200-1215. {박무}2320-{박무}{강도1}2400-,
95,철원,2013-01-06,-13.0,-20.2,0449,-3.3,1533,,,,,,,5.0,200,1632,3.0,200,1611,0.5,438,20,-17.1,37,1644,73.8,1.7,1006.9,1029.4,0720,1025.2,1504,1027.4,9.6,8.0,,,,,,8.6,0000,,0.0,0.0,-3.1,-22.9,-2.5,-2.3,-1.7,-1.2,0.2,3.5,,,,,0.5,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-{세빙}0910-{박무}0950-1150. {연무}1145-{연무}{강도0}1200-1340. {박무}2130-{박무}{강도0}2400-,
95,철원,2013-01-07,-12.1,-20.4,0431,-2.8,1502,,,,,,,3.9,200,1803,2.3,180,1808,0.5,444,180,-16.9,37,1437,70.4,1.7,1006.2,1029.0,0937,1024.3,1352,1026.6,9.7,3.8,,,,,,7.9,0000,,6.1,0.4,-3.2,-23.2,-2.6,-2.4,-1.8,-1.2,0.0,3.8,,,,,0.9,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1120. {박무}2310-{박무}{강도0}2400-,
95,철원,2013-01-08,-11.4,-17.9,0745,-1.4,1428,,,,,,,5.6,250,1630,3.6,250,1639,0.5,447,70,-16.1,35,1604,71.1,1.8,1006.5,1028.9,0917,1024.8,1405,1026.8,9.7,8.1,,,,,,7.7,0000,,1.4,0.0,-3.1,-22.0,-2.5,-2.3,-1.7,-1.2,-0.4,3.5,,,,,1.0,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1130. {연무}1120-{연무}{강도0}1200-1330.,
95,철원,2013-01-09,-14.7,-20.2,0654,-7.1,1534,,,,,,,6.7,230,1450,3.0,200,1308,0.9,805,20,-20.8,27,1419,64.1,1.2,1007.5,1030.0,2311,1025.7,1359,1028.2,9.7,8.7,,,,,,7.6,0000,,0.0,0.0,-3.7,-25.3,-3.0,-2.7,-2.0,-1.4,-0.2,3.5,,,,,1.1,,,
95,철원,2013-01-10,-14.3,-23.4,0722,-5.5,1412,,,,,,,4.9,200,1544,2.8,200,1545,0.7,592,200,-20.6,25,1326,62.4,1.2,1011.2,1033.5,1008,1030.0,0001,1031.9,9.7,8.4,,,,,,7.5,0000,,0.3,0.3,-4.2,-26.9,-3.5,-3.2,-2.4,-1.7,-0.5,3.4,,,,,1.0,0.0,,
