stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
276,没价焙,2013-01-01,-7.4,-15.5,0723,1.6,1401,,,,,,0.2,5.4,270,1735,4.2,270,1739,0.9,751,270,-11.3,45,1402,74.4,2.7,994.0,1023.5,0310,1017.2,1358,1020.5,9.7,1.9,1300,1.25,5.49,,,3.5,0001,,,,-2.0,-15.6,-1.6,-0.8,-0.2,0.8,,,,,,,,,,
276,没价焙,2013-01-02,-6.7,-11.4,2334,-1.4,0312,,,,,,0.0,11.3,270,1411,8.9,270,1416,4.3,3690,270,-20.1,16,1136,37.1,1.5,1001.1,1033.4,2227,1019.3,0147,1027.8,9.7,8.0,1200,1.95,10.99,,,3.5,0001,,,,-1.7,-10.8,-1.3,-0.6,-0.1,0.8,,,,,,,,,,
276,没价焙,2013-01-03,-12.1,-16.8,2330,-7.0,1416,,,,,,,7.9,250,1207,6.7,250,1216,2.4,2041,270,-25.1,15,1420,35.1,0.8,1007.4,1037.1,0934,1033.1,1501,1034.8,9.8,8.3,1200,2.04,11.61,,,3.0,0001,,,,-3.5,-14.5,-2.6,-1.3,-0.4,0.7,,,,,,,,,,
276,没价焙,2013-01-04,-13.1,-21.4,0742,-2.1,1445,,,,,,,2.8,320,1425,2.1,290,1454,0.4,325,250,-22.7,17,1324,50.8,1.0,1004.3,1036.0,0346,1028.5,1445,1031.8,9.8,8.3,1200,2.04,11.96,,,2.5,0001,,,,-4.6,-16.1,-3.5,-2.1,-0.8,0.4,,,,,,,,,,
276,没价焙,2013-01-05,-9.4,-19.8,0603,-0.6,1507,,,,,,,8.0,270,1415,6.8,270,1439,1.9,1649,270,-18.6,22,1135,51.1,1.5,998.9,1029.4,0039,1021.6,1529,1025.9,9.8,8.1,1200,1.99,11.55,,,2.0,0001,,,,-4.3,-15.1,-3.4,-2.2,-1.2,0.2,,,,,,,,,,
276,没价焙,2013-01-06,-7.5,-13.6,0748,2.3,1307,,,,,,,4.8,250,1538,3.4,230,1411,0.6,508,270,-15.1,22,1318,59.0,1.9,998.6,1027.1,0627,1022.6,1343,1025.3,9.8,7.3,1200,1.87,9.54,,,2.0,0001,,,,-3.7,-12.2,-2.9,-1.8,-1.1,0.1,,,,,,,,,,
276,没价焙,2013-01-07,-7.3,-15.9,0625,1.1,1244,,,,,,,5.6,230,1532,5.0,250,1535,0.9,815,270,-18.7,10,1441,47.9,1.5,997.6,1027.1,1021,1021.6,1400,1024.3,9.8,5.2,1200,1.95,9.25,,,2.0,0001,,,,-3.8,-13.8,-3.0,-2.0,-1.2,0.0,,,,,,,,,,
276,没价焙,2013-01-08,-6.3,-14.8,0754,2.4,1400,,,,,,,6.0,290,1605,4.1,290,1609,0.9,794,270,-16.6,17,1526,49.3,1.7,997.9,1027.4,0814,1021.5,1439,1024.5,9.8,8.0,1200,1.9,10.77,,,1.5,0001,,,,-3.8,-12.9,-2.9,-2.0,-1.2,-0.1,,,,,,,,,,
276,没价焙,2013-01-09,-6.2,-10.1,2355,-2.6,1310,,,,,,,7.4,250,1344,5.6,230,1423,3.0,2582,270,-22.4,12,1342,28.0,1.1,998.1,1027.1,2319,1022.3,1416,1024.7,9.8,7.6,1200,2.05,11.47,,,1.5,0001,,,,-3.6,-11.0,-2.9,-1.9,-1.3,-0.2,,,,,,,,,,
276,没价焙,2013-01-10,-10.0,-18.6,0743,-1.9,1527,,,,,,,6.3,230,1402,5.5,230,1407,1.7,1456,230,-23.7,12,1536,36.4,0.9,1002.6,1032.7,2338,1026.9,0001,1029.7,9.9,8.4,1200,2.07,12.52,,,1.5,0001,,,,-4.8,-16.2,-3.8,-2.6,-1.6,-0.4,,,,,,,,,,
