stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
131,청주,2013-01-01,-3.8,-9.4,0306,1.7,1341,,,,,7.42,3.0,6.2,290,1430,3.1,230,1350,0.7,624,340,-5.7,69,1601,86.3,4.1,1012.0,1022.2,0012,1017.3,1304,1019.4,9.7,2.7,1200,0.91,3.01,3.5,0955,8.6,0955,4.6,7.6,6.4,-0.2,-7.7,-0.3,0.0,0.4,1.6,4.0,7.5,,,,,0.3,2.6,{눈}0630-{눈}{강도0}0900-1055. {눈}1305-1315. {눈}1350-{눈}{강도0}1500-1515. {눈}1625-1635. {눈}2245-{눈}{강도0}2400- {박무}1040-{박무}{강도0}1200-{박무}{강도0}1500-1530. {박무}1920-{박무}{강도0}2100-{박무}{강도2}2400-,
131,청주,2013-01-02,-8.2,-11.7,2326,-1.6,0111,,,,,1.67,1.0,9.3,290,0120,3.9,320,0336,1.6,1425,320,-16.1,38,1039,53.5,1.8,1024.0,1036.3,2355,1019.9,0001,1031.5,9.7,8.4,1200,1.52,8.41,1.6,0140,10.0,0140,1.6,1.3,0.9,0.0,-10.8,-0.1,0.1,0.4,1.6,4.0,7.5,,,,,0.3,,-{눈}-0140. -{박무}-0120.,
131,청주,2013-01-03,-11.1,-15.3,0639,-7.0,1537,,,,,,,6.8,250,1421,3.0,270,1326,1.2,1027,290,-19.2,33,1251,52.0,1.4,1029.9,1039.9,0927,1036.2,1739,1037.6,9.7,8.4,1200,1.56,8.89,,,8.9,0001,,0.4,0.4,-0.4,-13.1,-0.5,-0.1,0.4,1.5,3.8,7.0,,,,,0.6,,,
131,청주,2013-01-04,-10.4,-16.9,0750,-4.6,1536,,,,,,,3.7,340,0413,1.7,250,0042,0.7,565,340,-17.6,33,1450,57.1,1.6,1025.2,1036.7,0306,1029.5,2400,1032.8,9.8,8.1,1200,1.46,8.75,,,7.8,0001,,0.0,0.0,-0.5,-13.1,-0.7,-0.2,0.3,1.5,3.7,7.0,,,,,0.7,,,
131,청주,2013-01-05,-7.9,-15.9,0718,-0.5,1445,,,,,,,3.6,340,1026,1.8,270,1528,0.6,523,340,-12.9,40,1424,68.3,2.4,1019.6,1029.7,0213,1024.5,1422,1027.1,9.8,8.0,1100,1.52,8.63,,,7.0,0001,,2.3,1.5,-0.5,-13.3,-0.7,-0.2,0.2,1.4,3.5,7.0,,,,,0.3,,{박무}0740-{박무}{강도0}0900-0950.,
131,청주,2013-01-06,-5.2,-8.7,0744,0.2,1440,,,,,,,4.8,340,1544,2.0,200,1420,0.6,528,250,-11.6,23,1640,64.5,2.6,1019.0,1027.3,0536,1025.2,1515,1026.4,9.8,6.6,1200,1.27,7.13,,,6.6,0001,,3.3,0.0,-0.4,-10.6,-0.5,-0.2,0.2,1.3,3.5,7.0,,,,,0.8,,{박무}0320-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도1}1200-1235. {연무}1210-1330.,
131,청주,2013-01-07,-5.5,-11.6,0617,0.7,1518,,,,,,,4.4,340,1117,2.2,340,1135,0.6,482,320,-12.6,27,1258,59.3,2.3,1018.2,1027.9,0852,1024.0,1518,1025.7,9.8,6.1,1200,1.52,7.67,,,6.4,0001,,2.5,0.0,-0.5,-10.9,-0.6,-0.3,0.1,1.3,3.5,7.0,,,,,0.3,,{박무}0330-{박무}{강도0}0600-{박무}{강도0}0900-1035. {연무}1030-{연무}{강도0}1200-1220. {연무}2130-{연무}{강도0}2400-,
131,청주,2013-01-08,-4.2,-9.5,0717,1.7,1335,,,,,,,7.0,340,1514,2.9,290,1514,0.8,663,270,-11.2,33,1454,60.4,2.6,1018.6,1028.1,0950,1024.3,1336,1026.0,9.8,7.7,1200,1.38,7.79,,,6.2,0001,,1.8,0.0,-0.4,-9.9,-0.6,-0.3,0.1,1.3,3.5,6.8,,,,,0.9,,-{연무}-{연무}{강도0}0300-0410. {박무}0420-{박무}{강도1}0600-{박무}{강도0}0900-1040. {연무}1035-{연무}{강도0}1200-1420.,
131,청주,2013-01-09,-6.5,-9.5,2353,-3.4,1411,,,,,0.17,0.0,8.6,340,1419,3.6,320,1422,1.3,1132,290,-15.2,42,1420,50.3,1.9,1020.2,1029.1,2325,1026.0,1352,1027.7,9.8,8.5,1200,1.53,8.74,,,6.0,0001,,0.3,0.3,-0.5,-12.4,-0.8,-0.3,0.1,1.3,3.5,6.5,,,,,0.5,0.0,{소낙눈}1320-1330.,
131,청주,2013-01-10,-7.8,-13.6,0717,-2.1,1535,,,,,,,4.6,340,1949,2.2,270,1554,0.7,597,270,-17.6,26,1449,47.9,1.6,1023.9,1032.8,1033,1029.0,0001,1031.4,9.8,8.4,1200,1.58,9.09,,,5.8,0001,,0.0,0.0,-0.9,-14.1,-1.3,-0.6,0.0,1.2,3.5,6.5,,,,,0.9,,,
