stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
135,√ﬂ«≥∑…,2013-01-01,-5.8,-11.6,0416,0.9,1507,,,,,,2.8,10.3,320,1648,6.3,250,1525,1.5,1258,20,-7.6,69,1619,86.8,3.6,989.1,1022.8,0224,1017.4,1433,1020.3,9.8,0.7,1300,0.45,2.08,,,,,,,,-3.0,-12.4,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-02,-8.0,-11.8,2323,-1.2,0131,,,,,,1.8,12.9,250,1510,8.0,250,1329,4.8,4113,270,-15.0,44,0936,57.1,2.0,998.3,1035.4,2218,1019.8,0116,1030.1,9.8,8.0,1200,1.52,8.76,,,,,,,,-1.9,-12.4,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-03,-11.5,-15.4,0754,-8.0,1603,,,,,,,16.6,250,0450,11.4,270,0605,5.8,4983,250,-19.1,37,1607,54.0,1.4,1003.8,1039.3,0953,1034.6,1532,1036.3,9.8,7.7,1200,1.59,9.04,,,,,,,,-5.2,-15.7,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-04,-9.7,-14.4,0817,-4.6,1559,,,,,,,11.5,270,0051,7.6,270,0345,5.2,4511,270,-18.9,28,1529,49.5,1.4,999.8,1035.7,0255,1028.6,2355,1031.9,9.8,8.2,1200,1.59,9.41,,,,,,,,-6.3,-14.7,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-05,-6.3,-13.1,0255,-1.6,1412,,,,,,,10.7,270,0524,7.7,270,0528,4.0,3494,270,-13.3,44,0855,58.3,2.3,995.0,1028.9,0228,1023.4,1458,1026.4,9.8,7.1,1200,1.54,8.33,,,,,,,,-5.9,-13.6,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-06,-3.8,-6.5,2400,-0.3,1502,,,,,,,10.7,270,0508,6.9,270,0509,4.6,3932,270,-12.5,25,1610,53.1,2.4,994.3,1027.0,0918,1023.9,1523,1025.5,9.8,7.4,1300,1.36,7.85,,,,,,,,-4.0,-8.5,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-07,-4.6,-10.5,0446,-0.8,1557,,,,,,,11.0,250,1244,7.6,250,1249,3.9,3354,270,-14.1,25,1257,48.5,2.1,993.7,1027.2,0859,1023.3,1420,1025.0,9.8,7.7,1200,1.56,9.31,,,,,,,,-4.8,-11.5,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-08,-4.3,-9.5,0803,0.1,1438,,,,,,,10.3,250,1455,7.3,250,1145,3.6,3106,250,-12.2,32,1332,56.0,2.4,994.2,1027.4,0921,1023.1,1616,1025.4,9.8,7.5,1200,1.49,8.43,,,,,,,,-4.6,-11.2,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-09,-6.7,-9.2,2352,-3.4,1430,,,,,,,12.4,250,1453,7.6,250,1031,5.3,4574,270,-15.4,34,1834,50.9,1.9,994.9,1028.4,2250,1023.9,1453,1026.4,9.9,8.0,1200,1.59,9.12,,,,,,,,-6.0,-10.8,,,,,,,,,,,,,,
135,√ﬂ«≥∑…,2013-01-10,-8.0,-10.9,0737,-3.7,1556,,,,,,,10.9,250,1310,7.3,250,1402,4.9,4260,250,-19.3,29,1445,40.6,1.4,998.9,1033.0,2339,1028.3,0005,1030.8,9.9,8.2,1200,1.61,9.6,,,,,,,,-7.2,-13.5,,,,,,,,,,,,,,
