stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
216,태백,2013-01-01,-7.4,-12.7,0610,-3.2,1400,,,,,,1.0,8.3,250,1352,4.5,250,1355,1.9,1616,230,-11.7,50,0149,72.0,2.6,930.4,1021.6,0342,1015.0,1401,1018.8,9.7,0.0,,,,,,,,,,,-0.4,-3.6,,,,,,,,,,,,,,
216,태백,2013-01-02,-11.3,-15.9,2323,-4.7,0052,,,,,,1.5,12.0,250,1415,5.2,250,1313,2.8,2447,250,-21.7,31,1025,42.9,1.2,936.3,1032.5,2208,1016.7,0052,1026.6,9.7,7.7,,,,,,,,,,,-0.2,-1.3,,,,,,,,,,,,,,
216,태백,2013-01-03,-14.5,-19.1,2400,-7.5,1432,,,,,,,7.1,340,0032,3.8,200,1102,1.8,1551,250,-24.6,21,1415,44.1,0.9,941.6,1035.9,2331,1029.7,1400,1033.6,9.7,7.7,,,,,,,,,,,-0.4,-11.9,,,,,,,,,,,,,,
216,태백,2013-01-04,-12.9,-21.7,0609,-0.1,1444,,,,,,,4.7,200,1539,3.3,200,1526,0.6,534,200,-20.3,18,1352,59.6,1.3,939.5,1036.8,0347,1024.2,1444,1030.9,9.7,7.7,,,,,,,,,,,-0.6,-13.3,,,,,,,,,,,,,,
216,태백,2013-01-05,-8.9,-17.1,0450,-3.6,1411,,,,,,,9.6,320,1018,6.5,320,1018,2.0,1763,320,-17.9,23,0844,51.9,1.6,934.7,1029.3,0001,1019.4,1422,1024.1,9.7,7.7,,,,,,,,,,,-0.7,-12.5,,,,,,,,,,,,,,
216,태백,2013-01-06,-8.0,-14.7,0546,2.9,1427,,,,,,,4.7,230,1622,3.2,230,1625,0.9,782,200,-16.6,16,1317,53.9,1.7,935.3,1027.6,0652,1018.6,1426,1024.4,9.7,7.8,,,,,,,,,,,-0.6,-11.4,,,,,,,,,,,,,,
216,태백,2013-01-07,-6.8,-13.9,0505,2.7,1425,,,,,,,5.4,360,1249,3.8,340,1251,1.1,935,320,-18.0,13,1223,46.4,1.5,934.7,1027.0,0033,1017.7,1425,1023.3,9.8,5.6,,,,,,,,,,,-0.7,-11.0,,,,,,,,,,,,,,
216,태백,2013-01-08,-6.7,-12.4,0742,1.2,1336,,,,,,,5.7,340,1517,3.2,320,1519,1.0,838,200,-15.7,24,1230,51.6,1.8,935.0,1027.3,0837,1019.2,1331,1023.6,9.8,7.8,,,,,,,,,,,-0.7,-10.3,,,,,,,,,,,,,,
216,태백,2013-01-09,-9.3,-11.9,2028,-4.9,1245,,,,,,,7.1,340,1332,3.7,320,0933,1.8,1538,290,-21.3,23,1044,37.4,1.1,934.2,1025.8,2247,1020.2,1355,1023.6,9.8,7.8,,,,,,,,,,,-0.8,-12.3,,,,,,,,,,,,,,
216,태백,2013-01-10,-9.2,-13.2,0639,-3.5,1232,,,,,,,7.5,290,0416,3.9,250,0504,1.7,1479,250,-23.0,18,1259,33.4,1.0,938.0,1032.1,2400,1024.8,1232,1027.7,9.8,7.8,,,,,,,,,,,-0.9,-13.2,,,,,,,,,,,,,,
216,태백,2013-01-11,-7.2,-15.8,0359,2.5,1455,,,,,,,4.0,340,1535,2.6,180,1330,1.0,871,200,-15.2,24,1502,56.5,2.0,939.7,1034.0,0251,1024.3,1425,1028.9,9.8,7.5,,,,,,,,,,,-1.1,-13.9,,,,,,,,,,,,,,
216,태백,2013-01-12,-1.4,-6.5,0001,1.2,1528,,,,,,,12.0,270,0736,5.3,250,0805,2.5,2192,250,-9.1,24,0140,57.4,3.2,935.7,1025.9,0001,1020.5,1214,1022.5,9.8,5.3,,,,,,,,,,,-0.8,-8.5,,,,,,,,,,,,,,
216,태백,2013-01-13,-3.4,-9.1,0734,2.7,1253,,,,,,,5.0,70,1646,3.5,50,1451,1.0,874,360,-9.6,26,1146,66.5,3.1,937.0,1028.2,0732,1021.1,1624,1024.6,9.9,2.3,,,,,,,,,,,-0.7,-8.8,,,,,,,,,,,,,,
216,태백,2013-01-14,-4.7,-11.4,0712,2.2,1310,,,,,,,10.1,360,1132,4.6,320,1154,1.7,1452,340,-11.0,32,1036,65.6,2.7,932.3,1024.1,2344,1013.1,1310,1019.9,9.9,7.8,,,,,,,,,,,-0.7,-10.8,,,,,,,,,,,,,,
216,태백,2013-01-15,-4.0,-8.5,0835,2.1,1444,,,,,,,6.3,360,1353,4.6,180,1358,1.6,1398,200,-9.6,38,1454,67.5,3.0,936.9,1028.8,0741,1021.6,1426,1024.7,9.9,7.7,,,,,,,,,,,-0.7,-9.6,,,,,,,,,,,,,,
216,태백,2013-01-16,-4.1,-8.4,0021,-0.6,1553,,,,,,,6.4,360,1200,3.7,340,1352,1.4,1203,360,-10.7,45,0535,60.0,2.8,934.3,1024.4,0021,1019.0,1421,1021.9,9.9,3.4,,,,,,,,,,,-0.7,-10.1,,,,,,,,,,,,,,
216,태백,2013-01-17,-6.3,-8.9,2359,-4.7,1335,,,,,,0.5,5.7,70,1440,4.3,70,1445,1.9,1627,70,-9.3,64,0001,79.3,3.0,938.0,1029.9,2323,1022.5,0009,1026.8,9.9,0.3,,,,,,,,,,,-0.6,-6.2,,,,,,,,,,,,,,
216,태백,2013-01-18,-7.7,-15.9,0739,1.0,1427,,,,,,,6.9,290,1213,4.1,340,2124,1.3,1162,180,-16.9,24,1444,54.3,1.6,939.2,1033.4,0821,1024.0,1426,1028.6,10.0,8.1,,,,,,,,,,,-0.5,-3.9,,,,,,,,,,,,,,
216,태백,2013-01-19,-4.5,-8.7,0306,1.7,1410,,,,,,,6.9,340,0934,3.8,200,0136,1.8,1547,340,-10.8,42,1338,61.9,2.7,939.7,1032.5,2359,1024.1,1334,1028.0,10.0,8.1,,,,,,,,,,,-0.5,-4.7,,,,,,,,,,,,,,
216,태백,2013-01-20,-3.5,-11.2,0619,2.3,1356,,,,,,,4.4,110,1455,2.6,70,1605,0.8,677,20,-7.4,56,1109,74.6,3.6,945.2,1037.0,0930,1030.8,1614,1033.6,10.0,0.4,,,,,,,,,,,-0.6,-5.5,,,,,,,,,,,,,,
216,태백,2013-01-21,0.2,-0.3,0431,0.9,1334,,,,,,21.0,2.6,200,0050,1.8,200,0114,0.3,235,,-0.5,78,0004,94.6,5.9,937.2,1031.6,0004,1018.2,2347,1023.5,10.1,0.0,,,,,,,,,,,-0.3,-1.2,,,,,,,,,,,,,,
216,태백,2013-01-22,-1.1,-2.2,2249,-0.2,0159,,,,,,3.5,,,,,,,,,,-2.1,88,1554,93.0,5.3,935.4,1024.1,2126,1017.8,0044,1022.1,10.1,0.0,,,,,,,,,,,-0.2,-0.6,,,,,,,,,,,,,,
216,태백,2013-01-23,-1.2,-2.9,0555,1.2,1502,,,,,,0.5,6.3,270,2251,3.5,230,2256,0.6,538,,-3.6,71,2027,83.9,4.7,932.0,1023.7,0054,1015.3,2357,1018.3,10.1,0.0,,,,,,,,,,,-0.2,-0.6,,,,,,,,,,,,,,
216,태백,2013-01-24,-3.6,-8.9,2358,0.3,1108,,,,,,0.1,12.7,360,2123,6.4,250,2126,3.0,2635,250,-9.0,34,2353,67.5,3.3,926.0,1015.4,0012,1008.9,1728,1012.6,10.1,2.3,,,,,,,,,,,-0.1,-6.4,,,,,,,,,,,,,,
216,태백,2013-01-25,-11.3,-13.8,0808,-7.7,1448,,,,,,,11.4,290,0244,4.5,250,0026,2.6,2235,250,-24.6,23,1441,32.5,0.8,927.4,1018.5,0859,1014.5,0008,1016.8,10.2,8.4,,,,,,,,,,,-0.2,-10.3,,,,,,,,,,,,,,
216,태백,2013-01-26,-11.5,-15.5,2355,-6.5,1508,,,,,,,10.5,320,0646,5.1,320,0748,2.1,1818,290,-22.7,25,1030,40.4,1.0,930.0,1025.3,2355,1016.9,0048,1019.8,10.2,8.5,,,,,,,,,,,-0.5,-11.7,,,,,,,,,,,,,,
216,태백,2013-01-27,-11.5,-17.4,0407,-6.2,1422,,,,,,,9.5,320,1342,4.2,340,1235,1.6,1351,340,-18.1,35,1207,59.8,1.5,933.2,1025.8,2358,1019.2,1422,1023.3,10.2,8.4,,,,,,,,,,,-0.6,-12.2,,,,,,,,,,,,,,
216,태백,2013-01-28,-6.1,-14.2,0334,0.3,1450,,,,,,,9.4,340,1230,4.2,320,1142,1.5,1320,270,-13.1,34,1012,59.6,2.3,937.0,1027.5,0740,1023.1,1306,1025.6,10.2,8.6,,,,,,,,,,,-0.7,-11.4,,,,,,,,,,,,,,
216,태백,2013-01-29,0.5,-3.5,0616,3.7,1313,,,,,,,7.8,340,0205,3.7,290,0143,1.8,1586,270,-4.6,54,1221,68.9,4.4,939.4,1027.9,2347,1024.5,1310,1025.9,10.3,4.6,,,,,,,,,,,-0.6,-5.8,,,,,,,,,,,,,,
216,태백,2013-01-30,1.3,-2.8,0532,7.4,1358,,,,,,,4.1,70,1705,3.0,90,1713,0.8,702,230,-2.5,45,1432,77.5,5.1,943.8,1032.6,2226,1027.2,0115,1030.3,10.3,3.8,,,,,,,,,,,-0.4,-4.8,,,,,,,,,,,,,,
216,태백,2013-01-31,2.6,-3.8,0722,9.8,1455,,,,,,,4.9,180,1304,3.4,180,1249,1.1,922,200,-1.9,46,1448,74.6,5.4,944.5,1034.9,0814,1027.3,1425,1030.6,10.3,8.5,,,,,,,,,,,-0.1,-5.4,,,,,,,,,,,,,,
