stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
162,통영,2013-01-01,2.3,-2.8,0644,6.8,1310,,,,,0.58,0.0,11.3,340,1417,6.0,320,1433,2.0,1702,290,-3.6,53,1323,65.8,4.7,1016.4,1022.3,0153,1018.2,1306,1020.6,9.9,5.6,,,,,,,,,3.0,3.0,0.4,-4.4,,,,,,,,,,,,,{눈}0910-0935. {비}1030-1040.,
162,통영,2013-01-02,0.8,-4.1,2400,4.7,0301,,,,,,,14.3,290,0637,6.5,270,0750,4.0,3450,270,-9.3,34,2357,47.1,3.2,1023.2,1033.0,2357,1021.0,0032,1027.4,9.9,8.4,,,,,,,,,1.3,0.8,1.1,-4.8,,,,,,,,,,,,,,
162,통영,2013-01-03,-4.4,-6.3,0737,-1.7,1447,,,,,,,13.4,360,0011,8.4,340,0016,5.4,4666,340,-18.1,25,1341,34.0,1.5,1029.3,1036.0,0948,1032.3,1534,1033.6,9.9,6.8,,,,,,,,,2.0,0.1,-4.6,-7.9,,,,,,,,,,,,,,
162,통영,2013-01-04,-3.2,-7.5,0644,2.2,1528,,,,,,,9.6,360,1429,5.5,360,1447,1.8,1595,360,-14.8,22,1410,41.1,2.0,1025.0,1033.1,0222,1026.4,2358,1029.2,9.9,9.0,,,,,,,,,0.3,0.0,-4.4,-9.7,,,,,,,,,,,,,,
162,통영,2013-01-05,-1.3,-5.3,0422,3.6,1609,,,,,,,6.5,320,1315,4.8,340,1510,2.0,1749,360,-11.9,20,1228,46.3,2.5,1019.9,1026.4,0001,1021.7,1452,1024.1,9.9,8.1,,,,,,,,,1.3,0.0,-2.3,-7.0,,,,,,,,,,,,,,
162,통영,2013-01-06,0.2,-2.9,0736,5.2,1450,,,,,,,9.5,360,0929,5.8,360,0842,2.0,1703,360,-8.8,32,1436,52.0,3.1,1019.4,1025.3,1026,1022.4,1709,1023.6,9.9,8.2,,,,,,,,,3.0,0.0,-0.6,-4.7,,,,,,,,,,,,,,
162,통영,2013-01-07,0.4,-4.3,0749,6.4,1253,,,,,,,6.5,360,2044,3.7,20,1451,1.6,1410,360,-12.6,18,1234,39.0,2.4,1018.3,1024.3,0857,1020.5,1437,1022.4,10.0,8.4,,,,,,,,,0.4,0.0,-1.0,-6.2,,,,,,,,,,,,,,
162,통영,2013-01-08,1.5,-2.3,0121,5.9,1457,,,,,,,8.4,360,2358,5.3,360,1059,2.2,1900,360,-12.1,22,1334,36.4,2.4,1018.4,1024.4,0850,1021.0,1454,1022.5,10.0,8.7,,,,,,,,,0.3,0.0,-0.4,-4.5,,,,,,,,,,,,,,
162,통영,2013-01-09,-0.7,-4.3,2339,3.0,1309,,,,,,,9.9,320,2218,6.4,340,2219,3.1,2651,340,-13.9,31,1359,36.1,2.1,1020.1,1026.8,2355,1021.7,1415,1024.2,10.0,8.7,,,,,,,,,0.6,0.0,-1.4,-5.7,,,,,,,,,,,,,,
162,통영,2013-01-10,-1.9,-5.7,0541,2.4,1458,,,,,,,10.9,320,0843,7.0,340,0848,4.0,3490,340,-15.0,23,1515,37.0,1.9,1024.1,1030.4,2326,1026.5,0350,1028.3,10.0,9.1,,,,,,,,,0.0,0.0,-2.7,-7.4,,,,,,,,,,,,,,
