stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
99,颇林,2013-01-01,-6.6,-14.2,0031,0.1,1524,,,,,,3.7,5.9,360,2235,3.8,340,2249,1.4,1218,50,-9.7,64,1320,78.5,3.1,1014.9,1021.9,0022,1016.9,0812,1018.7,9.6,5.2,,,,,,,,,,,-1.2,-14.5,,,,,,,,,,,,,,
99,颇林,2013-01-02,-13.4,-19.8,2340,-6.2,0012,,,,,,,9.4,320,0026,5.3,290,1345,2.7,2308,290,-21.6,36,1151,51.0,1.1,1028.4,1037.7,2338,1021.7,0001,1032.3,9.6,8.6,,,,,,,,,,,-0.9,-24.7,,,,,,,,,,,,,,
99,颇林,2013-01-03,-16.7,-24.5,0728,-8.2,1313,,,,,,,6.1,270,1531,3.2,270,1516,0.9,808,140,-22.7,37,1315,62.1,1.0,1033.9,1039.9,0857,1036.2,1433,1037.9,9.6,8.8,,,,,,,,,,,-1.6,-27.3,,,,,,,,,,,,,,
99,颇林,2013-01-04,-16.0,-23.1,0625,-6.4,1538,,,,,,,2.9,270,1402,1.8,250,1527,0.6,525,70,-21.3,33,1418,66.1,1.1,1029.1,1037.1,0257,1029.9,2312,1033.2,9.6,8.7,,,,,,,,,,,-1.9,-24.3,,,,,,,,,,,,,,
99,颇林,2013-01-05,-12.1,-20.5,0407,-2.8,1417,,,,,,,4.4,360,0943,2.1,20,0951,0.7,594,70,-16.4,43,1239,71.9,1.8,1023.1,1030.4,0005,1024.4,1423,1027.1,9.7,7.4,,,,,,,,,,,-1.8,-21.5,,,,,,,,,,,,,,
99,颇林,2013-01-06,-11.6,-19.2,0708,-2.4,1459,,,,,,,4.0,360,1157,2.7,340,1157,0.8,671,50,-15.3,47,1440,75.5,1.9,1023.1,1028.3,0702,1025.7,0019,1027.0,9.7,8.3,,,,,,,,,,,-1.8,-19.5,,,,,,,,,,,,,,
99,颇林,2013-01-07,-10.3,-18.2,0349,-1.6,1439,,,,,,,3.5,360,1158,2.4,360,1202,0.7,568,70,-15.1,35,1320,69.6,1.9,1022.2,1027.9,0856,1024.4,1346,1026.1,9.7,4.7,,,,,,,,,,,-1.6,-18.5,,,,,,,,,,,,,,
99,颇林,2013-01-08,-8.7,-15.4,0735,0.1,1455,,,,,,,5.4,340,1621,3.0,290,1618,0.7,606,290,-14.3,42,1536,65.9,2.1,1022.7,1028.4,1020,1025.0,1732,1026.6,9.7,7.9,,,,,,,,,,,-1.6,-15.5,,,,,,,,,,,,,,
99,颇林,2013-01-09,-12.6,-18.5,0801,-6.1,1404,,,,,,,5.8,290,1350,3.6,290,1514,1.1,931,90,-18.7,35,1335,62.9,1.4,1024.2,1029.4,2303,1026.6,1359,1028.1,9.7,9.1,,,,,,,,,,,-2.1,-18.8,,,,,,,,,,,,,,
99,颇林,2013-01-10,-12.7,-22.2,0810,-4.1,1458,,,,,,,4.3,230,1528,2.7,230,1551,0.7,598,50,-18.6,31,1327,64.1,1.5,1027.6,1032.8,0941,1029.4,0001,1031.6,9.7,8.8,,,,,,,,,,,-2.4,-22.4,,,,,,,,,,,,,,
